Days,State,Place,Inches,Centimeters
0.8,Alabama,Birming­ham,1.6,4.1
48,Alaska,Anchor­age,74.5,189.2
0.3,Arizona,Tucson,0.3,0.8
3.8,Arkansas,Fort Smith,5.2,13.2
0,California,San Diego,0,0
19.1,Colorado,Grand Junction,19.1,48.5
20.1,Connecticut,Hartford,40.5,102.9
11.8,Delaware,Wilming­ton,20.2,51.3
0,Florida,Tampa,0,0
0.7,Georgia,Macon,0.7,1.8
0,Hawaii,Honolulu,0,0
19.4,Idaho,Boise,19.2,48.8
19.9,Illinois,Peoria,24.6,62.5
23.5,Indiana,Indiana­polis,25.9,65.8
26.2,Iowa,Des Moines,34.9,88.6
10,Kansas,Wichita,14.7,37.3
11.8,Kentucky,Louisville,12.5,31.8
0.1,Louisiana,New Orleans,0,0
27.8,Maine,Portland,61.8,157
9.6,Maryland,Baltimore,20.2,51.3
22.4,Massachusetts,Boston,43.8,111.3
44.7,Michigan,Lansing,51.1,129.8
37.3,Minnesota,Minnea­polis,54,137.2
0.6,Mississippi,Jackson,0.9,2.3
11.5,Missouri,Spring­field,17,43.2
32.9,Montana,Helena,38.1,96.8
18.3,Nebraska,Lincoln,25.9,65.8
16.3,Nevada,Reno,21.8,55.4
29.8,New Hampshire,Concord,60.8,154.4
8.7,New Jersey,Atlantic City,16.5,41.9
9.5,New Mexico,Albuquer­que,9.6,24.4
66.4,New York,Syracuse,123.8,314.5
3.9,North Carolina,Greens­boro,7.6,19.3
45.2,North Dakota,Bismarck,51.2,130
30.4,Ohio,Columbus,27.5,69.9
5.6,Okla­homa,Oklahoma City,7.8,19.8
2.2,Oregon,Portland,3,7.6
19.4,Pennsylvania,Harris­burg,28.2,71.6
18.7,Rhode Island,Provi­dence,33.8,85.9
0.3,South Carolina,Columbia,0.5,1.3
30.1,South Dakota,Huron,43.9,111.5
6.2,Tenne­ssee,Nashville,6.3,16
1.3,Texas,Dallas,1.5,3.8
34.8,Utah,Salt Lake City,56.2,142.7
54.4,Vermont,Burlington,81.2,206.2
6.1,Virginia,Richmond,10.3,26.2
3,Washing­ton,Seattle,5,12.7
37.7,West Virginia,Beckley,62,157.5
38.7,Wisconsin,Madison,50.9,129.3
36.7,Wyoming,Lander,91.4,232.2
