#  Alabama 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189512,61.6,-1.5
189601,61.7,-1.4
189602,62.5,-0.6
189603,62.4,-0.7
189604,62.8,-0.3
189605,63.3,0.2
189606,63.3,0.2
189607,63.4,0.3
189608,63.7,0.6
189609,63.5,0.4
189610,63.8,0.7
189611,64.1,1.0
189612,64.3,1.2
189701,64.1,1.0
189702,64.4,1.3
189703,65.1,2.0
189704,64.6,1.5
189705,64.0,0.9
189706,64.3,1.2
189707,64.4,1.3
189708,64.1,1.0
189709,64.0,0.9
189710,64.4,1.3
189711,64.1,1.0
189712,64.2,1.1
189801,64.8,1.7
189802,64.4,1.3
189803,64.3,1.2
189804,64.0,0.9
189805,64.4,1.3
189806,64.4,1.3
189807,64.2,1.1
189808,64.2,1.1
189809,64.2,1.1
189810,63.7,0.6
189811,63.3,0.2
189812,63.0,-0.1
189901,62.6,-0.5
189902,62.0,-1.1
189903,61.7,-1.4
189904,62.0,-1.1
189905,62.2,-0.9
189906,62.1,-1.0
189907,62.1,-1.0
189908,62.3,-0.8
189909,62.1,-1.0
189910,62.5,-0.6
189911,63.0,-0.1
189912,63.1,0.0
190001,63.1,0.0
190002,63.5,0.4
190003,63.2,0.1
190004,63.4,0.3
190005,63.0,-0.1
190006,62.7,-0.4
190007,62.7,-0.4
190008,62.7,-0.4
190009,63.1,0.0
190010,63.3,0.2
190011,63.3,0.2
190012,63.4,0.3
190101,63.6,0.5
190102,63.5,0.4
190103,63.5,0.4
190104,63.0,-0.1
190105,63.0,-0.1
190106,63.2,0.1
190107,63.4,0.3
190108,63.2,0.1
190109,62.7,-0.4
190110,62.3,-0.8
190111,61.8,-1.3
190112,61.4,-1.7
190201,61.2,-1.9
190202,61.0,-2.1
190203,61.1,-2.0
190204,61.5,-1.6
190205,61.9,-1.2
190206,62.1,-1.0
190207,62.1,-1.0
190208,62.4,-0.7
190209,62.5,-0.6
190210,62.6,-0.5
190211,63.3,0.2
190212,63.6,0.5
190301,63.6,0.5
190302,64.2,1.1
190303,64.6,1.5
190304,64.5,1.4
190305,64.0,0.9
190306,63.4,0.3
190307,63.2,0.1
190308,63.0,-0.1
190309,63.0,-0.1
190310,63.0,-0.1
190311,62.4,-0.7
190312,62.0,-1.1
190401,61.8,-1.3
190402,61.8,-1.3
190403,61.7,-1.4
190404,61.6,-1.5
190405,61.7,-1.4
190406,62.0,-1.1
190407,61.9,-1.2
190408,61.7,-1.4
190409,62.0,-1.1
190410,62.2,-0.9
190411,62.3,-0.8
190412,62.8,-0.3
190501,62.6,-0.5
190502,61.7,-1.4
190503,61.8,-1.3
190504,62.1,-1.0
190505,62.5,-0.6
190506,62.6,-0.5
190507,62.7,-0.4
190508,62.8,-0.3
190509,62.7,-0.4
190510,62.6,-0.5
190511,62.9,-0.2
190512,62.6,-0.5
190601,63.3,0.2
190602,63.8,0.7
190603,63.1,0.0
190604,63.2,0.1
190605,62.8,-0.3
190606,62.8,-0.3
190607,62.7,-0.4
190608,62.8,-0.3
190609,63.0,-0.1
190610,62.7,-0.4
190611,62.7,-0.4
190612,63.3,0.2
190701,63.9,0.8
190702,64.2,1.1
190703,65.3,2.2
190704,64.7,1.6
190705,64.6,1.5
190706,64.3,1.2
190707,64.5,1.4
190708,64.5,1.4
190709,64.2,1.1
190710,64.4,1.3
190711,64.1,1.0
190712,63.7,0.6
190801,62.9,-0.2
190802,62.5,-0.6
190803,62.3,-0.8
190804,63.1,0.0
190805,63.4,0.3
190806,63.6,0.5
190807,63.5,0.4
190808,63.5,0.4
190809,63.4,0.3
190810,63.2,0.1
190811,63.6,0.5
190812,64.0,0.9
190901,64.6,1.5
190902,65.1,2.0
190903,64.6,1.5
190904,64.2,1.1
190905,64.0,0.9
190906,64.0,0.9
190907,64.0,0.9
190908,64.1,1.0
190909,64.2,1.1
190910,64.4,1.3
190911,64.6,1.5
190912,63.9,0.8
191001,63.5,0.4
191002,63.1,0.0
191003,63.4,0.3
191004,63.3,0.2
191005,63.3,0.2
191006,63.1,0.0
191007,63.0,-0.1
191008,62.9,-0.2
191009,63.0,-0.1
191010,63.3,0.2
191011,62.6,-0.5
191012,62.7,-0.4
191101,63.1,0.0
191102,63.8,0.7
191103,63.6,0.5
191104,63.7,0.6
191105,64.0,0.9
191106,64.5,1.4
191107,64.4,1.3
191108,64.4,1.3
191109,64.6,1.5
