#  Alaska 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
192512,25.3,-0.7
192601,27.4,1.4
192602,28.0,2.0
192603,28.8,2.8
192604,29.2,3.2
192605,29.3,3.3
192606,29.6,3.6
192607,29.7,3.7
192608,29.8,3.8
192609,29.9,3.9
192610,29.7,3.7
192611,30.0,4.0
192612,29.8,3.8
192701,29.1,3.1
192702,29.4,3.4
192703,28.0,2.0
192704,26.9,0.9
192705,26.7,0.7
192706,26.5,0.5
192707,26.5,0.5
192708,26.3,0.3
192709,25.7,-0.3
192710,25.0,-1.0
192711,23.7,-2.3
192712,23.9,-2.1
192801,24.1,-1.9
192802,24.6,-1.4
192803,24.6,-1.4
192804,25.4,-0.6
192805,25.4,-0.6
192806,25.4,-0.6
192807,25.1,-0.9
192808,25.0,-1.0
192809,25.1,-0.9
192810,25.3,-0.7
192811,26.5,0.5
192812,26.9,0.9
192901,27.3,1.3
192902,27.2,1.2
192903,27.2,1.2
192904,27.0,1.0
192905,27.0,1.0
192906,27.1,1.1
192907,27.1,1.1
192908,27.2,1.2
192909,27.8,1.8
192910,27.9,1.9
192911,28.1,2.1
192912,27.6,1.6
193001,27.4,1.4
193002,25.8,-0.2
193003,26.1,0.1
193004,26.1,0.1
193005,26.1,0.1
193006,26.0,0.0
193007,26.0,0.0
193008,26.1,0.1
193009,25.7,-0.3
193010,25.6,-0.4
193011,24.7,-1.3
193012,25.3,-0.7
193101,25.3,-0.7
193102,26.6,0.6
193103,26.9,0.9
193104,27.0,1.0
193105,26.8,0.8
193106,26.8,0.8
193107,26.7,0.7
193108,26.7,0.7
193109,26.7,0.7
193110,26.6,0.6
193111,27.3,1.3
193112,26.7,0.7
193201,25.5,-0.5
193202,24.2,-1.8
193203,24.6,-1.4
193204,24.8,-1.2
193205,24.9,-1.1
193206,24.8,-1.2
193207,24.8,-1.2
193208,24.6,-1.4
193209,24.5,-1.5
193210,24.8,-1.2
193211,23.8,-2.2
193212,23.9,-2.1
193301,23.7,-2.3
193302,24.3,-1.7
193303,23.8,-2.2
193304,23.8,-2.2
193305,23.8,-2.2
193306,23.8,-2.2
193307,23.8,-2.2
193308,23.9,-2.1
193309,23.9,-2.1
193310,23.4,-2.6
193311,24.1,-1.9
193312,23.0,-3.0
193401,22.7,-3.3
193402,23.6,-2.4
193403,23.9,-2.1
193404,24.0,-2.0
193405,23.9,-2.1
193406,24.1,-1.9
193407,24.0,-2.0
193408,24.0,-2.0
193409,24.3,-1.7
193410,24.9,-1.1
193411,24.9,-1.1
193412,26.4,0.4
193501,27.4,1.4
193502,27.2,1.2
193503,27.2,1.2
193504,27.0,1.0
193505,26.9,0.9
193506,26.9,0.9
193507,27.1,1.1
193508,27.0,1.0
193509,26.9,0.9
193510,26.6,0.6
193511,26.5,0.5
193512,25.7,-0.3
193601,26.0,0.0
193602,25.1,-0.9
193603,24.8,-1.2
193604,24.8,-1.2
193605,25.0,-1.0
193606,25.4,-0.6
193607,25.4,-0.6
193608,25.7,-0.3
193609,25.8,-0.2
193610,26.0,0.0
193611,26.3,0.3
193612,26.4,0.4
193701,27.2,1.2
193702,27.2,1.2
193703,27.2,1.2
193704,26.9,0.9
193705,26.7,0.7
193706,26.5,0.5
193707,26.5,0.5
193708,26.2,0.2
193709,26.4,0.4
193710,26.6,0.6
