#  Arizona 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189512,58.5,-0.9
189601,58.8,-0.5
189602,59.0,-0.4
189603,59.1,-0.2
189604,58.8,-0.6
189605,58.8,-0.6
189606,59.4,0.0
189607,59.4,0.0
189608,59.3,-0.1
189609,59.3,-0.1
189610,59.3,-0.1
189611,59.5,0.1
189612,60.0,0.6
189701,59.7,0.4
189702,59.4,0.0
189703,58.9,-0.4
189704,59.1,-0.3
189705,59.3,-0.1
189706,58.8,-0.6
189707,58.9,-0.5
189708,59.0,-0.4
189709,59.1,-0.3
189710,58.9,-0.5
189711,59.0,-0.4
189712,58.6,-0.8
189801,58.1,-1.2
189802,58.5,-0.9
189803,58.7,-0.6
189804,59.1,-0.3
189805,58.7,-0.7
189806,59.0,-0.4
189807,59.1,-0.3
189808,59.2,-0.2
189809,59.2,-0.2
189810,59.4,0.0
189811,59.2,-0.2
189812,59.0,-0.4
189901,59.3,0.0
189902,59.0,-0.4
189903,59.2,-0.1
189904,58.9,-0.5
189905,58.7,-0.7
189906,58.6,-0.8
189907,58.6,-0.8
189908,58.3,-1.1
189909,58.5,-0.9
189910,58.3,-1.1
189911,58.6,-0.8
189912,59.2,-0.2
190001,59.8,0.5
190002,60.0,0.6
190003,60.4,1.1
190004,60.0,0.6
190005,60.5,1.1
190006,60.6,1.2
190007,60.6,1.2
190008,60.6,1.2
190009,60.0,0.6
190010,60.1,0.7
190011,60.1,0.7
190012,60.1,0.7
190101,59.7,0.4
190102,59.7,0.3
190103,59.2,-0.1
190104,59.3,-0.1
190105,59.2,-0.2
190106,58.9,-0.5
190107,59.0,-0.4
190108,59.4,0.0
190109,59.7,0.3
190110,59.8,0.4
190111,59.9,0.5
190112,59.9,0.5
190201,60.0,0.7
190202,60.0,0.6
190203,59.8,0.5
190204,60.2,0.8
190205,60.2,0.8
190206,60.5,1.1
190207,60.1,0.7
190208,60.0,0.6
190209,60.0,0.6
190210,60.1,0.7
190211,59.8,0.4
190212,59.7,0.3
190301,59.6,0.3
190302,59.0,-0.4
190303,59.3,0.0
190304,59.0,-0.4
190305,58.9,-0.5
190306,58.7,-0.7
190307,58.8,-0.6
190308,59.0,-0.4
190309,58.9,-0.5
190310,58.7,-0.7
190311,59.0,-0.4
190312,59.0,-0.4
190401,58.7,-0.6
190402,59.6,0.2
190403,59.9,0.6
190404,60.0,0.6
190405,60.1,0.7
190406,60.1,0.7
190407,60.0,0.6
190408,59.8,0.4
190409,59.9,0.5
190410,59.8,0.4
190411,59.6,0.2
190412,59.7,0.3
190501,60.1,0.8
190502,59.8,0.4
190503,59.6,0.3
190504,59.4,0.0
190505,59.0,-0.4
190506,58.8,-0.6
190507,58.9,-0.5
190508,59.1,-0.3
190509,59.2,-0.2
190510,59.2,-0.2
190511,59.1,-0.3
190512,58.8,-0.6
190601,58.4,-0.9
190602,58.7,-0.7
190603,58.6,-0.7
190604,58.7,-0.7
190605,58.9,-0.5
190606,58.9,-0.5
190607,59.0,-0.4
190608,58.7,-0.7
190609,58.5,-0.9
190610,58.5,-0.9
190611,58.4,-1.0
190612,59.0,-0.4
190701,59.3,0.0
190702,59.5,0.1
190703,59.6,0.3
190704,59.8,0.4
190705,59.6,0.2
190706,59.3,-0.1
190707,59.2,-0.2
190708,59.3,-0.1
190709,59.4,0.0
190710,59.5,0.1
190711,59.6,0.2
190712,59.5,0.1
190801,59.5,0.2
190802,59.1,-0.3
190803,59.1,-0.2
190804,59.0,-0.4
190805,59.0,-0.4
190806,59.1,-0.3
190807,59.2,-0.2
190808,59.2,-0.2
190809,59.2,-0.2
190810,58.8,-0.6
190811,58.9,-0.5
190812,58.7,-0.7
190901,58.9,-0.4
190902,58.9,-0.5
190903,58.4,-0.9
190904,58.4,-1.0
190905,58.5,-0.9
190906,58.7,-0.7
190907,58.7,-0.7
190908,58.7,-0.7
190909,58.6,-0.8
190910,59.0,-0.4
190911,59.0,-0.4
190912,58.5,-0.9
191001,58.0,-1.3
191002,58.0,-1.4
191003,58.8,-0.5
191004,59.0,-0.4
191005,59.5,0.1
191006,59.6,0.2
191007,59.6,0.2
191008,59.9,0.5
191009,60.2,0.8
191010,60.3,0.9
191011,60.4,1.0
191012,61.2,1.8
191101,61.6,2.3
191102,61.6,2.2
191103,61.4,2.1
191104,61.1,1.7
191105,60.8,1.4
191106,60.6,1.2
191107,60.4,1.0
191108,60.3,0.9
191109,60.1,0.7
191110,59.9,0.5
191111,59.5,0.1
191112,58.8,-0.6
191201,58.5,-0.8
191202,58.6,-0.8
191203,58.2,-1.1
191204,57.8,-1.6
191205,57.8,-1.6
191206,57.9,-1.5
191207,57.7,-1.7
191208,57.5,-1.9
191209,57.1,-2.3
191210,57.0,-2.4
191211,57.1,-2.3
191212,57.2,-2.2
191301,56.7,-2.6
191302,56.5,-2.9
191303,56.3,-3.0
191304,56.6,-2.8
191305,56.7,-2.7
191306,56.4,-3.0
191307,56.6,-2.8
191308,56.7,-2.7
191309,56.9,-2.5
191310,57.1,-2.3
191311,57.3,-2.1
191312,57.5,-1.9
191401,58.2,-1.1
191402,58.4,-1.0
191403,58.9,-0.4
191404,59.1,-0.3
191405,59.2,-0.2
191406,59.4,0.0
191407,59.4,0.0
191408,59.5,0.1
191409,59.7,0.3
191410,59.9,0.5
191411,60.0,0.6
191412,59.9,0.5
191501,59.5,0.2
191502,59.4,0.0
191503,59.1,-0.2
191504,59.0,-0.4
191505,58.6,-0.8
191506,58.4,-1.0
191507,58.5,-0.9
191508,58.5,-0.9
191509,58.2,-1.2
191510,58.3,-1.1
191511,58.0,-1.4
191512,58.2,-1.2
191601,58.4,-0.9
191602,58.8,-0.6
191603,59.3,0.0
191604,59.4,0.0
191605,59.6,0.2
191606,59.7,0.3
191607,59.8,0.4
191608,59.5,0.1
191609,59.6,0.2
191610,59.2,-0.2
191611,59.1,-0.3
191612,58.8,-0.6
191701,58.5,-0.8
191702,58.0,-1.4
191703,57.3,-2.0
191704,56.9,-2.5
191705,56.6,-2.8
191706,56.6,-2.8
191707,56.9,-2.5
191708,57.0,-2.4
191709,57.2,-2.2
191710,57.6,-1.8
191711,58.0,-1.4
191712,58.7,-0.7
191801,58.8,-0.5
191802,59.0,-0.4
191803,59.6,0.3
191804,59.8,0.4
191805,60.0,0.6
191806,60.3,0.9
191807,60.1,0.7
191808,59.9,0.5
191809,59.9,0.5
191810,59.9,0.5
191811,59.4,0.0
191812,58.8,-0.6
191901,58.6,-0.7
191902,58.1,-1.3
191903,57.7,-1.6
191904,57.9,-1.5
191905,58.4,-1.0
191906,58.1,-1.3
191907,58.1,-1.3
191908,58.3,-1.1
191909,58.2,-1.2
191910,57.7,-1.7
191911,57.8,-1.6
191912,58.1,-1.3
192001,58.6,-0.7
192002,59.1,-0.3
192003,59.2,-0.1
192004,58.6,-0.8
192005,58.4,-1.0
192006,58.2,-1.2
192007,58.3,-1.1
192008,58.1,-1.3
192009,58.0,-1.4
192010,58.0,-1.4
192011,58.1,-1.3
192012,57.8,-1.6
192101,57.8,-1.5
192102,57.8,-1.6
192103,58.3,-1.0
192104,58.5,-0.9
192105,58.4,-1.0
192106,58.5,-0.9
192107,58.5,-0.9
192108,58.5,-0.9
192109,58.6,-0.8
192110,59.2,-0.2
192111,59.4,0.0
192112,59.9,0.5
192201,59.6,0.3
192202,59.3,-0.1
192203,58.7,-0.6
192204,58.5,-0.9
192205,58.7,-0.7
192206,58.8,-0.6
192207,59.0,-0.4
192208,59.1,-0.3
192209,59.3,-0.1
192210,59.2,-0.2
192211,58.7,-0.7
192212,58.6,-0.8
192301,59.2,-0.1
192302,59.2,-0.2
192303,59.2,-0.1
192304,59.4,0.0
192305,59.5,0.1
192306,59.1,-0.3
192307,59.0,-0.4
192308,58.7,-0.7
192309,58.3,-1.1
192310,58.0,-1.4
192311,58.2,-1.2
192312,57.9,-1.5
192401,57.3,-2.0
192402,57.7,-1.7
192403,57.6,-1.7
192404,57.5,-1.9
192405,57.5,-1.9
192406,58.0,-1.4
192407,58.0,-1.4
192408,58.2,-1.2
192409,58.5,-0.9
192410,58.7,-0.7
192411,58.8,-0.6
192412,58.6,-0.8
192501,58.5,-0.8
192502,58.6,-0.8
192503,59.1,-0.2
192504,59.5,0.1
192505,59.6,0.2
192506,59.3,-0.1
192507,59.5,0.1
192508,59.2,-0.2
192509,59.0,-0.4
192510,59.0,-0.4
192511,58.8,-0.6
192512,59.1,-0.3
192601,59.2,-0.1
192602,59.2,-0.2
192603,59.1,-0.2
192604,59.0,-0.4
192605,58.7,-0.7
192606,58.9,-0.5
192607,58.8,-0.6
192608,58.9,-0.5
192609,59.2,-0.2
