#  Arkansas 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189512,58.9,-1.5
189601,59.2,-1.2
189602,60.1,-0.3
189603,59.8,-0.6
189604,60.3,-0.1
189605,60.7,0.3
189606,60.8,0.4
189607,61.2,0.8
189608,61.5,1.1
189609,61.2,0.8
189610,61.5,1.1
189611,61.8,1.4
189612,62.1,1.7
189701,61.9,1.5
189702,62.0,1.6
189703,62.6,2.2
189704,62.1,1.7
189705,61.5,1.1
189706,61.6,1.2
189707,61.5,1.1
189708,61.2,0.8
189709,61.4,1.0
189710,62.0,1.6
189711,61.8,1.4
189712,61.3,0.9
189801,61.8,1.4
189802,61.7,1.3
189803,61.5,1.1
189804,61.3,0.9
189805,61.6,1.2
189806,61.7,1.3
189807,61.5,1.1
189808,61.5,1.1
189809,61.4,1.0
189810,60.8,0.4
189811,60.5,0.1
189812,60.4,0.0
189901,60.0,-0.4
189902,58.9,-1.5
189903,58.6,-1.8
189904,58.8,-1.6
189905,58.9,-1.5
189906,58.8,-1.6
189907,58.7,-1.7
189908,59.0,-1.4
189909,58.7,-1.7
189910,59.2,-1.2
189911,59.7,-0.7
189912,60.0,-0.4
190001,60.3,-0.1
190002,60.9,0.5
190003,61.0,0.6
190004,61.1,0.7
190005,60.8,0.4
190006,60.8,0.4
190007,60.8,0.4
190008,60.7,0.3
190009,61.1,0.7
190010,61.2,0.8
190011,61.0,0.6
190012,61.2,0.8
190101,61.4,1.0
190102,61.4,1.0
190103,61.4,1.0
190104,61.1,0.7
190105,61.0,0.6
190106,61.2,0.8
190107,61.6,1.2
190108,61.6,1.2
190109,61.1,0.7
190110,60.9,0.5
190111,60.7,0.3
190112,60.2,-0.2
190201,59.6,-0.8
190202,59.2,-1.2
190203,59.3,-1.1
190204,59.5,-0.9
190205,60.0,-0.4
190206,59.9,-0.5
190207,59.5,-0.9
190208,59.5,-0.9
190209,59.2,-1.2
190210,59.1,-1.3
190211,59.6,-0.8
190212,59.7,-0.7
190301,59.9,-0.5
190302,60.4,0.0
190303,60.6,0.2
190304,60.5,0.1
190305,60.0,-0.4
190306,59.5,-0.9
190307,59.4,-1.0
190308,59.2,-1.2
190309,59.4,-1.0
190310,59.3,-1.1
190311,58.6,-1.8
190312,58.5,-1.9
190401,58.4,-2.0
190402,58.7,-1.7
190403,58.7,-1.7
190404,58.4,-2.0
190405,58.3,-2.1
190406,58.7,-1.7
190407,58.6,-1.8
190408,58.5,-1.9
190409,58.9,-1.5
190410,59.0,-1.4
190411,59.3,-1.1
190412,59.5,-0.9
190501,59.1,-1.3
190502,58.0,-2.4
190503,58.2,-2.2
190504,58.6,-1.8
190505,58.8,-1.6
190506,59.0,-1.4
190507,59.0,-1.4
190508,59.1,-1.3
190509,59.0,-1.4
190510,58.9,-1.5
190511,59.1,-1.3
190512,58.8,-1.6
190601,59.6,-0.8
190602,60.3,-0.1
190603,59.3,-1.1
190604,59.6,-0.8
190605,59.4,-1.0
190606,59.3,-1.1
190607,59.3,-1.1
190608,59.2,-1.2
190609,59.3,-1.1
190610,59.1,-1.3
190611,58.8,-1.6
190612,59.5,-0.9
190701,60.1,-0.3
190702,60.4,0.0
190703,61.8,1.4
190704,61.1,0.7
190705,60.7,0.3
190706,60.6,0.2
190707,60.9,0.5
190708,61.3,0.9
190709,61.1,0.7
190710,61.4,1.0
190711,61.3,0.9
190712,61.1,0.7
190801,60.4,0.0
190802,60.4,0.0
190803,60.2,-0.2
190804,60.9,0.5
190805,61.4,1.0
190806,61.5,1.1
190807,61.3,0.9
190808,61.1,0.7
190809,61.1,0.7
190810,60.9,0.5
190811,61.3,0.9
190812,61.4,1.0
190901,61.6,1.2
190902,61.9,1.5
190903,61.3,0.9
190904,61.1,0.7
190905,60.8,0.4
190906,60.9,0.5
190907,61.1,0.7
190908,61.3,0.9
190909,61.4,1.0
190910,61.7,1.3
190911,62.2,1.8
190912,61.3,0.9
191001,61.1,0.7
191002,60.4,0.0
191003,61.0,0.6
191004,60.9,0.5
191005,60.9,0.5
191006,60.6,0.2
191007,60.4,0.0
191008,60.2,-0.2
191009,60.3,-0.1
191010,60.4,0.0
191011,59.7,-0.7
191012,60.1,-0.3
191101,60.6,0.2
191102,61.5,1.1
191103,61.2,0.8
191104,61.3,0.9
191105,61.7,1.3
191106,62.2,1.8
191107,62.1,1.7
191108,62.1,1.7
191109,62.2,1.8
191110,62.2,1.8
191111,61.8,1.4
191112,62.1,1.7
191201,60.9,0.5
191202,59.9,-0.5
191203,59.0,-1.4
191204,59.1,-1.3
191205,59.0,-1.4
191206,58.4,-2.0
191207,58.6,-1.8
191208,58.7,-1.7
191209,58.3,-2.1
191210,58.4,-2.0
191211,58.7,-1.7
191212,58.5,-1.9
191301,59.3,-1.1
191302,59.6,-0.8
191303,59.9,-0.5
191304,59.8,-0.6
191305,59.8,-0.6
191306,60.1,-0.3
191307,60.1,-0.3
191308,60.4,0.0
191309,60.2,-0.2
191310,59.9,-0.5
191311,60.4,0.0
191312,60.6,0.2
191401,60.8,0.4
191402,60.7,0.3
191403,60.8,0.4
191404,60.7,0.3
191405,60.8,0.4
191406,61.2,0.8
191407,61.3,0.9
191408,61.0,0.6
191409,61.2,0.8
191410,61.4,1.0
