#  California 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189512,56.5,-0.9
189601,56.9,-0.5
189602,57.0,-0.4
189603,57.1,-0.3
189604,56.7,-0.7
189605,56.5,-0.9
189606,56.7,-0.7
189607,57.0,-0.4
189608,57.1,-0.3
189609,57.1,-0.3
189610,57.1,-0.3
189611,57.1,-0.3
189612,57.5,0.1
189701,57.2,-0.2
189702,56.8,-0.6
189703,56.2,-1.2
189704,56.8,-0.6
189705,57.2,-0.2
189706,57.0,-0.4
189707,56.8,-0.6
189708,57.0,-0.4
189709,57.0,-0.4
189710,56.7,-0.7
189711,56.8,-0.6
189712,56.5,-0.9
189801,56.1,-1.3
189802,56.5,-0.9
189803,56.7,-0.7
189804,56.8,-0.6
189805,56.4,-1.0
189806,56.4,-1.0
189807,56.4,-1.0
189808,56.4,-1.0
189809,56.5,-0.9
189810,56.7,-0.7
189811,56.7,-0.7
189812,56.7,-0.7
189901,57.2,-0.2
189902,57.0,-0.4
189903,57.2,-0.2
189904,57.0,-0.4
189905,56.8,-0.6
189906,56.8,-0.6
189907,56.8,-0.6
189908,56.3,-1.1
189909,56.5,-0.9
189910,56.2,-1.2
189911,56.4,-1.0
189912,56.6,-0.8
190001,56.7,-0.7
190002,56.9,-0.5
190003,57.3,-0.1
190004,57.0,-0.4
190005,57.5,0.1
190006,57.6,0.2
190007,57.6,0.2
190008,57.7,0.3
190009,57.1,-0.3
190010,57.3,-0.1
190011,57.4,0.0
190012,57.5,0.1
190101,57.2,-0.2
190102,57.0,-0.4
190103,56.7,-0.7
190104,56.8,-0.6
190105,56.6,-0.8
190106,56.4,-1.0
190107,56.4,-1.0
190108,56.9,-0.5
190109,57.0,-0.4
190110,57.2,-0.2
190111,57.2,-0.2
190112,57.2,-0.2
190201,57.2,-0.2
190202,57.3,-0.1
190203,57.0,-0.4
190204,57.1,-0.3
190205,56.9,-0.5
190206,57.1,-0.3
190207,56.9,-0.5
190208,56.6,-0.8
190209,57.0,-0.4
190210,56.7,-0.7
190211,56.3,-1.1
190212,56.2,-1.2
190301,56.2,-1.2
190302,55.6,-1.8
190303,55.7,-1.7
190304,55.6,-1.8
190305,55.8,-1.6
190306,55.8,-1.6
190307,55.7,-1.7
190308,55.8,-1.6
190309,55.6,-1.8
190310,55.8,-1.6
190311,56.1,-1.3
190312,56.2,-1.2
190401,56.2,-1.2
190402,56.8,-0.6
190403,56.8,-0.6
190404,57.0,-0.4
190405,57.2,-0.2
190406,57.2,-0.2
190407,57.3,-0.1
190408,57.4,0.0
190409,57.6,0.2
190410,57.4,0.0
190411,57.4,0.0
190412,57.4,0.0
190501,57.8,0.4
190502,57.9,0.5
190503,58.2,0.8
190504,58.2,0.8
190505,57.7,0.3
190506,57.5,0.1
190507,57.7,0.3
190508,57.6,0.2
190509,57.5,0.1
190510,57.5,0.1
190511,57.3,-0.1
190512,57.1,-0.3
190601,56.9,-0.5
190602,57.1,-0.3
190603,56.8,-0.6
190604,56.7,-0.7
190605,56.7,-0.7
190606,56.7,-0.7
190607,56.9,-0.5
190608,56.9,-0.5
190609,56.9,-0.5
190610,57.0,-0.4
190611,57.0,-0.4
190612,57.2,-0.2
190701,56.9,-0.5
190702,57.0,-0.4
190703,56.8,-0.6
190704,57.0,-0.4
190705,57.2,-0.2
190706,57.1,-0.3
190707,56.7,-0.7
190708,56.5,-0.9
190709,56.3,-1.1
190710,56.2,-1.2
190711,56.4,-1.0
190712,56.5,-0.9
190801,56.8,-0.6
190802,56.3,-1.1
190803,56.5,-0.9
190804,56.5,-0.9
190805,56.2,-1.2
190806,56.2,-1.2
190807,56.5,-0.9
190808,56.7,-0.7
190809,56.9,-0.5
190810,56.5,-0.9
190811,56.6,-0.8
190812,56.2,-1.2
190901,56.3,-1.1
190902,56.4,-1.0
190903,56.2,-1.2
190904,56.1,-1.3
190905,56.3,-1.1
190906,56.6,-0.8
190907,56.3,-1.1
190908,56.3,-1.1
190909,56.3,-1.1
190910,56.4,-1.0
190911,56.3,-1.1
190912,56.2,-1.2
