#  Colorado 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189512,42.4,-2.2
189601,42.9,-1.7
189602,43.6,-1.0
189603,43.6,-1.0
189604,43.5,-1.1
189605,43.6,-1.0
189606,44.1,-0.5
189607,44.4,-0.2
189608,44.5,-0.1
189609,44.3,-0.3
189610,44.2,-0.4
189611,44.2,-0.4
189612,44.9,0.3
189701,44.4,-0.2
189702,44.2,-0.4
189703,44.1,-0.5
189704,44.0,-0.6
189705,44.2,-0.4
189706,44.0,-0.6
189707,43.9,-0.7
189708,43.7,-0.9
189709,44.1,-0.5
189710,44.2,-0.4
189711,44.7,0.1
189712,44.0,-0.6
189801,43.9,-0.7
189802,44.2,-0.4
189803,44.2,-0.4
189804,44.4,-0.2
189805,43.8,-0.8
189806,43.9,-0.7
189807,44.0,-0.6
189808,44.1,-0.5
189809,43.7,-0.9
189810,43.4,-1.2
189811,43.0,-1.6
189812,42.7,-1.9
189901,42.9,-1.7
189902,41.8,-2.8
189903,41.9,-2.7
189904,41.9,-2.7
189905,42.0,-2.6
189906,42.0,-2.6
189907,41.9,-2.7
189908,41.7,-2.9
189909,42.0,-2.6
189910,42.1,-2.5
189911,42.8,-1.8
189912,43.2,-1.4
190001,43.8,-0.8
190002,44.5,-0.1
190003,45.0,0.4
190004,44.7,0.1
190005,44.9,0.3
190006,45.1,0.5
190007,45.2,0.6
190008,45.2,0.6
190009,45.0,0.4
190010,45.2,0.6
190011,45.0,0.4
190012,45.4,0.8
190101,45.2,0.6
190102,45.1,0.5
190103,44.7,0.1
190104,44.8,0.2
190105,44.8,0.2
190106,44.5,-0.1
190107,44.8,0.2
190108,44.9,0.3
190109,45.0,0.4
190110,45.0,0.4
190111,45.2,0.6
190112,45.1,0.5
190201,45.1,0.5
190202,45.5,0.9
190203,45.4,0.8
190204,45.6,1.0
190205,45.7,1.1
190206,45.8,1.2
190207,45.3,0.7
190208,45.3,0.7
190209,45.2,0.6
190210,45.1,0.5
190211,44.8,0.2
190212,44.7,0.1
190301,44.7,0.1
190302,43.5,-1.1
190303,43.5,-1.1
190304,43.4,-1.2
190305,43.0,-1.6
190306,42.6,-2.0
190307,42.7,-1.9
190308,42.7,-1.9
190309,42.6,-2.0
190310,42.6,-2.0
190311,42.6,-2.0
190312,42.8,-1.8
190401,42.6,-2.0
190402,43.9,-0.7
190403,44.4,-0.2
190404,44.5,-0.1
190405,44.7,0.1
190406,44.7,0.1
190407,44.6,0.0
190408,44.5,-0.1
190409,44.7,0.1
190410,44.7,0.1
190411,44.7,0.1
190412,44.7,0.1
190501,44.8,0.2
190502,43.9,-0.7
190503,44.0,-0.6
190504,43.8,-0.8
190505,43.6,-1.0
190506,43.9,-0.7
190507,44.0,-0.6
190508,44.1,-0.5
190509,44.2,-0.4
190510,43.9,-0.7
190511,43.9,-0.7
190512,43.5,-1.1
190601,43.7,-0.9
190602,44.4,-0.2
190603,43.6,-1.0
190604,43.8,-0.8
190605,44.0,-0.6
190606,43.8,-0.8
190607,43.7,-0.9
190608,43.5,-1.1
190609,43.3,-1.3
190610,43.4,-1.2
190611,43.1,-1.5
190612,44.0,-0.6
190701,44.1,-0.5
190702,44.6,0.0
190703,45.6,1.0
190704,45.4,0.8
190705,45.0,0.4
190706,44.8,0.2
190707,45.1,0.5
190708,45.2,0.6
190709,45.2,0.6
190710,45.6,1.0
190711,45.6,1.0
190712,45.1,0.5
190801,44.9,0.3
190802,44.3,-0.3
190803,44.0,-0.6
190804,44.2,-0.4
190805,44.4,-0.2
190806,44.5,-0.1
190807,44.4,-0.2
190808,44.4,-0.2
190809,44.5,-0.1
190810,44.0,-0.6
190811,43.9,-0.7
190812,43.6,-1.0
190901,43.9,-0.7
190902,43.8,-0.8
190903,43.3,-1.3
190904,42.9,-1.7
190905,42.9,-1.7
190906,43.0,-1.6
190907,43.2,-1.4
190908,43.4,-1.2
190909,43.3,-1.3
190910,43.6,-1.0
190911,43.9,-0.7
190912,43.3,-1.3
191001,42.9,-1.7
191002,42.8,-1.8
191003,43.7,-0.9
191004,44.2,-0.4
191005,44.5,-0.1
191006,44.6,0.0
191007,44.6,0.0
191008,44.5,-0.1
191009,44.7,0.1
191010,44.8,0.2
191011,45.0,0.4
191012,46.1,1.5
191101,46.7,2.1
191102,46.8,2.2
191103,46.5,1.9
191104,46.3,1.7
191105,46.4,1.8
191106,46.5,1.9
191107,46.2,1.6
191108,46.1,1.5
191109,46.1,1.5
191110,45.8,1.2
191111,45.1,0.5
191112,44.4,-0.2
191201,43.7,-0.9
191202,43.6,-1.0
191203,42.8,-1.8
191204,42.5,-2.1
191205,42.3,-2.3
191206,41.9,-2.7
191207,41.9,-2.7
191208,41.9,-2.7
191209,41.2,-3.4
191210,41.3,-3.3
191211,41.7,-2.9
191212,41.8,-2.8
191301,41.7,-2.9
191302,41.3,-3.3
191303,41.5,-3.1
191304,41.8,-2.8
191305,42.1,-2.5
191306,42.3,-2.3
191307,42.4,-2.2
191308,42.7,-1.9
191309,42.9,-1.7
191310,42.8,-1.8
191311,43.1,-1.5
191312,42.8,-1.8
191401,43.3,-1.3
191402,43.6,-1.0
191403,43.8,-0.8
191404,43.8,-0.8
191405,43.8,-0.8
191406,43.9,-0.7
191407,43.9,-0.7
191408,43.7,-0.9
191409,44.1,-0.5
191410,44.4,-0.2
191411,44.4,-0.2
191412,44.4,-0.2
191501,43.9,-0.7
191502,44.3,-0.3
191503,43.9,-0.7
191504,44.1,-0.5
191505,43.8,-0.8
191506,43.4,-1.2
191507,43.2,-1.4
191508,43.0,-1.6
191509,42.8,-1.8
191510,42.8,-1.8
191511,42.6,-2.0
191512,43.2,-1.4
191601,43.2,-1.4
191602,43.3,-1.3
191603,44.0,-0.6
191604,43.7,-0.9
191605,43.9,-0.7
191606,44.1,-0.5
191607,44.4,-0.2
191608,44.6,0.0
191609,44.5,-0.1
191610,44.3,-0.3
191611,43.9,-0.7
191612,43.5,-1.1
191701,43.4,-1.2
