#  Connecticut 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189512,46.6,-1.4
189601,46.5,-1.5
189602,47.1,-0.9
189603,46.8,-1.3
189604,47.1,-1.0
189605,47.3,-0.8
189606,47.0,-1.1
189607,47.3,-0.8
189608,47.3,-0.8
189609,47.0,-1.0
189610,47.2,-0.8
189611,47.3,-0.7
189612,46.8,-1.2
189701,47.1,-0.9
189702,47.2,-0.8
189703,47.7,-0.4
189704,47.6,-0.5
189705,47.3,-0.8
189706,47.1,-1.0
189707,47.1,-1.0
189708,46.9,-1.2
189709,46.9,-1.1
189710,47.3,-0.7
189711,46.9,-1.1
189712,47.3,-0.7
189801,47.4,-0.6
189802,47.5,-0.5
189803,47.9,-0.2
189804,47.6,-0.5
189805,47.5,-0.6
189806,47.9,-0.2
189807,47.9,-0.2
189808,48.2,0.1
189809,48.5,0.5
189810,48.5,0.5
189811,48.4,0.4
189812,48.2,0.2
189901,48.1,0.1
189902,47.7,-0.3
189903,46.9,-1.2
189904,47.1,-1.0
189905,47.3,-0.8
189906,47.5,-0.6
189907,47.3,-0.8
189908,47.1,-1.0
189909,46.7,-1.3
189910,46.8,-1.2
189911,46.8,-1.2
189912,47.1,-0.9
190001,47.2,-0.8
190002,47.5,-0.5
190003,47.4,-0.7
190004,47.4,-0.7
190005,47.3,-0.8
190006,47.2,-0.9
190007,47.4,-0.7
190008,47.6,-0.5
190009,48.1,0.1
190010,48.4,0.4
190011,48.6,0.6
190012,48.4,0.4
190101,48.3,0.3
190102,47.8,-0.2
190103,48.1,0.0
190104,48.0,-0.1
190105,47.9,-0.2
190106,47.9,-0.2
190107,48.0,-0.1
190108,47.9,-0.2
190109,47.6,-0.4
190110,47.3,-0.7
190111,46.6,-1.4
190112,46.6,-1.4
190201,46.4,-1.6
190202,46.8,-1.2
190203,47.4,-0.7
190204,47.5,-0.6
190205,47.6,-0.5
190206,47.3,-0.8
190207,46.9,-1.2
190208,46.6,-1.5
190209,46.5,-1.5
190210,46.6,-1.4
190211,47.4,-0.6
190212,47.2,-0.8
190301,47.4,-0.6
190302,47.6,-0.4
190303,47.9,-0.2
190304,47.9,-0.2
190305,48.1,0.0
190306,47.8,-0.3
190307,48.0,-0.1
190308,47.7,-0.4
190309,47.7,-0.3
190310,47.7,-0.3
190311,47.0,-1.0
190312,46.9,-1.1
190401,46.2,-1.8
190402,45.5,-2.5
190403,44.5,-3.6
190404,44.2,-3.9
190405,44.3,-3.8
190406,44.7,-3.4
190407,44.6,-3.5
190408,45.0,-3.1
190409,44.9,-3.1
190410,44.6,-3.4
190411,44.5,-3.5
190412,44.3,-3.7
190501,44.7,-3.3
190502,44.6,-3.4
190503,44.8,-3.3
190504,45.0,-3.1
190505,44.8,-3.3
190506,44.8,-3.3
190507,45.0,-3.1
190508,44.9,-3.2
190509,44.9,-3.1
190510,45.2,-2.8
190511,45.5,-2.5
190512,46.3,-1.7
190601,47.1,-0.9
190602,47.7,-0.3
190603,47.3,-0.8
190604,47.4,-0.7
190605,47.4,-0.7
190606,47.5,-0.6
190607,47.4,-0.7
190608,47.8,-0.3
190609,48.0,0.0
190610,48.1,0.1
190611,48.1,0.1
190612,47.7,-0.3
190701,47.2,-0.8
190702,46.4,-1.6
190703,47.0,-1.1
190704,46.6,-1.5
190705,46.1,-2.0
190706,45.8,-2.3
190707,45.8,-2.3
190708,45.5,-2.6
190709,45.4,-2.6
190710,45.0,-3.0
190711,45.1,-2.9
190712,45.6,-2.4
190801,45.8,-2.2
190802,46.2,-1.8
190803,46.2,-1.9
190804,46.5,-1.6
190805,47.1,-1.0
190806,47.6,-0.5
190807,47.8,-0.3
190808,47.8,-0.3
190809,47.9,-0.1
190810,48.5,0.5
190811,48.5,0.5
190812,48.2,0.2
190901,48.3,0.3
190902,49.0,1.0
190903,48.8,0.7
190904,48.7,0.6
190905,48.5,0.4
190906,48.4,0.3
190907,48.1,0.0
190908,48.0,-0.1
190909,47.8,-0.2
190910,47.3,-0.7
190911,47.7,-0.3
190912,47.4,-0.6
191001,47.3,-0.7
191002,46.9,-1.1
191003,47.4,-0.7
191004,47.8,-0.3
191005,47.8,-0.3
191006,47.6,-0.5
191007,47.9,-0.2
191008,47.9,-0.2
191009,48.0,0.0
191010,48.3,0.3
191011,47.8,-0.2
191012,47.6,-0.4
191101,47.7,-0.3
191102,47.6,-0.4
191103,47.0,-1.1
191104,46.4,-1.7
191105,46.8,-1.3
191106,46.9,-1.2
191107,47.0,-1.1
191108,47.1,-1.0
191109,47.0,-1.0
191110,46.7,-1.3
191111,46.7,-1.3
191112,47.7,-0.3
191201,46.7,-1.3
191202,46.6,-1.4
191203,46.5,-1.6
191204,46.7,-1.4
191205,46.4,-1.7
191206,46.3,-1.8
191207,46.1,-2.0
191208,46.0,-2.1
191209,46.0,-2.0
191210,46.3,-1.7
191211,46.6,-1.4
191212,46.6,-1.4
191301,48.1,0.1
191302,48.2,0.2
191303,48.8,0.7
191304,49.0,0.9
191305,48.8,0.7
191306,48.9,0.8
191307,49.0,0.9
191308,49.2,1.1
191309,49.1,1.1
191310,49.2,1.2
191311,49.3,1.3
191312,49.2,1.2
191401,48.4,0.4
191402,48.0,0.0
191403,47.5,-0.6
191404,47.1,-1.0
191405,47.4,-0.7
191406,47.3,-0.8
191407,47.0,-1.1
191408,47.0,-1.1
191409,47.2,-0.8
191410,47.2,-0.8
191411,46.9,-1.1
191412,46.4,-1.6
