#  Delaware 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189512,52.7,-1.5
189601,52.7,-1.5
189602,53.6,-0.6
189603,53.4,-0.8
189604,53.7,-0.5
189605,54.2,0.0
189606,53.9,-0.3
189607,54.3,0.1
189608,54.2,0.0
189609,53.8,-0.4
189610,54.0,-0.2
189611,54.3,0.1
189612,53.9,-0.3
189701,53.8,-0.4
189702,53.8,-0.4
189703,54.3,0.1
189704,54.1,-0.1
189705,53.6,-0.6
189706,53.5,-0.7
189707,53.4,-0.8
189708,53.2,-1.0
189709,53.3,-0.9
189710,53.7,-0.5
189711,53.3,-0.9
189712,53.6,-0.6
189801,54.1,-0.1
189802,54.1,-0.1
189803,54.3,0.1
189804,54.1,-0.1
189805,54.1,-0.1
189806,54.4,0.2
189807,54.6,0.4
189808,54.9,0.7
189809,55.1,0.9
189810,55.1,0.9
189811,54.9,0.7
189812,54.8,0.6
189901,54.5,0.3
189902,53.8,-0.4
189903,53.3,-0.9
189904,53.5,-0.7
189905,53.6,-0.6
189906,53.8,-0.4
189907,53.7,-0.5
189908,53.4,-0.8
189909,53.1,-1.1
189910,53.1,-1.1
189911,53.2,-1.0
189912,53.3,-0.9
190001,53.4,-0.8
190002,53.9,-0.3
190003,53.7,-0.5
190004,53.7,-0.5
190005,53.7,-0.5
190006,53.6,-0.6
190007,53.8,-0.4
190008,54.2,0.0
190009,54.7,0.5
190010,55.0,0.8
190011,55.2,1.0
190012,55.2,1.0
190101,55.1,0.9
190102,54.6,0.4
190103,55.1,0.9
190104,54.8,0.6
190105,54.6,0.4
190106,54.6,0.4
190107,54.7,0.5
190108,54.4,0.2
190109,54.1,-0.1
190110,53.7,-0.5
190111,53.0,-1.2
190112,52.9,-1.3
190201,52.6,-1.6
190202,52.7,-1.5
190203,52.9,-1.3
190204,53.0,-1.2
190205,53.2,-1.0
190206,53.1,-1.1
190207,52.8,-1.4
190208,52.5,-1.7
190209,52.4,-1.8
190210,52.6,-1.6
190211,53.5,-0.7
190212,53.5,-0.7
190301,53.6,-0.6
190302,54.3,0.1
190303,54.6,0.4
190304,54.6,0.4
190305,54.7,0.5
190306,54.3,0.1
190307,54.3,0.1
190308,54.3,0.1
190309,54.3,0.1
190310,54.2,0.0
190311,53.4,-0.8
190312,53.2,-1.0
190401,52.7,-1.5
190402,52.0,-2.2
190403,51.3,-2.9
190404,51.0,-3.2
190405,51.1,-3.1
190406,51.4,-2.8
190407,51.2,-3.0
190408,51.3,-2.9
190409,51.3,-2.9
190410,51.0,-3.2
190411,51.1,-3.1
190412,50.9,-3.3
190501,51.1,-3.1
190502,50.9,-3.3
190503,51.2,-3.0
190504,51.4,-2.8
190505,51.4,-2.8
190506,51.5,-2.7
190507,51.6,-2.6
190508,51.6,-2.6
190509,51.7,-2.5
190510,52.0,-2.2
190511,52.1,-2.1
190512,52.8,-1.4
190601,53.7,-0.5
190602,54.3,0.1
190603,53.9,-0.3
190604,54.0,-0.2
190605,53.9,-0.3
190606,54.1,-0.1
190607,54.0,-0.2
190608,54.3,0.1
190609,54.6,0.4
190610,54.5,0.3
190611,54.6,0.4
190612,54.5,0.3
190701,54.2,0.0
190702,53.7,-0.5
190703,54.3,0.1
190704,53.8,-0.4
190705,53.3,-0.9
190706,52.7,-1.5
190707,52.8,-1.4
190708,52.5,-1.7
190709,52.3,-1.9
190710,51.9,-2.3
190711,51.8,-2.4
190712,52.0,-2.2
190801,51.8,-2.4
190802,52.0,-2.2
190803,52.1,-2.1
190804,52.7,-1.5
190805,53.2,-1.0
190806,53.7,-0.5
190807,53.9,-0.3
190808,53.8,-0.4
190809,53.6,-0.6
190810,54.1,-0.1
190811,54.2,0.0
190812,54.0,-0.2
190901,54.3,0.1
190902,55.2,1.0
190903,54.8,0.6
190904,54.6,0.4
190905,54.5,0.3
190906,54.5,0.3
190907,54.2,0.0
190908,54.2,0.0
190909,54.2,0.0
190910,53.6,-0.6
190911,53.9,-0.3
190912,53.4,-0.8
191001,53.1,-1.1
191002,52.5,-1.7
191003,53.1,-1.1
191004,53.3,-0.9
191005,53.2,-1.0
191006,53.0,-1.2
191007,53.2,-1.0
191008,53.3,-0.9
191009,53.6,-0.6
191010,54.1,-0.1
191011,53.5,-0.7
191012,53.3,-0.9
191101,53.7,-0.5
191102,53.8,-0.4
191103,53.1,-1.1
191104,52.5,-1.7
191105,53.0,-1.2
191106,53.2,-1.0
191107,53.3,-0.9
191108,53.5,-0.7
191109,53.5,-0.7
191110,53.3,-0.9
191111,53.6,-0.6
191112,54.5,0.3
191201,53.5,-0.7
191202,53.1,-1.1
191203,53.1,-1.1
191204,53.5,-0.7
191205,53.2,-1.0
191206,53.1,-1.1
191207,52.9,-1.3
191208,52.7,-1.5
191209,52.7,-1.5
191210,52.8,-1.4
191211,53.1,-1.1
191212,53.0,-1.2
191301,54.4,0.2
191302,54.8,0.6
191303,55.5,1.3
191304,55.5,1.3
191305,55.5,1.3
191306,55.5,1.3
191307,55.7,1.5
191308,55.7,1.5
191309,55.6,1.4
191310,55.5,1.3
191311,55.6,1.4
191312,55.6,1.4
191401,55.0,0.8
191402,54.6,0.4
191403,53.8,-0.4
191404,53.5,-0.7
191405,53.7,-0.5
191406,53.8,-0.4
191407,53.7,-0.5
191408,53.9,-0.3
191409,53.7,-0.5
191410,53.8,-0.4
191411,53.6,-0.6
191412,53.1,-1.1
191501,53.0,-1.2
191502,53.8,-0.4
191503,53.7,-0.5
191504,54.2,0.0
191505,53.9,-0.3
191506,53.6,-0.6
191507,53.6,-0.6
191508,53.4,-0.8
191509,53.8,-0.4
191510,53.6,-0.6
191511,53.6,-0.6
191512,53.7,-0.5
191601,54.0,-0.2
191602,53.5,-0.7
191603,53.4,-0.8
191604,52.9,-1.3
191605,53.2,-1.0
191606,53.1,-1.1
191607,53.2,-1.0
191608,53.3,-0.9
191609,53.0,-1.2
191610,53.0,-1.2
191611,53.0,-1.2
191612,53.1,-1.1
191701,52.7,-1.5
191702,52.7,-1.5
191703,53.2,-1.0
191704,53.3,-0.9
191705,52.7,-1.5
191706,53.0,-1.2
191707,53.0,-1.2
191708,52.9,-1.3
191709,52.7,-1.5
191710,52.3,-1.9
191711,51.9,-2.3
191712,51.4,-2.8
191801,50.4,-3.8
191802,50.6,-3.6
191803,50.9,-3.3
191804,50.8,-3.4
191805,51.7,-2.5
191806,51.5,-2.7
191807,51.3,-2.9
191808,51.5,-2.7
191809,51.5,-2.7
191810,52.1,-2.1
191811,52.4,-1.8
191812,53.4,-0.8
191901,54.6,0.4
191902,54.7,0.5
191903,54.8,0.6
191904,54.8,0.6
191905,54.4,0.2
