#  Florida 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189512,68.7,-1.4
189601,68.4,-1.7
189602,69.0,-1.1
189603,68.8,-1.3
189604,69.0,-1.1
189605,69.2,-0.9
189606,69.2,-0.9
189607,69.3,-0.8
189608,69.4,-0.7
189609,69.4,-0.7
189610,69.4,-0.7
189611,69.9,-0.2
189612,69.9,-0.2
189701,69.9,-0.2
189702,70.4,0.3
189703,70.9,0.8
189704,70.8,0.7
189705,70.5,0.4
189706,70.7,0.6
189707,70.7,0.6
189708,70.6,0.5
189709,70.4,0.3
189710,70.5,0.4
189711,70.2,0.1
189712,70.4,0.3
189801,70.9,0.8
189802,70.4,0.3
189803,70.3,0.2
189804,70.2,0.1
189805,70.4,0.3
189806,70.3,0.2
189807,70.3,0.2
189808,70.2,0.1
189809,70.5,0.4
189810,70.4,0.3
189811,70.3,0.2
189812,70.1,0.0
189901,70.0,-0.1
189902,70.2,0.1
189903,70.0,-0.1
189904,70.0,-0.1
189905,70.2,0.1
189906,70.1,0.0
189907,70.1,0.0
189908,70.2,0.1
189909,70.1,0.0
189910,70.3,0.2
189911,70.3,0.2
189912,70.4,0.3
190001,70.1,0.0
190002,70.0,-0.1
190003,69.8,-0.3
190004,69.9,-0.2
190005,69.6,-0.5
190006,69.6,-0.5
190007,69.6,-0.5
190008,69.7,-0.4
190009,69.8,-0.3
190010,70.0,-0.1
190011,69.9,-0.2
190012,69.9,-0.2
190101,70.0,-0.1
190102,69.8,-0.3
190103,69.7,-0.4
190104,69.3,-0.8
190105,69.3,-0.8
190106,69.2,-0.9
190107,69.2,-0.9
190108,69.1,-1.0
190109,68.9,-1.2
190110,68.6,-1.5
190111,68.1,-2.0
190112,68.0,-2.1
190201,67.8,-2.3
190202,67.6,-2.5
190203,67.9,-2.2
190204,68.1,-2.0
190205,68.4,-1.7
190206,68.5,-1.6
190207,68.5,-1.6
190208,68.6,-1.5
190209,68.6,-1.5
190210,68.8,-1.3
190211,69.6,-0.5
190212,69.9,-0.2
190301,70.1,0.0
190302,70.8,0.7
190303,71.2,1.1
190304,71.1,1.0
190305,70.7,0.6
190306,70.5,0.4
190307,70.4,0.3
190308,70.4,0.3
190309,70.3,0.2
190310,70.0,-0.1
190311,69.6,-0.5
190312,69.0,-1.1
190401,68.8,-1.3
190402,68.7,-1.4
190403,68.6,-1.5
190404,68.7,-1.4
190405,68.8,-1.3
190406,68.8,-1.3
190407,68.7,-1.4
190408,68.6,-1.5
190409,68.7,-1.4
190410,68.9,-1.2
190411,68.9,-1.2
190412,69.3,-0.8
190501,69.1,-1.0
190502,68.8,-1.3
190503,68.8,-1.3
190504,68.9,-1.2
190505,69.2,-0.9
190506,69.4,-0.7
190507,69.5,-0.6
190508,69.6,-0.5
190509,69.7,-0.4
190510,69.7,-0.4
190511,70.0,-0.1
190512,70.1,0.0
190601,70.5,0.4
190602,70.5,0.4
190603,70.1,0.0
190604,70.1,0.0
190605,69.8,-0.3
190606,69.8,-0.3
190607,69.7,-0.4
190608,69.7,-0.4
190609,69.7,-0.4
190610,69.5,-0.6
190611,69.5,-0.6
190612,69.6,-0.5
190701,70.1,0.0
190702,70.2,0.1
190703,70.9,0.8
190704,70.7,0.6
190705,70.8,0.7
190706,70.7,0.6
190707,70.7,0.6
190708,70.7,0.6
190709,70.7,0.6
190710,70.7,0.6
190711,70.6,0.5
190712,70.5,0.4
190801,70.0,-0.1
190802,69.7,-0.4
190803,69.5,-0.6
190804,70.2,0.1
190805,70.2,0.1
190806,70.2,0.1
190807,70.2,0.1
190808,70.2,0.1
190809,70.0,-0.1
190810,69.9,-0.2
190811,70.0,-0.1
190812,70.3,0.2
190901,70.7,0.6
190902,71.0,0.9
190903,70.8,0.7
190904,70.4,0.3
190905,70.4,0.3
190906,70.5,0.4
190907,70.4,0.3
190908,70.5,0.4
190909,70.5,0.4
190910,70.7,0.6
190911,70.8,0.7
190912,70.2,0.1
191001,69.6,-0.5
191002,69.5,-0.6
191003,69.4,-0.7
191004,69.1,-1.0
191005,69.1,-1.0
191006,68.9,-1.2
191007,68.8,-1.3
191008,68.7,-1.4
191009,68.7,-1.4
191010,68.8,-1.3
191011,68.4,-1.7
191012,68.2,-1.9
191101,68.6,-1.5
191102,69.0,-1.1
191103,69.1,-1.0
191104,69.4,-0.7
191105,69.4,-0.7
191106,69.6,-0.5
191107,69.6,-0.5
191108,69.6,-0.5
191109,69.8,-0.3
191110,70.1,0.0
191111,70.5,0.4
191112,71.3,1.2
191201,70.9,0.8
191202,70.2,0.1
191203,70.2,0.1
191204,70.3,0.2
191205,70.5,0.4
191206,70.3,0.2
191207,70.5,0.4
191208,70.5,0.4
191209,70.5,0.4
191210,70.3,0.2
191211,70.1,0.0
191212,70.0,-0.1
191301,70.7,0.6
191302,71.3,1.2
191303,71.4,1.3
191304,71.0,0.9
191305,70.8,0.7
191306,70.7,0.6
191307,70.7,0.6
191308,70.7,0.6
191309,70.4,0.3
191310,70.0,-0.1
191311,70.2,0.1
191312,70.0,-0.1
191401,69.3,-0.8
