#  Georgia 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189512,62.0,-1.4
189601,61.9,-1.5
189602,62.8,-0.6
189603,62.6,-0.8
189604,63.0,-0.4
189605,63.6,0.2
189606,63.6,0.2
189607,63.7,0.3
189608,63.9,0.5
189609,63.8,0.4
189610,64.0,0.6
189611,64.4,1.0
189612,64.4,1.0
189701,64.4,1.0
189702,64.6,1.2
189703,65.1,1.7
189704,64.7,1.3
189705,64.2,0.8
189706,64.4,1.0
189707,64.4,1.0
189708,64.2,0.8
189709,64.0,0.6
189710,64.3,0.9
189711,64.0,0.6
189712,64.2,0.8
189801,64.7,1.3
189802,64.3,0.9
189803,64.4,1.0
189804,64.1,0.7
189805,64.5,1.1
189806,64.4,1.0
189807,64.4,1.0
189808,64.4,1.0
189809,64.5,1.1
189810,64.1,0.7
189811,63.8,0.4
189812,63.6,0.2
189901,63.2,-0.2
189902,63.1,-0.3
189903,62.8,-0.6
189904,63.0,-0.4
189905,63.1,-0.3
189906,63.0,-0.4
189907,63.0,-0.4
189908,63.2,-0.2
189909,63.1,-0.3
189910,63.3,-0.1
189911,63.7,0.3
189912,63.7,0.3
190001,63.5,0.1
190002,63.5,0.1
190003,63.2,-0.2
190004,63.5,0.1
190005,63.1,-0.3
190006,62.8,-0.6
190007,62.9,-0.5
190008,63.0,-0.4
190009,63.3,-0.1
190010,63.6,0.2
190011,63.5,0.1
190012,63.7,0.3
190101,63.8,0.4
190102,63.7,0.3
190103,63.7,0.3
190104,63.1,-0.3
190105,63.2,-0.2
190106,63.3,-0.1
190107,63.4,0.0
190108,63.1,-0.3
190109,62.7,-0.7
190110,62.3,-1.1
190111,61.7,-1.7
190112,61.4,-2.0
190201,61.2,-2.2
190202,61.1,-2.3
190203,61.1,-2.3
190204,61.5,-1.9
190205,61.8,-1.6
190206,61.9,-1.5
190207,62.0,-1.4
190208,62.2,-1.2
190209,62.2,-1.2
190210,62.3,-1.1
190211,63.1,-0.3
190212,63.4,0.0
190301,63.4,0.0
190302,64.0,0.6
190303,64.5,1.1
190304,64.4,1.0
190305,64.0,0.6
190306,63.6,0.2
190307,63.4,0.0
190308,63.5,0.1
190309,63.5,0.1
190310,63.4,0.0
190311,62.8,-0.6
190312,62.4,-1.0
190401,62.1,-1.3
190402,61.9,-1.5
190403,61.7,-1.7
190404,61.6,-1.8
190405,61.6,-1.8
190406,61.9,-1.5
190407,61.8,-1.6
190408,61.6,-1.8
190409,61.8,-1.6
190410,61.9,-1.5
190411,62.0,-1.4
190412,62.4,-1.0
190501,62.4,-1.0
190502,61.9,-1.5
190503,62.0,-1.4
190504,62.3,-1.1
190505,62.7,-0.7
190506,62.8,-0.6
190507,62.9,-0.5
190508,63.0,-0.4
190509,63.0,-0.4
190510,63.0,-0.4
190511,63.3,-0.1
190512,63.1,-0.3
190601,63.6,0.2
