#  Honolulu (Airport), Hawaii November Average Temperature,
# Units: Degrees Fahrenheit,,
# Base Period: 1901-2000,,
# Missing: -99,,
Date,Value,Anomaly
195011,76.9,-1.5
195111,78.7,0.3
195211,78.2,-0.2
195311,77.2,-1.2
195411,78.9,0.5
195511,76.6,-1.8
195611,77.5,-0.9
195711,79.2,0.8
195811,77.3,-1.1
195911,78.7,0.3
196011,78,-0.4
196111,77.3,-1.1
196211,78.5,0.1
196311,78.4,0
196511,78.4,0
196611,78.8,0.4
196711,78.6,0.2
196811,80.9,2.5
196911,78.2,-0.2
197011,78,-0.4
197111,78.7,0.3
197211,78,-0.4
197311,77.9,-0.5
197411,77.3,-1.1
197511,77.6,-0.8
197611,76.5,-1.9
197711,79,0.6
197811,77.8,-0.6
197911,78.7,0.3
198011,79.8,1.4
198111,78.1,-0.3
198211,78,-0.4
198311,78.9,0.5
198411,79.9,1.5
198511,75.6,-2.8
198611,79.7,1.3
198711,79.3,0.9
198811,80.4,2
198911,78.5,0.1
199011,79.1,0.7
199111,80.5,2.1
199211,78,-0.4
199311,77.2,-1.2
199411,80.3,1.9
199511,79.7,1.3
199611,78.6,0.2
199711,77,-1.4
199811,78.2,-0.2
199911,77.3,-1.1
200011,78,-0.4
200111,77.8,-0.6
200211,77.9,-0.5
200311,79.2,0.8
200411,77.9,-0.5
200511,78.7,0.3
200611,78.8,0.4
200711,77.3,-1.1
200811,77.5,-0.9
200911,79.2,0.8
201011,77.9,-0.5
201111,79.2,0.8
201211,76.4,-2
201311,77.5,-0.9
201411,78.9,0.5
201511,80.9,2.5
201611,78.4,0
201711,78.8,0.4
201811,77.5,-0.9
201911,79.8,1.4
202011,79.9,1.5
202111,78.2,-0.2
202211,78.6,0.2
202311,77.9,-0.5
202411,78,-0.4
