#  Idaho 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189512,41.4,-1.2
189601,42.0,-0.6
189602,42.5,-0.1
189603,42.6,0.0
189604,42.1,-0.5
189605,41.7,-0.9
189606,42.1,-0.5
189607,42.5,-0.1
189608,42.5,-0.1
189609,42.7,0.1
189610,42.5,-0.1
189611,42.1,-0.5
189612,42.8,0.2
189701,42.4,-0.2
189702,42.0,-0.6
189703,41.5,-1.1
189704,41.8,-0.8
189705,42.8,0.2
189706,42.6,0.0
189707,42.2,-0.4
189708,42.4,-0.2
189709,42.5,-0.1
189710,42.5,-0.1
189711,43.1,0.5
189712,42.6,0.0
189801,42.2,-0.4
189802,42.5,-0.1
189803,42.8,0.2
189804,43.0,0.4
189805,42.4,-0.2
189806,42.6,0.0
189807,42.8,0.2
189808,42.9,0.3
189809,42.9,0.3
189810,42.6,0.0
189811,42.2,-0.4
189812,41.7,-0.9
189901,42.4,-0.2
189902,41.7,-0.9
189903,41.9,-0.7
189904,41.5,-1.1
189905,41.2,-1.4
189906,40.9,-1.7
189907,40.9,-1.7
189908,40.2,-2.4
189909,40.4,-2.2
189910,40.4,-2.2
189911,41.2,-1.4
189912,41.5,-1.1
190001,41.7,-0.9
190002,42.1,-0.5
190003,42.8,0.2
190004,43.0,0.4
190005,43.6,1.0
190006,44.2,1.6
190007,44.0,1.4
190008,44.1,1.5
190009,43.8,1.2
190010,44.0,1.4
190011,43.5,0.9
190012,44.0,1.4
190101,43.7,1.1
190102,43.6,1.0
190103,43.1,0.5
190104,42.7,0.1
190105,42.8,0.2
190106,42.0,-0.6
190107,42.2,-0.4
190108,42.8,0.2
190109,42.6,0.0
190110,43.0,0.4
190111,43.4,0.8
190112,43.2,0.6
190201,42.9,0.3
190202,43.3,0.7
190203,43.2,0.6
190204,43.3,0.7
190205,43.0,0.4
190206,43.3,0.7
190207,42.8,0.2
190208,42.5,-0.1
190209,42.7,0.1
190210,42.4,-0.2
190211,42.0,-0.6
190212,41.9,-0.7
190301,42.2,-0.4
190302,41.0,-1.6
190303,41.1,-1.5
190304,41.0,-1.6
190305,40.8,-1.8
190306,41.2,-1.4
190307,41.2,-1.4
190308,41.3,-1.3
190309,41.1,-1.5
190310,41.1,-1.5
190311,41.1,-1.5
190312,41.1,-1.5
190401,40.9,-1.7
190402,41.8,-0.8
190403,41.8,-0.8
190404,42.0,-0.6
190405,42.2,-0.4
190406,41.8,-0.8
190407,42.0,-0.6
190408,42.1,-0.5
190409,42.6,0.0
190410,42.7,0.1
190411,43.1,0.5
190412,43.3,0.7
190501,43.4,0.8
190502,43.1,0.5
190503,43.6,1.0
190504,43.7,1.1
190505,43.5,0.9
190506,43.5,0.9
190507,43.6,1.0
190508,43.6,1.0
190509,43.6,1.0
190510,43.0,0.4
190511,42.6,0.0
190512,42.2,-0.4
190601,42.1,-0.5
190602,42.4,-0.2
190603,41.7,-0.9
190604,41.7,-0.9
190605,41.8,-0.8
190606,41.7,-0.9
190607,41.9,-0.7
190608,41.8,-0.8
190609,41.8,-0.8
190610,42.3,-0.3
190611,42.2,-0.4
190612,43.0,0.4
190701,42.6,0.0
190702,43.1,0.5
190703,43.6,1.0
190704,43.4,0.8
190705,43.4,0.8
190706,43.4,0.8
190707,43.0,0.4
190708,42.7,0.1
190709,42.5,-0.1
190710,42.7,0.1
190711,43.0,0.4
190712,42.7,0.1
190801,43.1,0.5
190802,42.7,0.1
190803,42.5,-0.1
190804,42.7,0.1
190805,42.4,-0.2
190806,42.4,-0.2
190807,42.7,0.1
190808,42.8,0.2
190809,42.9,0.3
190810,42.3,-0.3
190811,42.3,-0.3
190812,42.1,-0.5
190901,42.2,-0.4
190902,42.2,-0.4
190903,42.3,-0.3
190904,41.8,-0.8
190905,41.9,-0.7
190906,42.3,-0.3
190907,42.1,-0.5
190908,42.3,-0.3
190909,42.3,-0.3
190910,42.5,-0.1
190911,42.6,0.0
190912,42.1,-0.5
191001,41.5,-1.1
191002,40.8,-1.8
191003,41.2,-1.4
191004,42.0,-0.6
191005,42.4,-0.2
191006,42.4,-0.2
191007,42.7,0.1
191008,42.4,-0.2
191009,42.4,-0.2
191010,42.5,-0.1
191011,42.5,-0.1
191012,43.4,0.8
191101,43.9,1.3
191102,44.0,1.4
191103,43.5,0.9
191104,42.9,0.3
191105,42.5,-0.1
191106,42.5,-0.1
191107,42.3,-0.3
191108,42.3,-0.3
191109,42.1,-0.5
191110,41.7,-0.9
191111,41.2,-1.4
191112,40.8,-1.8
191201,40.7,-1.9
191202,41.3,-1.3
191203,40.9,-1.7
191204,41.0,-1.6
191205,41.1,-1.5
191206,41.1,-1.5
191207,40.9,-1.7
191208,40.8,-1.8
191209,40.5,-2.1
191210,40.4,-2.2
191211,40.9,-1.7
191212,41.0,-1.6
191301,40.7,-1.9
191302,39.9,-2.7
191303,39.8,-2.8
191304,40.0,-2.6
191305,40.2,-2.4
191306,40.1,-2.5
191307,40.2,-2.4
191308,40.6,-2.0
191309,41.1,-1.5
191310,41.1,-1.5
191311,41.2,-1.4
191312,41.0,-1.6
191401,41.7,-0.9
191402,42.2,-0.4
191403,42.7,0.1
191404,42.8,0.2
191405,43.0,0.4
191406,42.8,0.2
191407,43.1,0.5
191408,43.0,0.4
191409,42.8,0.2
191410,43.2,0.6
191411,43.2,0.6
191412,42.8,0.2
191501,42.2,-0.4
191502,42.7,0.1
191503,42.9,0.3
191504,43.2,0.6
191505,42.8,0.2
191506,42.7,0.1
191507,42.4,-0.2
191508,42.7,0.1
191509,42.7,0.1
191510,42.7,0.1
191511,42.5,-0.1
191512,43.1,0.5
191601,42.7,0.1
191602,42.3,-0.3
191603,42.2,-0.4
191604,41.8,-0.8
191605,41.5,-1.1
191606,41.5,-1.1
191607,41.7,-0.9
191608,41.3,-1.3
191609,41.4,-1.2
191610,41.0,-1.6
191611,40.6,-2.0
191612,40.2,-2.4
191701,40.2,-2.4
191702,39.9,-2.7
191703,38.8,-3.8
191704,38.3,-4.3
191705,38.4,-4.2
191706,38.4,-4.2
191707,38.7,-3.9
191708,38.8,-3.8
191709,39.1,-3.5
191710,39.4,-3.2
191711,40.2,-2.4
191712,41.5,-1.1
191801,42.4,-0.2
191802,42.6,0.0
191803,43.7,1.1
191804,44.0,1.4
191805,44.0,1.4
191806,44.8,2.2
191807,44.7,2.1
191808,44.4,1.8
191809,44.4,1.8
191810,44.5,1.9
191811,44.0,1.4
191812,43.1,0.5
191901,42.9,0.3
191902,43.0,0.4
191903,42.7,0.1
191904,43.0,0.4
191905,43.3,0.7
191906,42.9,0.3
191907,43.1,0.5
191908,43.5,0.9
191909,43.4,0.8
191910,42.7,0.1
191911,42.5,-0.1
191912,41.9,-0.7
192001,41.8,-0.8
192002,42.0,-0.6
192003,41.8,-0.8
192004,41.3,-1.3
192005,41.0,-1.6
192006,40.7,-1.9
192007,40.7,-1.9
192008,40.6,-2.0
192009,40.5,-2.1
192010,40.8,-1.8
192011,41.0,-1.6
192012,41.8,-0.8
192101,42.0,-0.6
192102,41.9,-0.7
192103,42.2,-0.4
192104,42.4,-0.2
192105,42.6,0.0
192106,43.0,0.4
192107,42.8,0.2
192108,42.8,0.2
192109,42.4,-0.2
192110,42.9,0.3
192111,43.3,0.7
192112,43.2,0.6
192201,42.3,-0.3
192202,41.7,-0.9
192203,41.0,-1.6
192204,40.8,-1.8
192205,40.6,-2.0
192206,40.7,-1.9
192207,40.7,-1.9
192208,40.9,-1.7
192209,41.5,-1.1
192210,41.5,-1.1
192211,41.1,-1.5
192212,40.8,-1.8
192301,41.8,-0.8
192302,41.8,-0.8
192303,42.0,-0.6
192304,42.3,-0.3
192305,42.4,-0.2
192306,41.9,-0.7
192307,42.0,-0.6
192308,41.8,-0.8
192309,41.8,-0.8
192310,41.4,-1.2
192311,41.8,-0.8
192312,41.9,-0.7
192401,41.2,-1.4
192402,42.2,-0.4
192403,42.3,-0.3
192404,42.4,-0.2
192405,42.7,0.1
192406,43.0,0.4
192407,42.8,0.2
192408,42.7,0.1
192409,42.5,-0.1
192410,42.6,0.0
192411,42.3,-0.3
192412,41.8,-0.8
192501,42.3,-0.3
192502,42.3,-0.3
192503,42.7,0.1
192504,42.9,0.3
192505,42.8,0.2
192506,42.8,0.2
192507,43.1,0.5
192508,43.1,0.5
192509,43.1,0.5
192510,42.9,0.3
192511,43.0,0.4
192512,44.1,1.5
192601,43.9,1.3
192602,43.9,1.3
192603,44.0,1.4
192604,44.3,1.7
192605,44.1,1.5
192606,44.4,1.8
192607,44.3,1.7
192608,44.5,1.9
192609,44.0,1.4
192610,44.3,1.7
192611,44.6,2.0
192612,44.2,1.6
192701,44.3,1.7
192702,44.0,1.4
192703,43.7,1.1
192704,43.1,0.5
192705,42.8,0.2
192706,42.6,0.0
192707,42.4,-0.2
192708,42.3,-0.3
192709,42.6,0.0
192710,42.6,0.0
192711,42.6,0.0
192712,42.2,-0.4
192801,42.2,-0.4
192802,41.9,-0.7
192803,42.1,-0.5
192804,42.0,-0.6
192805,42.7,0.1
192806,42.4,-0.2
192807,42.5,-0.1
192808,42.4,-0.2
192809,42.7,0.1
192810,42.5,-0.1
192811,42.2,-0.4
192812,42.3,-0.3
192901,41.5,-1.1
192902,40.8,-1.8
192903,40.6,-2.0
192904,40.6,-2.0
192905,40.0,-2.6
192906,40.1,-2.5
192907,40.1,-2.5
192908,40.6,-2.0
192909,40.2,-2.4
192910,40.2,-2.4
192911,40.0,-2.6
192912,40.8,-1.8
193001,40.6,-2.0
193002,41.9,-0.7
193003,42.0,-0.6
193004,42.8,0.2
193005,42.8,0.2
193006,42.8,0.2
193007,42.9,0.3
193008,42.8,0.2
193009,43.1,0.5
193010,42.8,0.2
193011,42.7,0.1
193012,41.6,-1.0
193101,42.6,0.0
193102,42.0,-0.6
193103,41.9,-0.7
193104,41.5,-1.1
193105,41.8,-0.8
193106,42.1,-0.5
193107,42.2,-0.4
193108,42.2,-0.4
193109,42.1,-0.5
193110,42.4,-0.2
193111,42.4,-0.2
193112,42.6,0.0
193201,42.2,-0.4
193202,41.8,-0.8
193203,41.6,-1.0
193204,41.6,-1.0
193205,41.4,-1.2
193206,41.3,-1.3
193207,40.9,-1.7
193208,40.7,-1.9
193209,40.7,-1.9
193210,40.5,-2.1
193211,41.2,-1.4
193212,40.9,-1.7
193301,41.3,-1.3
193302,40.8,-1.8
193303,40.8,-1.8
193304,40.7,-1.9
193305,40.3,-2.3
193306,40.5,-2.1
193307,40.8,-1.8
193308,40.9,-1.7
193309,40.8,-1.8
193310,41.2,-1.4
193311,41.2,-1.4
193312,42.5,-0.1
193401,43.2,0.6
193402,45.0,2.4
193403,45.9,3.3
193404,46.7,4.1
193405,47.5,4.9
193406,47.2,4.6
193407,47.2,4.6
193408,47.4,4.8
193409,47.4,4.8
193410,47.3,4.7
193411,47.5,4.9
193412,46.9,4.3
193501,46.3,3.7
193502,45.5,2.9
193503,44.6,2.0
193504,43.9,1.3
193505,43.2,0.6
193506,43.1,0.5
193507,43.0,0.4
193508,42.8,0.2
193509,43.2,0.6
193510,42.9,0.3
193511,42.0,-0.6
193512,41.8,-0.8
193601,41.7,-0.9
193602,41.0,-1.6
193603,41.0,-1.6
193604,41.3,-1.3
193605,41.9,-0.7
193606,42.1,-0.5
193607,42.4,-0.2
193608,42.5,-0.1
193609,42.2,-0.4
193610,42.4,-0.2
193611,42.7,0.1
193612,42.9,0.3
193701,41.7,-0.9
193702,41.9,-0.7
193703,42.1,-0.5
193704,41.7,-0.9
193705,41.5,-1.1
193706,41.2,-1.4
193707,41.1,-1.5
193708,40.9,-1.7
193709,41.2,-1.4
193710,41.3,-1.3
193711,41.8,-0.8
193712,42.0,-0.6
193801,43.6,1.0
193802,44.2,1.6
193803,44.1,1.5
193804,44.4,1.8
193805,44.1,1.5
193806,44.3,1.7
193807,44.1,1.5
193808,44.1,1.5
193809,44.3,1.7
193810,44.2,1.6
193811,43.5,0.9
193812,43.4,0.8
193901,43.5,0.9
193902,42.8,0.2
193903,42.9,0.3
193904,43.1,0.5
193905,43.5,0.9
193906,43.1,0.5
193907,43.2,0.6
193908,43.4,0.8
193909,43.1,0.5
193910,43.0,0.4
193911,43.6,1.0
193912,44.1,1.5
194001,43.9,1.3
194002,44.7,2.1
194003,45.0,2.4
194004,44.8,2.2
194005,44.9,2.3
194006,45.5,2.9
194007,45.6,3.0
194008,45.6,3.0
194009,45.7,3.1
194010,45.8,3.2
194011,45.3,2.7
194012,44.9,2.3
194101,45.0,2.4
194102,45.0,2.4
194103,45.0,2.4
194104,44.9,2.3
194105,44.7,2.1
194106,44.2,1.6
194107,44.2,1.6
194108,44.0,1.4
194109,43.5,0.9
194110,43.2,0.6
194111,43.7,1.1
194112,43.6,1.0
194201,43.0,0.4
194202,42.3,-0.3
194203,41.7,-0.9
194204,41.8,-0.8
194205,41.4,-1.2
194206,41.2,-1.4
194207,41.2,-1.4
194208,41.3,-1.3
194209,41.8,-0.8
194210,42.0,-0.6
