#  Illinois 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189512,49.7,-1.9
189601,50.5,-1.1
189602,51.6,0.0
189603,51.3,-0.3
189604,51.7,0.1
189605,52.2,0.6
189606,52.0,0.4
189607,52.2,0.6
189608,52.2,0.6
189609,51.6,0.0
189610,51.8,0.2
189611,52.0,0.4
189612,52.2,0.6
189701,51.8,0.2
189702,51.8,0.2
189703,52.2,0.6
189704,51.5,-0.1
189705,50.6,-1.0
189706,50.6,-1.0
189707,50.7,-0.9
189708,50.6,-1.0
189709,51.3,-0.3
189710,52.1,0.5
189711,52.1,0.5
189712,51.4,-0.2
189801,51.9,0.3
189802,51.8,0.2
189803,52.1,0.5
189804,52.1,0.5
189805,52.3,0.7
189806,52.5,0.9
189807,52.4,0.8
189808,52.5,0.9
189809,52.3,0.7
189810,51.6,0.0
189811,51.3,-0.3
189812,51.3,-0.3
189901,50.9,-0.7
189902,50.0,-1.6
189903,49.2,-2.4
189904,49.5,-2.1
189905,49.6,-2.0
189906,49.6,-2.0
189907,49.5,-2.1
189908,49.7,-1.9
189909,49.4,-2.2
189910,50.0,-1.6
189911,50.7,-0.9
189912,50.8,-0.8
190001,51.2,-0.4
190002,51.6,0.0
190003,51.6,0.0
190004,51.6,0.0
190005,51.7,0.1
190006,51.5,-0.1
190007,51.5,-0.1
190008,51.8,0.2
190009,52.1,0.5
190010,52.3,0.7
190011,51.8,0.2
190012,52.1,0.5
190101,52.0,0.4
190102,51.9,0.3
190103,52.2,0.6
190104,51.9,0.3
190105,51.7,0.1
190106,52.0,0.4
190107,52.6,1.0
190108,52.2,0.6
190109,52.0,0.4
190110,51.5,-0.1
190111,51.3,-0.3
190112,50.8,-0.8
190201,50.5,-1.1
190202,50.4,-1.2
190203,50.7,-0.9
190204,50.7,-0.9
190205,51.2,-0.4
190206,50.7,-0.9
190207,50.2,-1.4
190208,49.9,-1.7
190209,49.6,-2.0
190210,49.6,-2.0
190211,50.4,-1.2
190212,50.6,-1.0
190301,50.6,-1.0
190302,51.2,-0.4
190303,51.4,-0.2
190304,51.6,0.0
190305,51.4,-0.2
190306,51.2,-0.4
190307,51.2,-0.4
190308,51.3,-0.3
190309,51.5,-0.1
190310,51.4,-0.2
190311,50.5,-1.1
190312,50.2,-1.4
190401,49.6,-2.0
190402,49.2,-2.4
190403,48.8,-2.8
190404,48.3,-3.3
190405,48.0,-3.6
190406,48.3,-3.3
190407,48.1,-3.5
190408,47.9,-3.7
190409,48.0,-3.6
190410,48.0,-3.6
190411,48.4,-3.2
190412,48.9,-2.7
190501,48.9,-2.7
190502,48.5,-3.1
190503,49.0,-2.6
190504,49.5,-2.1
190505,49.6,-2.0
190506,49.8,-1.8
190507,49.8,-1.8
190508,50.2,-1.4
190509,50.3,-1.3
190510,50.2,-1.4
190511,50.1,-1.5
190512,50.3,-1.3
190601,51.3,-0.3
190602,52.1,0.5
190603,50.9,-0.7
190604,51.2,-0.4
190605,51.3,-0.3
190606,51.1,-0.5
190607,51.1,-0.5
190608,51.2,-0.4
190609,51.4,-0.2
190610,51.4,-0.2
190611,51.3,-0.3
190612,51.4,-0.2
190701,51.3,-0.3
190702,51.4,-0.2
190703,52.8,1.2
190704,51.9,0.3
190705,51.3,-0.3
190706,51.1,-0.5
190707,51.2,-0.4
190708,51.0,-0.6
190709,50.5,-1.1
190710,50.4,-1.2
190711,50.4,-1.2
190712,50.5,-1.1
190801,50.3,-1.3
190802,50.2,-1.4
190803,50.0,-1.6
190804,50.7,-0.9
190805,51.2,-0.4
190806,51.4,-0.2
190807,51.4,-0.2
190808,51.5,-0.1
190809,51.8,0.2
190810,52.0,0.4
190811,52.3,0.7
190812,52.3,0.7
190901,52.3,0.7
190902,52.7,1.1
190903,52.3,0.7
190904,52.1,0.5
190905,51.8,0.2
190906,51.9,0.3
190907,51.8,0.2
190908,52.0,0.4
190909,51.6,0.0
190910,51.3,-0.3
190911,51.9,0.3
190912,50.9,-0.7
191001,50.7,-0.9
191002,50.0,-1.6
191003,51.0,-0.6
191004,51.3,-0.3
191005,51.1,-0.5
191006,50.9,-0.7
191007,51.1,-0.5
191008,50.8,-0.8
191009,50.9,-0.7
191010,51.5,-0.1
191011,50.4,-1.2
191012,50.8,-0.8
191101,51.1,-0.5
191102,51.9,0.3
191103,51.1,-0.5
191104,50.8,-0.8
191105,51.7,0.1
191106,52.2,0.6
191107,52.2,0.6
191108,52.2,0.6
191109,52.5,0.9
191110,52.1,0.5
191111,52.1,0.5
191112,52.7,1.1
191201,51.4,-0.2
191202,50.5,-1.1
191203,49.6,-2.0
191204,49.9,-1.7
191205,49.6,-2.0
191206,49.0,-2.6
191207,48.9,-2.7
191208,48.9,-2.7
191209,48.7,-2.9
191210,48.9,-2.7
191211,49.4,-2.2
191212,49.4,-2.2
191301,50.7,-0.9
191302,51.0,-0.6
191303,51.5,-0.1
191304,51.4,-0.2
191305,51.3,-0.3
191306,51.7,0.1
191307,51.9,0.3
191308,52.4,0.8
191309,52.3,0.7
191310,52.1,0.5
191311,52.5,0.9
191312,52.8,1.2
191401,53.0,1.4
191402,52.7,1.1
191403,52.8,1.2
191404,52.8,1.2
191405,53.0,1.4
191406,53.1,1.5
191407,53.1,1.5
191408,53.0,1.4
191409,52.9,1.3
191410,53.3,1.7
191411,53.0,1.4
191412,52.0,0.4
191501,51.1,-0.5
191502,52.3,0.7
191503,52.0,0.4
191504,52.5,0.9
191505,52.1,0.5
191506,51.5,-0.1
191507,51.0,-0.6
191508,50.3,-1.3
191509,50.5,-1.1
191510,50.4,-1.2
191511,50.4,-1.2
191512,50.9,-0.7
191601,51.4,-0.2
191602,50.6,-1.0
191603,50.9,-0.7
191604,50.2,-1.4
191605,50.5,-1.1
191606,50.4,-1.2
191607,51.1,-0.5
191608,51.8,0.2
191609,51.6,0.0
191610,51.4,-0.2
191611,51.3,-0.3
191612,51.1,-0.5
191701,51.0,-0.6
191702,50.8,-0.8
191703,51.0,-0.6
191704,51.0,-0.6
191705,50.4,-1.2
191706,50.5,-1.1
191707,50.0,-1.6
191708,49.6,-2.0
191709,49.6,-2.0
191710,48.9,-2.7
191711,48.8,-2.8
191712,48.3,-3.3
191801,47.1,-4.5
191802,47.6,-4.0
191803,48.0,-3.6
191804,47.8,-3.8
191805,48.7,-2.9
191806,49.0,-2.6
191807,48.9,-2.7
191808,49.4,-2.2
191809,49.0,-2.6
191810,49.9,-1.7
191811,49.9,-1.7
191812,51.3,-0.3
191901,52.9,1.3
191902,53.0,1.4
191903,52.7,1.1
191904,53.1,1.5
191905,52.5,0.9
191906,52.7,1.1
191907,53.1,1.5
191908,52.7,1.1
191909,53.5,1.9
191910,53.5,1.9
191911,53.3,1.7
191912,52.1,0.5
192001,51.3,-0.3
