#  Indiana 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189512,49.9,-1.4
189601,50.5,-0.8
189602,51.5,0.2
189603,51.2,-0.1
189604,51.6,0.3
189605,52.1,0.8
189606,51.8,0.5
189607,51.9,0.6
189608,51.8,0.5
189609,51.3,0.0
189610,51.6,0.3
189611,51.8,0.5
189612,51.9,0.6
189701,51.6,0.3
189702,51.6,0.3
189703,52.2,0.9
189704,51.5,0.2
189705,50.6,-0.7
189706,50.5,-0.8
189707,50.7,-0.6
189708,50.5,-0.8
189709,51.0,-0.3
189710,51.7,0.4
189711,51.6,0.3
189712,51.2,-0.1
189801,51.9,0.6
189802,51.9,0.6
189803,52.1,0.8
189804,52.0,0.7
189805,52.4,1.1
189806,52.7,1.4
189807,52.6,1.3
189808,52.8,1.5
189809,52.9,1.6
189810,52.4,1.1
189811,52.1,0.8
189812,51.9,0.6
189901,51.5,0.2
189902,50.6,-0.7
189903,49.9,-1.4
189904,50.3,-1.0
189905,50.4,-0.9
189906,50.4,-0.9
189907,50.4,-0.9
189908,50.5,-0.8
189909,50.2,-1.1
189910,50.6,-0.7
189911,51.2,-0.1
189912,51.4,0.1
190001,51.7,0.4
190002,52.0,0.7
190003,51.9,0.6
190004,51.8,0.5
190005,51.8,0.5
190006,51.6,0.3
190007,51.6,0.3
190008,51.8,0.5
190009,52.2,0.9
190010,52.4,1.1
190011,52.1,0.8
190012,52.4,1.1
190101,52.2,0.9
190102,52.0,0.7
190103,52.4,1.1
190104,52.1,0.8
190105,51.7,0.4
190106,51.9,0.6
190107,52.4,1.1
190108,52.1,0.8
190109,51.8,0.5
190110,51.2,-0.1
190111,50.9,-0.4
190112,50.4,-0.9
190201,50.3,-1.0
190202,50.2,-1.1
190203,50.4,-0.9
190204,50.6,-0.7
190205,51.1,-0.2
190206,50.7,-0.6
190207,50.3,-1.0
190208,50.0,-1.3
190209,49.7,-1.6
190210,49.8,-1.5
190211,50.8,-0.5
190212,51.0,-0.3
190301,50.9,-0.4
190302,51.6,0.3
190303,51.9,0.6
190304,52.0,0.7
190305,51.9,0.6
190306,51.6,0.3
190307,51.6,0.3
190308,51.7,0.4
190309,51.9,0.6
190310,51.7,0.4
190311,50.7,-0.6
190312,50.3,-1.0
190401,49.8,-1.5
190402,49.3,-2.0
190403,48.7,-2.6
190404,48.3,-3.0
190405,48.0,-3.3
190406,48.3,-3.0
190407,48.1,-3.2
190408,48.0,-3.3
190409,48.1,-3.2
190410,48.0,-3.3
190411,48.3,-3.0
190412,48.7,-2.6
190501,48.8,-2.5
190502,48.5,-2.8
190503,48.9,-2.4
190504,49.3,-2.0
190505,49.4,-1.9
190506,49.6,-1.7
190507,49.7,-1.6
190508,49.9,-1.4
190509,50.0,-1.3
190510,50.0,-1.3
190511,50.0,-1.3
190512,50.3,-1.0
190601,51.3,0.0
190602,52.0,0.7
190603,50.8,-0.5
190604,51.0,-0.3
190605,51.0,-0.3
190606,51.0,-0.3
190607,50.9,-0.4
190608,51.1,-0.2
190609,51.3,0.0
190610,51.3,0.0
190611,51.3,0.0
190612,51.4,0.1
190701,51.3,0.0
190702,51.3,0.0
190703,52.7,1.4
190704,51.8,0.5
190705,51.2,-0.1
190706,50.9,-0.4
190707,51.0,-0.3
190708,50.6,-0.7
190709,50.2,-1.1
190710,49.9,-1.4
190711,49.7,-1.6
190712,49.8,-1.5
190801,49.5,-1.8
190802,49.4,-1.9
190803,49.1,-2.2
190804,49.9,-1.4
190805,50.5,-0.8
190806,50.8,-0.5
190807,50.8,-0.5
190808,51.0,-0.3
190809,51.5,0.2
190810,51.8,0.5
190811,52.1,0.8
190812,52.1,0.8
190901,52.2,0.9
190902,52.8,1.5
190903,52.4,1.1
190904,52.2,0.9
190905,51.8,0.5
190906,52.0,0.7
190907,51.7,0.4
190908,51.8,0.5
190909,51.2,-0.1
190910,50.8,-0.5
190911,51.5,0.2
190912,50.6,-0.7
191001,50.3,-1.0
191002,49.6,-1.7
191003,50.5,-0.8
191004,50.7,-0.6
191005,50.5,-0.8
191006,50.2,-1.1
191007,50.5,-0.8
191008,50.2,-1.1
191009,50.5,-0.8
191010,51.1,-0.2
191011,49.9,-1.4
191012,50.2,-1.1
191101,50.5,-0.8
191102,51.2,-0.1
191103,50.3,-1.0
191104,50.1,-1.2
191105,51.0,-0.3
191106,51.4,0.1
191107,51.4,0.1
191108,51.5,0.2
191109,51.7,0.4
191110,51.5,0.2
191111,51.5,0.2
191112,52.3,1.0
191201,51.0,-0.3
191202,50.0,-1.3
191203,49.3,-2.0
191204,49.7,-1.6
191205,49.4,-1.9
191206,49.0,-2.3
191207,49.0,-2.3
191208,48.8,-2.5
191209,48.7,-2.6
191210,48.8,-2.5
191211,49.2,-2.1
191212,49.0,-2.3
191301,50.4,-0.9
191302,50.8,-0.5
191303,51.4,0.1
191304,51.2,-0.1
191305,51.0,-0.3
191306,51.5,0.2
191307,51.7,0.4
191308,52.1,0.8
191309,51.9,0.6
191310,51.9,0.6
191311,52.3,1.0
191312,52.5,1.2
191401,52.5,1.2
191402,52.1,0.8
191403,52.0,0.7
191404,52.0,0.7
191405,52.1,0.8
191406,52.3,1.0
191407,52.3,1.0
191408,52.1,0.8
191409,52.1,0.8
191410,52.4,1.1
191411,52.1,0.8
191412,51.2,-0.1
191501,50.4,-0.9
191502,51.7,0.4
191503,51.5,0.2
191504,51.9,0.6
191505,51.5,0.2
191506,51.0,-0.3
191507,50.6,-0.7
191508,50.0,-1.3
191509,50.2,-1.1
191510,50.1,-1.2
191511,50.3,-1.0
191512,50.7,-0.6
191601,51.4,0.1
191602,50.7,-0.6
191603,50.8,-0.5
191604,50.3,-1.0
191605,50.6,-0.7
191606,50.5,-0.8
191607,51.1,-0.2
191608,51.7,0.4
191609,51.5,0.2
191610,51.3,0.0
191611,51.2,-0.1
191612,51.1,-0.2
191701,50.7,-0.6
191702,50.5,-0.8
191703,50.9,-0.4
191704,50.9,-0.4
191705,50.2,-1.1
191706,50.3,-1.0
191707,49.8,-1.5
191708,49.5,-1.8
191709,49.4,-1.9
191710,48.8,-2.5
191711,48.6,-2.7
191712,48.1,-3.2
191801,46.8,-4.5
191802,47.2,-4.1
191803,47.6,-3.7
191804,47.5,-3.8
191805,48.5,-2.8
191806,48.7,-2.6
191807,48.6,-2.7
191808,49.1,-2.2
191809,48.7,-2.6
191810,49.6,-1.7
191811,49.6,-1.7
191812,51.1,-0.2
191901,52.8,1.5
191902,52.9,1.6
191903,52.6,1.3
191904,52.8,1.5
191905,52.2,0.9
191906,52.5,1.2
191907,53.0,1.7
191908,52.5,1.2
191909,53.4,2.1
191910,53.6,2.3
191911,53.5,2.2
191912,52.3,1.0
192001,51.4,0.1
192002,51.1,-0.2
192003,51.0,-0.3
192004,50.6,-0.7
192005,50.7,-0.6
192006,50.3,-1.0
192007,49.9,-1.4
192008,49.8,-1.5
192009,49.8,-1.5
192010,49.8,-1.5
192011,49.7,-1.6
192012,50.4,-0.9
192101,51.3,0.0
192102,51.9,0.6
192103,52.6,1.3
192104,53.3,2.0
192105,53.6,2.3
192106,54.0,2.7
192107,54.7,3.4
192108,54.8,3.5
192109,55.0,3.7
192110,54.6,3.3
192111,54.8,3.5
192112,54.9,3.6
192201,54.3,3.0
192202,54.1,2.8
192203,53.6,2.3
192204,53.4,2.1
192205,53.6,2.3
192206,53.3,2.0
192207,52.8,1.5
192208,52.8,1.5
192209,52.8,1.5
192210,53.0,1.7
192211,53.0,1.7
192212,52.9,1.6
192301,53.4,2.1
192302,52.8,1.5
192303,52.4,1.1
192304,52.1,0.8
192305,51.6,0.3
192306,51.6,0.3
192307,51.6,0.3
192308,51.6,0.3
192309,51.3,0.0
192310,50.8,-0.5
192311,50.7,-0.6
192312,51.4,0.1
192401,50.5,-0.8
192402,50.8,-0.5
192403,50.6,-0.7
192404,50.8,-0.5
192405,50.4,-0.9
192406,50.2,-1.1
192407,49.9,-1.4
192408,50.0,-1.3
192409,49.6,-1.7
192410,50.1,-1.2
192411,50.1,-1.2
192412,49.0,-2.3
192501,49.3,-2.0
192502,49.9,-1.4
192503,50.5,-0.8
192504,50.9,-0.4
192505,51.1,-0.2
192506,51.5,0.2
192507,51.7,0.4
192508,51.8,0.5
192509,52.7,1.4
192510,51.7,0.4
192511,51.5,0.2
192512,51.6,0.3
192601,51.7,0.4
192602,51.4,0.1
192603,50.7,-0.6
192604,49.7,-1.6
192605,50.1,-1.2
192606,49.5,-1.8
192607,49.6,-1.7
192608,49.8,-1.5
192609,49.4,-1.9
192610,50.0,-1.3
192611,49.9,-1.4
192612,50.0,-1.3
192701,49.9,-1.4
192702,50.3,-1.0
192703,51.1,-0.2
192704,51.7,0.4
192705,51.5,0.2
192706,51.4,0.1
192707,51.3,0.0
192708,50.6,-0.7
192709,50.9,-0.4
192710,51.2,-0.1
192711,51.8,0.5
192712,52.0,0.7
192801,52.1,0.8
192802,51.5,0.2
192803,51.1,-0.2
192804,50.7,-0.6
192805,50.7,-0.6
192806,50.6,-0.7
192807,50.7,-0.6
192808,51.3,0.0
192809,50.6,-0.7
192810,50.6,-0.7
192811,50.3,-1.0
192812,50.6,-0.7
192901,50.2,-1.1
192902,49.6,-1.7
192903,50.3,-1.0
192904,50.9,-0.4
192905,50.8,-0.5
192906,51.0,-0.3
192907,51.0,-0.3
192908,50.8,-0.5
192909,51.1,-0.2
192910,50.6,-0.7
192911,50.2,-1.1
192912,49.9,-1.4
193001,49.9,-1.4
193002,51.2,-0.1
193003,50.6,-0.7
193004,50.5,-0.8
193005,50.8,-0.5
193006,51.0,-0.3
193007,51.2,-0.1
193008,51.4,0.1
193009,51.6,0.3
193010,51.6,0.3
193011,52.0,0.7
193012,52.0,0.7
193101,52.7,1.4
193102,52.4,1.1
193103,52.2,0.9
193104,52.1,0.8
193105,51.7,0.4
193106,52.0,0.7
193107,52.1,0.8
193108,52.0,0.7
193109,52.3,1.0
193110,52.8,1.5
193111,53.5,2.2
193112,54.2,2.9
193201,54.6,3.3
193202,54.8,3.5
193203,54.6,3.3
193204,54.5,3.2
193205,54.8,3.5
193206,54.7,3.4
193207,54.5,3.2
193208,54.5,3.2
193209,54.0,2.7
193210,53.6,2.3
193211,52.6,1.3
193212,51.9,0.6
193301,51.9,0.6
193302,51.2,-0.1
193303,51.7,0.4
193304,51.7,0.4
193305,51.9,0.6
193306,52.2,0.9
193307,52.3,1.0
193308,52.2,0.9
193309,52.7,1.4
193310,52.6,1.3
193311,52.9,1.6
193312,53.2,1.9
193401,52.9,1.6
193402,52.3,1.0
193403,52.1,0.8
193404,52.1,0.8
193405,52.2,0.9
193406,52.2,0.9
193407,52.5,1.2
193408,52.6,1.3
193409,52.2,0.9
193410,52.4,1.1
193411,52.9,1.6
193412,52.4,1.1
193501,52.1,0.8
193502,52.8,1.5
193503,53.7,2.4
193504,53.5,2.2
193505,52.8,1.5
193506,52.0,0.7
193507,51.8,0.5
193508,51.9,0.6
193509,51.9,0.6
193510,51.8,0.5
193511,51.4,0.1
193512,51.1,-0.2
193601,50.4,-0.9
193602,49.4,-1.9
193603,49.1,-2.2
193604,49.0,-2.3
193605,49.7,-1.6
193606,50.0,-1.3
193607,50.3,-1.0
193608,50.6,-0.7
193609,51.0,-0.3
193610,50.9,-0.4
193611,50.7,-0.6
193612,51.5,0.2
193701,52.4,1.1
193702,53.1,1.8
193703,52.5,1.2
193704,52.8,1.5
193705,52.5,1.2
193706,52.4,1.1
193707,51.9,0.6
193708,51.6,0.3
193709,51.1,-0.2
193710,50.9,-0.4
193711,50.9,-0.4
193712,50.4,-0.9
193801,50.1,-1.2
193802,50.8,-0.5
193803,51.7,0.4
193804,51.9,0.6
193805,51.9,0.6
193806,51.8,0.5
193807,51.9,0.6
193808,51.9,0.6
193809,52.2,0.9
193810,52.7,1.4
193811,53.2,1.9
193812,53.5,2.2
