#  Iowa 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189512,46.1,-1.4
189601,47.0,-0.5
189602,47.9,0.4
189603,47.6,0.1
189604,47.6,0.1
189605,48.0,0.5
189606,48.0,0.5
189607,48.1,0.6
189608,48.0,0.5
189609,47.2,-0.3
189610,47.4,-0.1
189611,46.9,-0.6
189612,47.4,-0.1
189701,46.9,-0.6
189702,46.6,-0.9
189703,46.7,-0.8
189704,46.2,-1.3
189705,45.6,-1.9
189706,45.5,-2.0
189707,45.7,-1.8
189708,45.4,-2.1
189709,46.5,-1.0
189710,47.2,-0.3
189711,47.7,0.2
189712,46.6,-0.9
189801,47.1,-0.4
189802,47.1,-0.4
189803,47.6,0.1
189804,47.6,0.1
189805,47.7,0.2
189806,47.9,0.4
189807,47.7,0.2
189808,48.0,0.5
189809,47.5,0.0
189810,46.8,-0.7
189811,46.6,-0.9
189812,46.7,-0.8
189901,46.4,-1.1
189902,45.5,-2.0
189903,44.4,-3.1
189904,44.5,-3.0
189905,44.5,-3.0
189906,44.5,-3.0
189907,44.4,-3.1
189908,44.6,-2.9
189909,44.4,-3.1
189910,45.1,-2.4
189911,46.1,-1.4
189912,46.5,-1.0
190001,47.0,-0.5
190002,47.2,-0.3
190003,47.7,0.2
190004,48.0,0.5
190005,48.3,0.8
190006,48.2,0.7
190007,48.2,0.7
190008,48.5,1.0
190009,48.7,1.2
190010,48.9,1.4
190011,48.0,0.5
190012,48.4,0.9
190101,48.2,0.7
190102,48.4,0.9
190103,48.7,1.2
190104,48.5,1.0
190105,48.3,0.8
190106,48.5,1.0
190107,49.2,1.7
190108,48.9,1.4
190109,48.8,1.3
190110,48.3,0.8
190111,48.5,1.0
190112,47.9,0.4
190201,47.8,0.3
190202,47.8,0.3
190203,48.2,0.7
190204,48.1,0.6
190205,48.3,0.8
190206,47.7,0.2
190207,46.9,-0.6
190208,46.5,-1.0
190209,46.2,-1.3
190210,46.2,-1.3
190211,46.6,-0.9
190212,46.6,-0.9
190301,46.6,-0.9
190302,46.8,-0.7
190303,46.9,-0.6
190304,47.0,-0.5
190305,46.8,-0.7
190306,46.8,-0.7
190307,46.8,-0.7
190308,46.8,-0.7
190309,46.9,-0.6
190310,46.8,-0.7
190311,46.3,-1.2
190312,46.2,-1.3
190401,45.5,-2.0
190402,45.1,-2.4
