#  Kansas 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189512,52.4,-1.7
189601,53.1,-1.0
189602,54.2,0.1
189603,53.8,-0.4
189604,53.9,-0.3
189605,54.2,0.1
189606,54.3,0.1
189607,54.6,0.4
189608,54.8,0.6
189609,54.2,0.0
189610,54.3,0.1
189611,54.1,-0.1
189612,54.7,0.6
189701,54.2,0.1
189702,53.9,-0.2
189703,54.2,0.0
189704,53.7,-0.5
189705,53.3,-0.8
189706,53.3,-0.9
189707,53.5,-0.7
189708,53.3,-0.9
189709,53.9,-0.3
189710,54.4,0.2
189711,54.8,0.6
189712,54.0,-0.1
189801,54.2,0.1
189802,54.5,0.4
189803,54.5,0.3
189804,54.4,0.2
189805,54.3,0.2
189806,54.2,0.0
189807,54.0,-0.2
189808,54.2,0.0
189809,53.8,-0.4
189810,53.2,-1.0
189811,52.8,-1.4
189812,52.6,-1.5
189901,52.5,-1.6
189902,51.1,-3.0
189903,50.6,-3.6
189904,50.6,-3.6
189905,51.0,-3.1
189906,50.9,-3.3
189907,50.8,-3.4
189908,51.1,-3.1
189909,51.1,-3.1
189910,51.7,-2.5
189911,52.5,-1.7
189912,52.8,-1.3
190001,53.3,-0.8
190002,54.0,-0.1
190003,54.5,0.3
190004,54.6,0.4
190005,54.5,0.4
190006,54.6,0.4
190007,54.7,0.5
190008,54.7,0.5
190009,54.9,0.7
190010,54.9,0.7
190011,54.4,0.2
190012,54.7,0.6
190101,54.4,0.3
190102,54.4,0.3
190103,54.3,0.1
190104,54.1,-0.1
190105,53.9,-0.2
190106,54.1,-0.1
190107,54.7,0.5
190108,54.6,0.4
190109,54.4,0.2
190110,54.3,0.1
190111,54.5,0.3
190112,54.2,0.1
190201,54.0,-0.1
190202,54.1,0.0
190203,54.3,0.1
190204,54.5,0.3
190205,54.9,0.8
190206,54.4,0.2
190207,53.8,-0.4
190208,53.7,-0.5
190209,53.3,-0.9
190210,53.2,-1.0
190211,53.3,-0.9
190212,53.0,-1.1
190301,53.2,-0.9
190302,53.1,-1.0
190303,52.8,-1.4
190304,52.8,-1.4
190305,52.3,-1.8
190306,51.9,-2.3
190307,52.1,-2.1
190308,51.9,-2.3
190309,52.1,-2.1
190310,52.0,-2.2
190311,51.7,-2.5
190312,52.1,-2.0
190401,51.9,-2.2
190402,52.4,-1.7
190403,52.8,-1.4
190404,52.5,-1.7
190405,52.5,-1.6
190406,52.8,-1.4
190407,52.6,-1.6
190408,52.5,-1.7
190409,52.8,-1.4
190410,52.9,-1.3
190411,53.2,-1.0
190412,53.0,-1.1
190501,52.4,-1.7
190502,51.4,-2.7
190503,51.7,-2.5
190504,51.8,-2.4
190505,51.8,-2.3
190506,52.3,-1.9
190507,52.2,-2.0
190508,52.5,-1.7
190509,52.6,-1.6
190510,52.2,-2.0
190511,52.2,-2.0
190512,52.3,-1.8
190601,53.4,-0.7
190602,54.6,0.5
190603,53.2,-1.0
190604,53.6,-0.6
190605,53.8,-0.3
190606,53.5,-0.7
190607,53.4,-0.8
190608,53.2,-1.0
190609,53.0,-1.2
190610,53.0,-1.2
190611,52.7,-1.5
190612,53.0,-1.1
190701,52.7,-1.4
190702,52.7,-1.4
190703,54.3,0.1
190704,53.5,-0.7
190705,52.9,-1.2
190706,52.9,-1.3
190707,53.3,-0.9
190708,53.5,-0.7
190709,53.5,-0.7
190710,53.8,-0.4
190711,53.9,-0.3
190712,53.6,-0.5
190801,54.0,-0.1
190802,54.0,-0.1
190803,53.7,-0.5
190804,54.3,0.1
190805,54.7,0.6
190806,54.7,0.5
190807,54.5,0.3
190808,54.4,0.2
190809,54.4,0.2
190810,54.3,0.1
190811,54.4,0.2
190812,54.5,0.4
190901,54.1,0.0
190902,54.1,0.0
190903,53.6,-0.6
190904,53.4,-0.8
190905,53.3,-0.8
190906,53.4,-0.8
190907,53.6,-0.6
190908,53.9,-0.3
190909,53.9,-0.3
190910,54.0,-0.2
190911,54.3,0.1
190912,53.2,-0.9
191001,53.2,-0.9
191002,52.7,-1.4
191003,53.9,-0.3
191004,54.3,0.1
191005,54.1,0.0
191006,54.1,-0.1
191007,54.2,0.0
191008,53.8,-0.4
191009,53.9,-0.3
191010,54.1,-0.1
191011,53.8,-0.4
191012,54.7,0.6
191101,55.1,1.0
191102,55.5,1.4
191103,54.8,0.6
191104,54.6,0.4
191105,55.1,1.0
191106,55.7,1.5
191107,55.6,1.4
191108,55.6,1.4
191109,56.0,1.8
191110,55.5,1.3
191111,55.1,0.9
191112,54.8,0.7
191201,53.6,-0.5
191202,53.2,-0.9
191203,51.9,-2.3
191204,51.9,-2.3
191205,51.9,-2.2
191206,51.0,-3.2
191207,51.1,-3.1
191208,51.2,-3.0
191209,50.5,-3.7
191210,50.7,-3.5
191211,51.3,-2.9
191212,51.6,-2.5
191301,52.5,-1.6
191302,52.0,-2.1
191303,52.7,-1.5
191304,52.9,-1.3
191305,53.0,-1.1
191306,53.4,-0.8
191307,53.6,-0.6
191308,54.1,-0.1
191309,54.3,0.1
191310,53.9,-0.3
191311,54.2,0.0
191312,54.2,0.1
191401,54.9,0.8
191402,55.2,1.1
191403,55.5,1.3
191404,55.4,1.2
191405,55.1,1.0
191406,55.5,1.3
191407,55.3,1.1
191408,54.8,0.6
191409,55.2,1.0
191410,55.6,1.4
191411,55.5,1.3
191412,54.7,0.6
191501,53.9,-0.2
191502,54.6,0.5
191503,53.7,-0.5
191504,54.0,-0.2
191505,53.7,-0.4
191506,52.9,-1.3
191507,52.4,-1.8
191508,51.7,-2.5
191509,51.4,-2.8
191510,51.5,-2.7
191511,51.4,-2.8
191512,52.3,-1.8
191601,52.0,-2.1
191602,51.6,-2.5
191603,52.8,-1.4
191604,52.2,-2.0
191605,52.5,-1.6
191606,52.6,-1.6
191607,53.2,-1.0
191608,54.0,-0.2
191609,53.9,-0.3
191610,53.8,-0.4
191611,53.4,-0.8
191612,52.9,-1.2
191701,53.4,-0.7
191702,53.4,-0.7
191703,53.0,-1.2
191704,53.1,-1.1
191705,52.5,-1.6
191706,52.7,-1.5
191707,52.7,-1.5
191708,52.2,-2.0
191709,52.3,-1.9
191710,51.8,-2.4
191711,52.1,-2.1
191712,52.0,-2.1
191801,51.0,-3.1
191802,51.3,-2.8
191803,51.9,-2.3
191804,51.6,-2.6
191805,52.4,-1.7
191806,52.9,-1.3
191807,52.7,-1.5
191808,53.4,-0.8
191809,52.9,-1.3
191810,53.7,-0.5
191811,53.3,-0.9
191812,54.0,-0.1
