#  Kentucky 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189512,53.7,-1.8
189601,54.1,-1.4
189602,55.1,-0.4
189603,54.8,-0.7
189604,55.2,-0.3
189605,55.8,0.3
189606,55.6,0.1
189607,55.8,0.3
189608,55.8,0.3
189609,55.4,-0.1
189610,55.7,0.2
189611,56.0,0.5
189612,56.0,0.5
189701,55.7,0.2
189702,55.9,0.4
189703,56.7,1.2
189704,56.0,0.5
189705,55.2,-0.3
189706,55.3,-0.2
189707,55.3,-0.2
189708,55.2,-0.3
189709,55.5,0.0
189710,56.2,0.7
189711,56.0,0.5
189712,55.9,0.4
189801,56.6,1.1
189802,56.5,1.0
189803,56.6,1.1
189804,56.3,0.8
189805,56.8,1.3
189806,57.1,1.6
189807,57.1,1.6
189808,57.2,1.7
189809,57.3,1.8
189810,56.9,1.4
189811,56.5,1.0
189812,56.1,0.6
189901,55.7,0.2
189902,54.7,-0.8
189903,54.2,-1.3
189904,54.6,-0.9
189905,54.7,-0.8
189906,54.7,-0.8
189907,54.6,-0.9
189908,54.7,-0.8
189909,54.3,-1.2
189910,54.6,-0.9
189911,55.2,-0.3
189912,55.3,-0.2
190001,55.5,0.0
190002,56.0,0.5
190003,55.9,0.4
190004,55.8,0.3
190005,55.6,0.1
190006,55.5,0.0
190007,55.5,0.0
190008,55.7,0.2
190009,56.2,0.7
190010,56.5,1.0
190011,56.3,0.8
190012,56.6,1.1
190101,56.5,1.0
190102,56.5,1.0
190103,56.9,1.4
190104,56.5,1.0
190105,56.3,0.8
190106,56.4,0.9
190107,56.8,1.3
190108,56.4,0.9
190109,55.9,0.4
190110,55.3,-0.2
190111,54.9,-0.6
190112,54.4,-1.1
190201,54.1,-1.4
190202,53.7,-1.8
190203,53.8,-1.7
190204,54.0,-1.5
190205,54.5,-1.0
190206,54.3,-1.2
190207,54.0,-1.5
190208,54.0,-1.5
190209,53.9,-1.6
190210,54.1,-1.4
190211,55.1,-0.4
190212,55.5,0.0
190301,55.5,0.0
190302,56.3,0.8
190303,56.8,1.3
190304,56.9,1.4
190305,56.8,1.3
190306,56.4,0.9
190307,56.3,0.8
190308,56.4,0.9
190309,56.5,1.0
190310,56.3,0.8
190311,55.3,-0.2
190312,54.8,-0.7
190401,54.6,-0.9
190402,54.4,-1.1
190403,53.9,-1.6
190404,53.6,-1.9
190405,53.3,-2.2
190406,53.7,-1.8
190407,53.5,-2.0
190408,53.4,-2.1
190409,53.6,-1.9
190410,53.6,-1.9
190411,53.8,-1.7
190412,54.2,-1.3
190501,53.9,-1.6
190502,53.3,-2.2
190503,53.7,-1.8
190504,54.1,-1.4
190505,54.4,-1.1
190506,54.6,-0.9
190507,54.6,-0.9
190508,54.6,-0.9
190509,54.6,-0.9
190510,54.6,-0.9
190511,54.7,-0.8
190512,54.8,-0.7
190601,55.7,0.2
190602,56.3,0.8
190603,55.3,-0.2
190604,55.5,0.0
190605,55.3,-0.2
190606,55.3,-0.2
