#  Louisiana 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189512,64.8,-1.6
189601,64.8,-1.6
189602,65.7,-0.7
189603,65.5,-0.9
189604,65.9,-0.5
189605,66.3,-0.1
189606,66.4,0.0
189607,66.5,0.1
189608,66.7,0.3
189609,66.5,0.1
189610,66.8,0.4
189611,67.2,0.8
189612,67.2,0.8
189701,67.1,0.7
189702,67.3,0.9
189703,68.0,1.6
189704,67.8,1.4
189705,67.3,0.9
189706,67.3,0.9
189707,67.3,0.9
189708,67.1,0.7
189709,67.1,0.7
189710,67.5,1.1
189711,67.3,0.9
189712,67.3,0.9
189801,67.9,1.5
189802,67.9,1.5
189803,67.5,1.1
189804,67.2,0.8
189805,67.4,1.0
189806,67.3,0.9
189807,67.2,0.8
189808,67.1,0.7
189809,67.2,0.8
189810,66.7,0.3
189811,66.3,-0.1
189812,66.0,-0.4
189901,65.5,-0.9
189902,64.7,-1.7
189903,64.6,-1.8
189904,64.7,-1.7
189905,65.0,-1.4
189906,65.0,-1.4
189907,65.1,-1.3
189908,65.3,-1.1
189909,65.0,-1.4
189910,65.4,-1.0
189911,65.9,-0.5
189912,66.1,-0.3
190001,66.1,-0.3
190002,66.6,0.2
190003,66.4,0.0
190004,66.6,0.2
190005,66.2,-0.2
190006,66.2,-0.2
190007,66.0,-0.4
190008,65.9,-0.5
190009,66.4,0.0
190010,66.5,0.1
190011,66.6,0.2
190012,66.8,0.4
190101,67.0,0.6
190102,67.0,0.6
190103,67.0,0.6
190104,66.6,0.2
190105,66.5,0.1
190106,66.6,0.2
190107,66.8,0.4
190108,66.9,0.5
190109,66.4,0.0
190110,66.0,-0.4
190111,65.7,-0.7
190112,65.4,-1.0
190201,65.0,-1.4
190202,64.8,-1.6
190203,65.0,-1.4
190204,65.3,-1.1
190205,65.7,-0.7
190206,65.8,-0.6
190207,65.7,-0.7
190208,65.8,-0.6
190209,65.9,-0.5
190210,65.9,-0.5
190211,66.5,0.1
190212,66.6,0.2
190301,66.7,0.3
190302,67.1,0.7
190303,67.2,0.8
190304,67.0,0.6
190305,66.6,0.2
190306,66.1,-0.3
190307,65.9,-0.5
190308,65.7,-0.7
190309,65.6,-0.8
190310,65.5,-0.9
190311,64.9,-1.5
190312,64.7,-1.7
190401,64.6,-1.8
190402,65.0,-1.4
190403,65.1,-1.3
190404,65.1,-1.3
190405,65.1,-1.3
190406,65.4,-1.0
190407,65.4,-1.0
190408,65.2,-1.2
190409,65.6,-0.8
190410,65.8,-0.6
190411,65.9,-0.5
190412,66.1,-0.3
190501,66.0,-0.4
190502,64.8,-1.6
190503,64.7,-1.7
190504,65.0,-1.4
190505,65.4,-1.0
190506,65.5,-0.9
190507,65.6,-0.8
190508,65.8,-0.6
190509,65.8,-0.6
190510,65.7,-0.7
190511,66.0,-0.4
190512,65.7,-0.7
190601,66.1,-0.3
190602,66.7,0.3
190603,66.1,-0.3
190604,66.1,-0.3
190605,65.8,-0.6
190606,65.8,-0.6
190607,65.9,-0.5
190608,65.8,-0.6
190609,65.9,-0.5
190610,65.6,-0.8
190611,65.5,-0.9
190612,66.4,0.0
190701,67.2,0.8
190702,67.6,1.2
190703,68.7,2.3
190704,68.4,2.0
190705,68.2,1.8
190706,67.9,1.5
190707,68.1,1.7
190708,68.2,1.8
190709,68.1,1.7
190710,68.4,2.0
