#  Maine 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189512,39.4,-0.7
189601,39.2,-0.9
189602,39.4,-0.7
189603,39.3,-0.8
189604,39.4,-0.7
189605,39.2,-0.9
189606,38.8,-1.3
189607,39.0,-1.1
189608,39.0,-1.1
189609,38.7,-1.4
189610,38.9,-1.2
189611,38.8,-1.3
189612,38.3,-1.8
189701,38.5,-1.6
189702,38.7,-1.4
189703,38.9,-1.2
189704,38.9,-1.2
189705,38.8,-1.3
189706,38.5,-1.6
189707,38.5,-1.6
189708,38.5,-1.6
189709,38.5,-1.6
189710,38.8,-1.3
189711,38.7,-1.4
189712,39.0,-1.1
189801,38.7,-1.4
189802,39.0,-1.1
189803,39.5,-0.6
189804,39.3,-0.8
189805,39.4,-0.7
189806,39.7,-0.4
189807,39.7,-0.4
189808,39.9,-0.2
189809,40.2,0.1
189810,40.1,0.0
189811,40.3,0.2
189812,40.2,0.1
189901,40.4,0.3
189902,39.7,-0.4
189903,39.1,-1.0
189904,39.3,-0.8
189905,39.3,-0.8
189906,39.3,-0.8
189907,39.3,-0.8
189908,39.1,-1.0
189909,38.9,-1.2
189910,39.0,-1.1
189911,38.8,-1.3
189912,39.3,-0.8
190001,39.5,-0.6
190002,39.8,-0.3
190003,39.8,-0.3
190004,39.8,-0.3
190005,39.6,-0.5
190006,39.7,-0.4
190007,39.8,-0.3
190008,39.9,-0.2
190009,40.2,0.1
190010,40.4,0.3
190011,40.5,0.4
190012,39.9,-0.2
190101,39.7,-0.4
190102,39.3,-0.8
190103,39.5,-0.6
190104,39.6,-0.5
190105,39.9,-0.2
190106,39.9,-0.2
190107,39.9,-0.2
190108,39.9,-0.2
190109,39.9,-0.2
190110,39.5,-0.6
190111,39.1,-1.0
190112,39.3,-0.8
190201,39.5,-0.6
190202,39.9,-0.2
190203,40.6,0.5
190204,40.5,0.4
190205,40.3,0.2
190206,39.8,-0.3
190207,39.5,-0.6
190208,39.2,-0.9
190209,39.1,-1.0
190210,39.1,-1.0
190211,39.8,-0.3
190212,39.4,-0.7
190301,39.5,-0.6
190302,39.5,-0.6
190303,39.6,-0.5
190304,39.5,-0.6
190305,39.8,-0.3
190306,39.9,-0.2
190307,39.9,-0.2
190308,39.7,-0.4
190309,39.7,-0.4
190310,39.7,-0.4
190311,39.3,-0.8
190312,39.3,-0.8
190401,38.7,-1.4
190402,37.9,-2.2
190403,37.2,-2.9
190404,37.0,-3.1
190405,37.2,-2.9
190406,37.3,-2.8
190407,37.7,-2.4
190408,37.9,-2.2
190409,37.5,-2.6
190410,37.3,-2.8
190411,37.1,-3.0
190412,36.5,-3.6
190501,36.6,-3.5
190502,36.8,-3.3
190503,36.8,-3.3
190504,36.9,-3.2
190505,36.5,-3.6
190506,36.4,-3.7
190507,36.4,-3.7
190508,36.4,-3.7
190509,36.6,-3.5
190510,36.7,-3.4
190511,37.0,-3.1
190512,37.9,-2.2
190601,38.9,-1.2
190602,39.4,-0.7
190603,39.0,-1.1
190604,38.7,-1.4
190605,38.6,-1.5
190606,38.8,-1.3
190607,38.8,-1.3
190608,39.1,-1.0
190609,39.2,-0.9
190610,39.4,-0.7
190611,39.4,-0.7
190612,38.9,-1.2
190701,38.0,-2.1
190702,37.3,-2.8
190703,37.6,-2.5
190704,37.6,-2.5
190705,37.4,-2.7
190706,37.3,-2.8
190707,37.2,-2.9
190708,37.0,-3.1
190709,36.9,-3.2
190710,36.6,-3.5
190711,36.6,-3.5
190712,37.4,-2.7
190801,38.1,-2.0
190802,38.5,-1.6
190803,38.6,-1.5
190804,38.6,-1.5
190805,39.1,-1.0
190806,39.3,-0.8
190807,39.6,-0.5
190808,39.6,-0.5
190809,39.9,-0.2
190810,40.4,0.3
190811,40.4,0.3
190812,39.8,-0.3
190901,39.5,-0.6
190902,39.7,-0.4
190903,39.7,-0.4
190904,39.7,-0.4
190905,39.5,-0.6
190906,39.4,-0.7
190907,39.0,-1.1
190908,39.1,-1.0
190909,38.8,-1.3
190910,38.6,-1.5
190911,38.9,-1.2
190912,39.3,-0.8
191001,39.7,-0.4
191002,39.7,-0.4
191003,40.2,0.1
191004,40.8,0.7
191005,40.9,0.8
191006,40.7,0.6
191007,41.0,0.9
191008,40.9,0.8
191009,40.8,0.7
191010,40.8,0.7
191011,40.5,0.4
