#  Maryland 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189512,52.1,-1.7
189601,52.2,-1.6
189602,53.1,-0.7
189603,52.9,-0.9
189604,53.2,-0.6
189605,53.7,-0.1
189606,53.5,-0.3
189607,53.8,0.0
189608,53.8,0.0
189609,53.4,-0.4
189610,53.6,-0.2
189611,54.0,0.2
189612,53.7,-0.1
189701,53.5,-0.3
189702,53.6,-0.2
189703,54.2,0.4
189704,53.8,0.0
189705,53.3,-0.5
189706,53.2,-0.6
189707,53.1,-0.7
189708,52.9,-0.9
189709,53.0,-0.8
189710,53.3,-0.5
189711,52.9,-0.9
189712,53.2,-0.6
189801,53.6,-0.2
189802,53.5,-0.3
189803,53.8,0.0
189804,53.6,-0.2
189805,53.8,0.0
189806,54.1,0.3
189807,54.2,0.4
189808,54.5,0.7
189809,54.8,1.0
189810,54.8,1.0
189811,54.6,0.8
189812,54.4,0.6
189901,54.1,0.3
189902,53.5,-0.3
189903,53.0,-0.8
189904,53.2,-0.6
189905,53.3,-0.5
189906,53.4,-0.4
189907,53.3,-0.5
189908,53.1,-0.7
189909,52.8,-1.0
189910,52.8,-1.0
189911,52.9,-0.9
189912,53.0,-0.8
190001,53.2,-0.6
190002,53.6,-0.2
190003,53.4,-0.4
190004,53.3,-0.5
190005,53.3,-0.5
190006,53.2,-0.6
190007,53.3,-0.5
190008,53.7,-0.1
190009,54.2,0.4
190010,54.5,0.7
190011,54.8,1.0
190012,54.8,1.0
190101,54.7,0.9
190102,54.3,0.5
190103,54.8,1.0
190104,54.5,0.7
190105,54.4,0.6
190106,54.3,0.5
190107,54.4,0.6
190108,54.1,0.3
190109,53.7,-0.1
190110,53.2,-0.6
190111,52.5,-1.3
190112,52.3,-1.5
190201,52.1,-1.7
190202,52.1,-1.7
190203,52.2,-1.6
190204,52.4,-1.4
190205,52.6,-1.2
190206,52.6,-1.2
190207,52.3,-1.5
190208,52.0,-1.8
190209,51.9,-1.9
190210,52.1,-1.7
190211,53.0,-0.8
190212,53.1,-0.7
190301,53.2,-0.6
190302,53.8,0.0
190303,54.1,0.3
190304,54.2,0.4
190305,54.2,0.4
190306,53.8,0.0
190307,53.7,-0.1
190308,53.7,-0.1
190309,53.8,0.0
190310,53.7,-0.1
190311,52.9,-0.9
190312,52.7,-1.1
190401,52.2,-1.6
190402,51.5,-2.3
190403,50.8,-3.0
190404,50.5,-3.3
190405,50.6,-3.2
190406,50.9,-2.9
190407,50.8,-3.0
190408,50.8,-3.0
190409,50.9,-2.9
190410,50.6,-3.2
190411,50.7,-3.1
190412,50.6,-3.2
190501,50.8,-3.0
190502,50.6,-3.2
190503,50.9,-2.9
190504,51.2,-2.6
190505,51.3,-2.5
190506,51.3,-2.5
190507,51.4,-2.4
190508,51.5,-2.3
190509,51.5,-2.3
190510,51.7,-2.1
190511,51.9,-1.9
190512,52.5,-1.3
190601,53.3,-0.5
190602,54.0,0.2
190603,53.4,-0.4
190604,53.5,-0.3
190605,53.4,-0.4
190606,53.5,-0.3
190607,53.5,-0.3
190608,53.7,-0.1
190609,54.0,0.2
190610,54.0,0.2
190611,54.1,0.3
190612,54.0,0.2
190701,53.8,0.0
190702,53.3,-0.5
190703,54.1,0.3
190704,53.5,-0.3
190705,53.1,-0.7
190706,52.5,-1.3
190707,52.5,-1.3
190708,52.2,-1.6
190709,52.0,-1.8
190710,51.6,-2.2
190711,51.4,-2.4
190712,51.6,-2.2
190801,51.3,-2.5
190802,51.5,-2.3
190803,51.5,-2.3
190804,52.1,-1.7
190805,52.5,-1.3
190806,53.0,-0.8
190807,53.2,-0.6
190808,53.2,-0.6
190809,52.9,-0.9
190810,53.5,-0.3
190811,53.5,-0.3
190812,53.5,-0.3
190901,53.6,-0.2
190902,54.6,0.8
190903,54.2,0.4
190904,54.1,0.3
190905,53.9,0.1
190906,54.1,0.3
190907,53.8,0.0
190908,53.8,0.0
190909,53.7,-0.1
190910,53.3,-0.5
190911,53.6,-0.2
190912,53.2,-0.6
191001,52.9,-0.9
191002,52.2,-1.6
191003,52.9,-0.9
191004,53.2,-0.6
191005,53.0,-0.8
191006,52.7,-1.1
191007,52.9,-0.9
191008,53.0,-0.8
191009,53.3,-0.5
191010,53.9,0.1
191011,53.2,-0.6
191012,53.0,-0.8
191101,53.4,-0.4
191102,53.6,-0.2
191103,52.9,-0.9
191104,52.3,-1.5
191105,52.9,-0.9
191106,53.2,-0.6
191107,53.3,-0.5
191108,53.5,-0.3
191109,53.5,-0.3
191110,53.2,-0.6
191111,53.4,-0.4
191112,54.4,0.6
191201,53.3,-0.5
191202,52.8,-1.0
191203,52.8,-1.0
191204,53.2,-0.6
191205,52.9,-0.9
191206,52.7,-1.1
191207,52.5,-1.3
191208,52.2,-1.6
191209,52.2,-1.6
191210,52.4,-1.4
191211,52.7,-1.1
191212,52.5,-1.3
191301,54.0,0.2
191302,54.4,0.6
191303,55.0,1.2
191304,55.0,1.2
191305,54.9,1.1
191306,55.0,1.2
191307,55.2,1.4
191308,55.3,1.5
191309,55.0,1.2
191310,55.0,1.2
191311,55.1,1.3
191312,55.1,1.3
191401,54.6,0.8
191402,54.1,0.3
191403,53.3,-0.5
191404,53.1,-0.7
191405,53.3,-0.5
191406,53.4,-0.4
191407,53.3,-0.5
191408,53.4,-0.4
191409,53.2,-0.6
191410,53.4,-0.4
191411,53.2,-0.6
191412,52.6,-1.2
191501,52.4,-1.4
191502,53.1,-0.7
191503,53.1,-0.7
191504,53.5,-0.3
191505,53.2,-0.6
191506,52.9,-0.9
191507,52.9,-0.9
191508,52.8,-1.0
191509,53.1,-0.7
191510,53.0,-0.8
191511,53.1,-0.7
191512,53.2,-0.6
191601,53.5,-0.3
191602,53.1,-0.7
191603,53.1,-0.7
191604,52.6,-1.2
191605,52.9,-0.9
191606,52.8,-1.0
191607,52.9,-0.9
191608,53.1,-0.7
191609,52.8,-1.0
191610,52.6,-1.2
191611,52.6,-1.2
191612,52.7,-1.1
191701,52.3,-1.5
191702,52.2,-1.6
191703,52.7,-1.1
191704,52.8,-1.0
191705,52.2,-1.6
191706,52.4,-1.4
191707,52.4,-1.4
191708,52.4,-1.4
191709,52.1,-1.7
191710,51.8,-2.0
191711,51.5,-2.3
191712,50.9,-2.9
191801,49.9,-3.9
191802,50.1,-3.7
191803,50.4,-3.4
191804,50.4,-3.4
191805,51.2,-2.6
191806,51.1,-2.7
191807,50.9,-2.9
191808,51.1,-2.7
191809,51.1,-2.7
191810,51.8,-2.0
191811,52.1,-1.7
191812,53.2,-0.6
191901,54.4,0.6
191902,54.5,0.7
191903,54.4,0.6
191904,54.4,0.6
191905,54.0,0.2
191906,54.3,0.5
191907,54.5,0.7
191908,54.1,0.3
191909,54.5,0.7
191910,54.8,1.0
191911,54.9,1.1
191912,54.1,0.3
192001,53.4,-0.4
192002,53.1,-0.7
192003,52.9,-0.9
192004,52.8,-1.0
192005,52.5,-1.3
192006,52.3,-1.5
192007,52.2,-1.6
192008,52.3,-1.5
192009,52.3,-1.5
192010,52.0,-1.8
192011,51.9,-1.9
192012,52.5,-1.3
192101,53.2,-0.6
192102,53.7,-0.1
192103,54.6,0.8
192104,55.2,1.4
192105,55.4,1.6
192106,55.7,1.9
192107,56.1,2.3
192108,55.9,2.1
192109,56.3,2.5
192110,56.0,2.2
192111,56.2,2.4
192112,56.0,2.2
192201,55.6,1.8
192202,55.5,1.7
192203,54.7,0.9
192204,54.4,0.6
192205,54.7,0.9
192206,54.7,0.9
192207,54.5,0.7
192208,54.5,0.7
192209,54.2,0.4
192210,54.4,0.6
192211,54.3,0.5
192212,54.4,0.6
192301,54.8,1.0
192302,54.3,0.5
192303,54.2,0.4
192304,54.0,0.2
192305,53.7,-0.1
192306,53.8,0.0
192307,53.7,-0.1
192308,53.8,0.0
192309,53.7,-0.1
192310,53.5,-0.3
192311,53.3,-0.5
192312,53.9,0.1
192401,53.8,0.0
192402,53.9,0.1
192403,53.7,-0.1
192404,53.6,-0.2
192405,53.4,-0.4
192406,53.0,-0.8
192407,53.0,-0.8
192408,53.0,-0.8
192409,52.6,-1.2
192410,52.6,-1.2
192411,52.7,-1.1
192412,52.0,-1.8
192501,51.8,-2.0
192502,52.5,-1.3
192503,52.8,-1.0
192504,53.3,-0.5
192505,53.3,-0.5
192506,53.8,0.0
192507,53.9,0.1
192508,53.8,0.0
192509,54.5,0.7
192510,54.1,0.3
192511,54.0,0.2
192512,54.0,0.2
192601,54.1,0.3
192602,53.6,-0.2
192603,53.0,-0.8
192604,52.6,-1.2
192605,52.8,-1.0
192606,52.1,-1.7
192607,52.1,-1.7
192608,52.4,-1.4
192609,52.1,-1.7
192610,52.5,-1.3
192611,52.5,-1.3
192612,52.2,-1.6
192701,52.2,-1.6
192702,52.7,-1.1
192703,53.2,-0.6
192704,53.2,-0.6
192705,53.2,-0.6
192706,53.1,-0.7
192707,53.0,-0.8
192708,52.5,-1.3
192709,52.5,-1.3
192710,52.7,-1.1
192711,53.3,-0.5
192712,53.7,-0.1
192801,53.9,0.1
192802,53.5,-0.3
192803,53.2,-0.6
192804,53.2,-0.6
192805,53.1,-0.7
192806,53.3,-0.5
192807,53.5,-0.3
192808,54.0,0.2
192809,53.7,-0.1
192810,53.6,-0.2
192811,53.4,-0.4
192812,53.3,-0.5
192901,53.2,-0.6
192902,53.0,-0.8
192903,53.5,-0.3
192904,54.0,0.2
192905,54.1,0.3
192906,54.2,0.4
192907,54.1,0.3
192908,53.8,0.0
192909,54.2,0.4
192910,53.9,0.1
192911,53.8,0.0
192912,53.8,0.0
193001,53.9,0.1
193002,54.5,0.7
193003,54.0,0.2
193004,53.6,-0.2
193005,53.8,0.0
193006,54.0,0.2
193007,54.2,0.4
193008,54.4,0.6
193009,54.8,1.0
193010,54.9,1.1
193011,54.7,0.9
193012,54.5,0.7
193101,54.5,0.7
193102,54.3,0.5
193103,54.0,0.2
193104,54.1,0.3
193105,53.9,0.1
193106,53.8,0.0
193107,53.8,0.0
193108,53.8,0.0
193109,53.7,-0.1
193110,54.2,0.4
193111,54.8,1.0
193112,55.5,1.7
193201,56.4,2.6
193202,56.7,2.9
193203,56.6,2.8
193204,56.6,2.8
193205,56.5,2.7
193206,56.5,2.7
193207,56.3,2.5
193208,56.4,2.6
193209,56.1,2.3
193210,55.9,2.1
193211,55.2,1.4
193212,54.7,0.9
193301,54.4,0.6
193302,54.1,0.3
193303,54.3,0.5
193304,54.4,0.6
193305,54.7,0.9
193306,54.8,1.0
193307,54.8,1.0
193308,54.7,0.9
193309,54.9,1.1
193310,54.8,1.0
193311,54.7,0.9
193312,54.6,0.8
193401,54.3,0.5
193402,53.1,-0.7
193403,53.0,-0.8
193404,52.9,-0.9
193405,52.8,-1.0
193406,53.0,-0.8
193407,53.4,-0.4
193408,53.2,-0.6
193409,53.0,-0.8
193410,53.0,-0.8
193411,53.4,-0.4
193412,53.3,-0.5
193501,52.8,-1.0
193502,53.7,-0.1
193503,54.4,0.6
193504,54.3,0.5
193505,53.9,0.1
193506,53.5,-0.3
193507,53.4,-0.4
193508,53.5,-0.3
193509,53.2,-0.6
193510,53.3,-0.5
193511,53.4,-0.4
193512,53.0,-0.8
193601,52.7,-1.1
193602,52.2,-1.6
193603,52.2,-1.6
193604,52.2,-1.6
193605,52.6,-1.2
193606,52.6,-1.2
193607,52.6,-1.2
193608,52.7,-1.1
193609,53.1,-0.7
193610,53.2,-0.6
193611,52.8,-1.0
193612,53.4,-0.4
193701,54.5,0.7
193702,55.3,1.5
193703,54.6,0.8
193704,54.8,1.0
193705,54.6,0.8
193706,54.8,1.0
193707,54.7,0.9
193708,54.7,0.9
193709,54.3,0.5
193710,53.9,0.1
193711,54.0,0.2
193712,53.8,0.0
193801,53.0,-0.8
193802,53.4,-0.4
193803,54.0,0.2
193804,54.2,0.4
193805,54.1,0.3
193806,53.9,0.1
193807,53.9,0.1
193808,54.0,0.2
193809,54.1,0.3
193810,54.4,0.6
193811,54.6,0.8
193812,54.8,1.0
193901,54.9,1.1
193902,54.9,1.1
193903,54.7,0.9
193904,54.4,0.6
193905,54.7,0.9
193906,54.9,1.1
193907,54.7,0.9
193908,54.7,0.9
193909,55.0,1.2
193910,55.0,1.2
193911,54.6,0.8
193912,54.8,1.0
194001,53.7,-0.1
194002,53.2,-0.6
194003,52.8,-1.0
194004,52.5,-1.3
194005,52.3,-1.5
194006,52.2,-1.6
194007,52.3,-1.5
194008,51.9,-1.9
194009,51.5,-2.3
194010,51.2,-2.6
194011,51.4,-2.4
194012,51.6,-2.2
194101,52.4,-1.4
194102,52.2,-1.6
194103,52.1,-1.7
194104,52.8,-1.0
194105,53.0,-0.8
194106,52.9,-0.9
194107,52.9,-0.9
194108,53.1,-0.7
194109,53.5,-0.3
194110,54.3,0.5
194111,54.5,0.7
194112,54.4,0.6
194201,54.4,0.6
194202,54.5,0.7
194203,55.1,1.3
194204,55.0,1.2
194205,55.2,1.4
194206,55.3,1.5
194207,55.4,1.6
194208,55.4,1.6
194209,55.2,1.4
194210,54.9,1.1
194211,54.8,1.0
194212,54.2,0.4
194301,54.4,0.6
194302,54.7,0.9
194303,54.5,0.7
194304,54.0,0.2
194305,53.8,0.0
194306,54.2,0.4
194307,54.2,0.4
194308,54.4,0.6
194309,54.2,0.4
194310,54.0,0.2
194311,53.7,-0.1
194312,53.9,0.1
194401,54.0,0.2
194402,53.9,0.1
194403,53.7,-0.1
194404,53.9,0.1
194405,54.2,0.4
194406,53.9,0.1
194407,53.9,0.1
194408,53.8,0.0
194409,54.0,0.2
194410,54.0,0.2
194411,54.1,0.3
