#  Massachusetts 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189512,45.9,-1.0
189601,45.7,-1.2
189602,46.3,-0.6
189603,46.1,-0.8
189604,46.3,-0.6
189605,46.4,-0.5
189606,46.1,-0.8
189607,46.5,-0.4
189608,46.5,-0.4
189609,46.3,-0.6
189610,46.4,-0.5
189611,46.5,-0.4
189612,46.0,-0.9
189701,46.4,-0.5
189702,46.4,-0.5
189703,46.8,-0.1
189704,46.8,-0.1
189705,46.5,-0.4
189706,46.3,-0.6
189707,46.3,-0.6
189708,46.1,-0.8
189709,46.1,-0.8
189710,46.4,-0.5
189711,46.0,-0.9
189712,46.4,-0.5
189801,46.3,-0.6
189802,46.4,-0.5
189803,46.9,0.0
189804,46.6,-0.3
189805,46.4,-0.5
189806,46.8,-0.1
189807,46.7,-0.2
189808,47.0,0.1
189809,47.3,0.4
189810,47.4,0.5
189811,47.4,0.5
189812,47.2,0.3
189901,47.2,0.3
189902,46.8,-0.1
189903,46.1,-0.8
189904,46.3,-0.6
189905,46.4,-0.5
189906,46.7,-0.2
189907,46.6,-0.3
189908,46.4,-0.5
189909,46.1,-0.8
189910,46.1,-0.8
189911,46.1,-0.8
189912,46.4,-0.5
190001,46.5,-0.4
190002,46.7,-0.2
190003,46.6,-0.3
190004,46.5,-0.4
190005,46.3,-0.6
190006,46.2,-0.7
190007,46.3,-0.6
190008,46.5,-0.4
190009,46.8,-0.1
190010,47.0,0.1
190011,47.2,0.3
190012,47.0,0.1
190101,46.8,-0.1
190102,46.4,-0.5
190103,46.6,-0.3
190104,46.6,-0.3
190105,46.6,-0.3
190106,46.6,-0.3
190107,46.7,-0.2
190108,46.7,-0.2
190109,46.6,-0.3
190110,46.2,-0.7
190111,45.6,-1.3
190112,45.6,-1.3
190201,45.5,-1.4
190202,45.9,-1.0
190203,46.6,-0.3
190204,46.7,-0.2
190205,46.8,-0.1
190206,46.5,-0.4
190207,46.1,-0.8
190208,45.7,-1.2
190209,45.6,-1.3
190210,45.6,-1.3
190211,46.3,-0.6
190212,46.1,-0.8
190301,46.2,-0.7
190302,46.4,-0.5
190303,46.6,-0.3
190304,46.5,-0.4
190305,46.7,-0.2
190306,46.5,-0.4
190307,46.7,-0.2
190308,46.4,-0.5
190309,46.5,-0.4
190310,46.6,-0.3
190311,46.0,-0.9
190312,45.9,-1.0
190401,45.2,-1.7
190402,44.5,-2.4
190403,43.6,-3.3
190404,43.3,-3.6
190405,43.4,-3.5
190406,43.8,-3.1
190407,43.8,-3.1
190408,44.1,-2.8
190409,44.0,-2.9
190410,43.7,-3.2
190411,43.5,-3.4
190412,43.3,-3.6
190501,43.7,-3.2
190502,43.7,-3.2
190503,43.8,-3.1
190504,44.0,-2.9
190505,43.7,-3.2
190506,43.7,-3.2
190507,43.8,-3.1
190508,43.8,-3.1
190509,43.8,-3.1
190510,44.0,-2.9
190511,44.3,-2.6
190512,45.1,-1.8
190601,45.9,-1.0
190602,46.5,-0.4
190603,46.2,-0.7
190604,46.2,-0.7
190605,46.2,-0.7
190606,46.3,-0.6
190607,46.2,-0.7
190608,46.6,-0.3
190609,46.9,0.0
190610,46.9,0.0
190611,47.0,0.1
190612,46.5,-0.4
190701,45.9,-1.0
190702,45.2,-1.7
190703,45.7,-1.2
190704,45.4,-1.5
190705,45.0,-1.9
190706,44.8,-2.1
190707,44.8,-2.1
190708,44.5,-2.4
190709,44.3,-2.6
190710,44.0,-2.9
190711,44.0,-2.9
190712,44.6,-2.3
190801,44.9,-2.0
190802,45.2,-1.7
190803,45.2,-1.7
190804,45.5,-1.4
190805,46.1,-0.8
190806,46.4,-0.5
190807,46.6,-0.3
190808,46.6,-0.3
190809,46.7,-0.2
190810,47.2,0.3
190811,47.2,0.3
190812,46.9,0.0
190901,46.9,0.0
190902,47.5,0.6
190903,47.3,0.4
190904,47.3,0.4
190905,47.1,0.2
190906,47.0,0.1
190907,46.7,-0.2
190908,46.7,-0.2
190909,46.5,-0.4
190910,46.1,-0.8
190911,46.4,-0.5
190912,46.2,-0.7
191001,46.3,-0.6
191002,45.9,-1.0
191003,46.4,-0.5
191004,46.8,-0.1
191005,46.9,0.0
191006,46.6,-0.3
191007,46.9,0.0
191008,46.9,0.0
191009,47.0,0.1
191010,47.2,0.3
191011,46.8,-0.1
191012,46.5,-0.4
191101,46.6,-0.3
191102,46.5,-0.4
191103,45.8,-1.1
191104,45.2,-1.7
191105,45.7,-1.2
191106,45.7,-1.2
191107,45.9,-1.0
191108,46.0,-0.9
191109,45.9,-1.0
191110,45.6,-1.3
191111,45.6,-1.3
191112,46.6,-0.3
191201,45.6,-1.3
191202,45.6,-1.3
