#  Michigan 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189512,41.7,-1.9
189601,42.2,-1.3
189602,42.9,-0.7
189603,42.9,-0.7
189604,43.0,-0.6
189605,43.5,-0.1
189606,43.3,-0.3
189607,43.5,-0.1
189608,43.5,-0.1
189609,42.9,-0.7
189610,43.0,-0.6
189611,43.0,-0.6
189612,43.1,-0.5
189701,42.9,-0.6
189702,43.0,-0.6
189703,43.3,-0.3
189704,42.8,-0.8
189705,42.0,-1.6
189706,41.6,-2.0
189707,41.9,-1.7
189708,41.6,-2.0
189709,42.2,-1.4
189710,42.9,-0.7
189711,42.8,-0.8
189712,42.5,-1.1
189801,42.8,-0.7
189802,42.7,-0.9
189803,43.2,-0.4
189804,43.2,-0.4
189805,43.4,-0.2
189806,43.8,0.2
189807,43.6,0.0
189808,43.8,0.2
189809,43.8,0.2
189810,43.5,-0.1
189811,43.5,-0.1
189812,43.5,-0.1
189901,43.0,-0.5
189902,42.3,-1.3
189903,41.3,-2.3
189904,41.6,-2.0
189905,41.7,-1.9
189906,41.7,-1.9
189907,41.6,-2.0
189908,41.8,-1.8
189909,41.3,-2.3
189910,41.5,-2.1
189911,42.1,-1.5
189912,42.3,-1.3
190001,42.8,-0.7
190002,43.1,-0.5
190003,43.1,-0.5
190004,43.1,-0.5
190005,43.2,-0.4
190006,43.0,-0.6
190007,42.9,-0.7
190008,43.2,-0.4
190009,43.7,0.1
190010,44.1,0.5
190011,43.7,0.1
190012,43.7,0.1
190101,43.4,-0.1
190102,43.3,-0.3
190103,43.8,0.2
190104,43.7,0.1
190105,43.5,-0.1
190106,43.7,0.1
190107,44.2,0.6
190108,43.8,0.2
190109,43.6,0.0
190110,43.0,-0.6
190111,43.0,-0.6
190112,42.6,-1.0
190201,42.7,-0.8
190202,43.1,-0.5
190203,43.9,0.3
190204,43.8,0.2
190205,43.8,0.2
190206,43.3,-0.3
190207,43.1,-0.5
190208,42.8,-0.8
190209,42.6,-1.0
190210,42.5,-1.1
190211,43.2,-0.4
190212,43.3,-0.3
190301,43.3,-0.2
190302,43.4,-0.2
190303,43.4,-0.2
190304,43.4,-0.2
190305,43.5,-0.1
190306,43.6,0.0
190307,43.4,-0.2
190308,43.4,-0.2
190309,43.5,-0.1
190310,43.6,0.0
190311,42.8,-0.8
190312,42.4,-1.2
190401,41.8,-1.7
190402,40.7,-2.9
190403,39.9,-3.7
190404,39.5,-4.1
190405,39.3,-4.3
190406,39.6,-4.0
190407,39.5,-4.1
190408,39.5,-4.1
190409,39.4,-4.2
190410,39.2,-4.4
190411,39.6,-4.0
190412,39.8,-3.8
190501,40.1,-3.4
190502,40.5,-3.1
190503,40.8,-2.8
190504,41.1,-2.5
190505,40.9,-2.7
190506,40.9,-2.7
190507,41.0,-2.6
190508,41.3,-2.3
190509,41.6,-2.0
190510,41.7,-1.9
190511,41.5,-2.1
190512,42.0,-1.6
190601,43.0,-0.5
190602,43.6,0.0
190603,43.0,-0.6
190604,43.3,-0.3
190605,43.4,-0.2
190606,43.5,-0.1
190607,43.5,-0.1
190608,43.7,0.1
190609,44.0,0.4
190610,43.9,0.3
190611,44.0,0.4
190612,43.8,0.2
190701,43.1,-0.4
190702,42.8,-0.8
190703,43.7,0.1
190704,42.8,-0.8
190705,42.2,-1.4
190706,42.1,-1.5
190707,42.1,-1.5
190708,41.6,-2.0
190709,41.2,-2.4
190710,41.0,-2.6
190711,40.9,-2.7
190712,41.0,-2.6
190801,41.3,-2.2
190802,41.4,-2.2
190803,41.1,-2.5
190804,41.8,-1.8
190805,42.5,-1.1
190806,42.7,-0.9
190807,42.9,-0.7
190808,43.0,-0.6
190809,43.5,-0.1
190810,44.0,0.4
190811,44.2,0.6
190812,44.1,0.5
190901,44.1,0.6
190902,44.5,0.9
190903,44.4,0.8
190904,44.0,0.4
190905,43.7,0.1
190906,43.7,0.1
190907,43.6,0.0
190908,43.8,0.2
190909,43.2,-0.4
190910,42.8,-0.8
190911,43.1,-0.5
190912,42.9,-0.7
191001,42.7,-0.8
191002,42.2,-1.4
191003,43.2,-0.4
191004,43.8,0.2
191005,43.6,0.0
191006,43.6,0.0
191007,43.8,0.2
191008,43.6,0.0
191009,43.6,0.0
191010,44.1,0.5
191011,43.4,-0.2
191012,43.3,-0.3
191101,43.4,-0.1
191102,44.0,0.4
191103,43.2,-0.4
191104,42.8,-0.8
191105,43.6,0.0
191106,43.8,0.2
191107,43.8,0.2
191108,43.8,0.2
191109,43.8,0.2
191110,43.5,-0.1
191111,43.4,-0.2
191112,44.1,0.5
191201,42.9,-0.6
191202,42.0,-1.6
191203,41.2,-2.4
191204,41.3,-2.3
191205,40.9,-2.7
191206,40.5,-3.1
191207,40.3,-3.3
191208,40.1,-3.5
191209,40.3,-3.3
191210,40.6,-3.0
191211,41.0,-2.6
191212,40.9,-2.7
191301,42.3,-1.2
191302,42.5,-1.1
191303,43.0,-0.6
191304,43.1,-0.5
191305,43.0,-0.6
191306,43.3,-0.3
191307,43.3,-0.3
191308,43.8,0.2
191309,43.6,0.0
191310,43.5,-0.1
191311,43.8,0.2
191312,44.1,0.5
191401,44.2,0.7
191402,43.9,0.3
191403,43.9,0.3
191404,43.7,0.1
191405,43.9,0.3
191406,43.7,0.1
191407,43.9,0.3
191408,43.7,0.1
191409,43.7,0.1
191410,44.1,0.5
191411,43.7,0.1
191412,42.8,-0.8
191501,42.3,-1.2
191502,43.5,-0.1
191503,43.5,-0.1
191504,44.2,0.6
191505,43.6,0.0
191506,43.3,-0.3
191507,42.9,-0.7
191508,42.6,-1.0
191509,42.7,-0.9
191510,42.3,-1.3
191511,42.5,-1.1
191512,42.8,-0.8
191601,43.2,-0.3
191602,42.4,-1.2
191603,42.1,-1.5
191604,41.5,-2.1
191605,41.8,-1.8
191606,41.8,-1.8
191607,42.5,-1.1
191608,43.1,-0.5
191609,42.9,-0.7
191610,42.8,-0.8
191611,42.5,-1.1
191612,42.3,-1.3
191701,41.7,-1.8
191702,41.2,-2.4
191703,41.7,-1.9
191704,41.5,-2.1
191705,41.0,-2.6
191706,41.0,-2.6
191707,40.5,-3.1
191708,40.1,-3.5
191709,40.0,-3.6
191710,39.4,-4.2
191711,39.3,-4.3
191712,39.0,-4.6
191801,38.3,-5.2
191802,38.8,-4.8
191803,39.2,-4.4
191804,39.3,-4.3
191805,40.1,-3.5
191806,40.4,-3.2
191807,40.3,-3.3
191808,40.7,-2.9
191809,40.3,-3.3
191810,41.2,-2.4
191811,41.5,-2.1
191812,42.6,-1.0
191901,44.0,0.5
191902,44.6,1.0
191903,44.5,0.9
191904,44.6,1.0
191905,44.2,0.6
191906,44.9,1.3
191907,45.2,1.6
191908,45.0,1.4
191909,45.7,2.1
191910,45.6,2.0
191911,45.2,1.6
191912,44.1,0.5
192001,42.9,-0.6
192002,42.3,-1.3
192003,42.2,-1.4
192004,41.8,-1.8
192005,41.7,-1.9
192006,41.3,-2.3
192007,40.8,-2.8
192008,40.8,-2.8
192009,40.8,-2.8
192010,41.3,-2.3
192011,41.4,-2.2
192012,42.4,-1.2
192101,43.6,0.1
192102,44.3,0.7
192103,44.7,1.1
192104,45.7,2.1
192105,46.1,2.5
192106,46.4,2.8
192107,47.3,3.7
192108,47.4,3.8
192109,47.6,4.0
192110,47.1,3.5
192111,46.9,3.3
192112,46.7,3.1
192201,46.1,2.6
192202,45.7,2.1
192203,45.4,1.8
192204,44.9,1.3
192205,45.1,1.5
192206,44.8,1.2
192207,44.1,0.5
192208,44.1,0.5
192209,43.9,0.3
192210,43.9,0.3
192211,44.4,0.8
192212,44.2,0.6
192301,44.4,0.9
192302,43.9,0.3
192303,43.2,-0.4
192304,42.9,-0.7
192305,42.3,-1.3
192306,42.4,-1.2
192307,42.6,-1.0
192308,42.3,-1.3
192309,42.1,-1.5
192310,41.8,-1.8
192311,41.7,-1.9
192312,42.5,-1.1
192401,42.1,-1.4
192402,42.5,-1.1
192403,42.9,-0.7
192404,43.1,-0.5
192405,42.7,-0.9
192406,42.2,-1.4
192407,41.9,-1.7
192408,42.0,-1.6
192409,41.6,-2.0
192410,42.1,-1.5
192411,42.0,-1.6
192412,40.8,-2.8
192501,41.0,-2.5
192502,41.4,-2.2
192503,41.7,-1.9
192504,42.1,-1.5
