#  Minnesota 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189512,38.6,-1.5
189601,39.4,-0.7
189602,40.1,0.0
189603,39.7,-0.4
189604,39.2,-0.9
189605,39.5,-0.6
189606,39.7,-0.4
189607,39.8,-0.3
189608,39.8,-0.3
189609,39.3,-0.8
189610,39.4,-0.7
189611,38.6,-1.5
189612,38.7,-1.4
189701,38.3,-1.8
189702,38.0,-2.1
189703,38.0,-2.1
189704,38.0,-2.1
189705,37.5,-2.6
189706,37.1,-3.0
189707,37.4,-2.7
189708,37.2,-2.9
189709,38.0,-2.1
189710,38.6,-1.5
189711,39.3,-0.8
189712,38.6,-1.5
189801,39.5,-0.6
189802,39.6,-0.5
189803,40.4,0.3
189804,40.4,0.3
189805,40.3,0.2
189806,40.6,0.5
189807,40.4,0.3
189808,40.5,0.4
189809,40.1,0.0
189810,39.5,-0.6
189811,39.6,-0.5
189812,39.6,-0.5
189901,38.8,-1.3
189902,37.8,-2.3
189903,36.4,-3.7
189904,36.4,-3.7
189905,36.4,-3.7
189906,36.4,-3.7
189907,36.4,-3.7
189908,36.6,-3.5
189909,36.3,-3.8
189910,36.8,-3.3
189911,37.8,-2.3
189912,38.3,-1.8
190001,39.2,-0.9
190002,39.4,-0.7
190003,40.2,0.1
190004,40.8,0.7
190005,41.2,1.1
190006,41.2,1.1
190007,41.1,1.0
190008,41.5,1.4
190009,41.7,1.6
190010,42.3,2.2
190011,41.1,1.0
190012,41.2,1.1
190101,40.7,0.6
190102,41.0,0.9
190103,41.3,1.2
190104,41.0,0.9
190105,40.9,0.8
190106,40.8,0.7
190107,41.3,1.2
190108,40.9,0.8
190109,40.8,0.7
190110,40.3,0.2
190111,40.5,0.4
190112,40.1,0.0
190201,40.4,0.3
190202,40.9,0.8
190203,41.5,1.4
190204,41.1,1.0
190205,41.1,1.0
190206,40.8,0.7
190207,40.4,0.3
190208,40.1,0.0
190209,39.9,-0.2
190210,39.7,-0.4
190211,40.1,0.0
190212,40.1,0.0
190301,39.7,-0.4
190302,39.3,-0.8
190303,38.9,-1.2
190304,39.1,-1.0
190305,39.0,-1.1
190306,39.1,-1.0
190307,38.9,-1.2
190308,38.7,-1.4
190309,38.7,-1.4
190310,38.8,-1.3
190311,38.3,-1.8
190312,38.0,-2.1
190401,37.5,-2.6
190402,36.8,-3.3
190403,36.3,-3.8
190404,35.9,-4.2
190405,35.8,-4.3
190406,35.8,-4.3
190407,35.7,-4.4
190408,35.9,-4.2
190409,36.0,-4.1
190410,35.9,-4.2
190411,36.7,-3.4
190412,37.3,-2.8
190501,37.2,-2.9
190502,37.9,-2.2
190503,38.6,-1.5
190504,38.8,-1.3
190505,38.5,-1.6
190506,38.5,-1.6
190507,38.6,-1.5
190508,39.0,-1.1
190509,39.4,-0.7
190510,39.1,-1.0
190511,38.8,-1.3
190512,39.1,-1.0
190601,40.1,0.0
190602,40.4,0.3
190603,39.4,-0.7
190604,40.0,-0.1
190605,40.1,0.0
190606,40.2,0.1
190607,40.2,0.1
190608,40.2,0.1
190609,40.3,0.2
190610,40.5,0.4
190611,40.3,0.2
190612,39.9,-0.2
190701,38.8,-1.3
190702,38.9,-1.2
190703,39.5,-0.6
190704,38.3,-1.8
190705,37.7,-2.4
190706,37.7,-2.4
190707,37.7,-2.4
190708,37.5,-2.6
190709,36.9,-3.2
190710,36.9,-3.2
190711,37.0,-3.1
190712,37.5,-2.6
190801,38.7,-1.4
190802,39.0,-1.1
190803,38.8,-1.3
190804,39.8,-0.3
190805,40.5,0.4
190806,40.4,0.3
190807,40.6,0.5
190808,40.5,0.4
190809,41.2,1.1
190810,41.3,1.2
190811,41.5,1.4
190812,41.1,1.0
190901,40.6,0.5
190902,40.2,0.1
190903,40.2,0.1
190904,39.4,-0.7
190905,39.3,-0.8
190906,39.5,-0.6
190907,39.4,-0.7
190908,39.9,-0.2
190909,39.5,-0.6
190910,39.3,-0.8
190911,39.3,-0.8
190912,38.7,-1.4
191001,38.9,-1.2
191002,38.4,-1.7
191003,39.8,-0.3
191004,40.8,0.7
191005,40.7,0.6
191006,40.9,0.8
191007,41.1,1.0
191008,40.7,0.6
191009,40.6,0.5
191010,41.1,1.0
191011,40.5,0.4
191012,40.8,0.7
191101,40.2,0.1
191102,40.9,0.8
191103,40.2,0.1
191104,39.8,-0.3
191105,40.4,0.3
191106,40.6,0.5
191107,40.4,0.3
191108,40.3,0.2
191109,40.1,0.0
191110,39.6,-0.5
191111,39.1,-1.0
191112,39.6,-0.5
191201,38.7,-1.4
191202,38.2,-1.9
191203,37.2,-2.9
191204,37.4,-2.7
191205,37.1,-3.0
191206,36.5,-3.6
191207,36.5,-3.6
191208,36.5,-3.6
191209,36.5,-3.6
191210,36.8,-3.3
191211,38.0,-2.1
191212,38.0,-2.1
191301,39.2,-0.9
191302,39.0,-1.1
191303,39.0,-1.1
191304,39.1,-1.0
191305,38.8,-1.3
191306,39.2,-0.9
191307,39.1,-1.0
191308,39.6,-0.5
191309,39.7,-0.4
191310,39.3,-0.8
191311,39.5,-0.6
191312,40.0,-0.1
191401,40.8,0.7
191402,40.3,0.2
191403,40.9,0.8
191404,40.4,0.3
191405,40.8,0.7
191406,40.6,0.5
191407,41.1,1.0
191408,40.8,0.7
191409,40.9,0.8
191410,41.7,1.6
191411,41.3,1.2
191412,39.9,-0.2
191501,39.2,-0.9
191502,40.8,0.7
191503,40.7,0.6
191504,41.7,1.6
191505,41.2,1.1
191506,40.7,0.6
191507,40.1,0.0
191508,39.9,-0.2
191509,39.8,-0.3
191510,39.5,-0.6
191511,39.4,-0.7
191512,40.2,0.1
191601,39.8,-0.3
191602,38.6,-1.5
191603,38.2,-1.9
191604,37.3,-2.8
191605,37.4,-2.7
191606,37.5,-2.6
191607,38.4,-1.7
191608,38.7,-1.4
191609,38.6,-1.5
191610,38.2,-1.9
191611,38.1,-2.0
191612,37.2,-2.9
191701,37.1,-3.0
191702,36.7,-3.4
191703,36.9,-3.2
191704,36.7,-3.4
191705,36.6,-3.5
191706,36.7,-3.4
191707,36.3,-3.8
191708,36.0,-4.1
191709,36.1,-4.0
191710,35.5,-4.6
191711,35.9,-4.2
191712,35.7,-4.4
191801,35.5,-4.6
191802,36.4,-3.7
191803,37.3,-2.8
191804,37.5,-2.6
191805,37.9,-2.2
191806,38.2,-1.9
191807,37.9,-2.2
191808,38.2,-1.9
191809,37.8,-2.3
191810,38.8,-1.3
191811,38.7,-1.4
191812,40.1,0.0
191901,41.6,1.5
191902,41.7,1.6
191903,40.9,0.8
191904,41.0,0.9
191905,41.0,0.9
191906,41.3,1.2
191907,41.6,1.5
191908,41.5,1.4
191909,42.1,2.0
191910,41.5,1.4
191911,40.5,0.4
191912,39.2,-0.9
192001,38.0,-2.1
192002,38.0,-2.1
192003,38.1,-2.0
192004,37.5,-2.6
192005,37.4,-2.7
192006,37.2,-2.9
192007,36.9,-3.2
192008,36.9,-3.2
192009,37.0,-3.1
192010,38.1,-2.0
192011,38.7,-1.4
192012,39.7,-0.4
192101,40.8,0.7
192102,41.5,1.4
192103,41.6,1.5
192104,42.5,2.4
192105,42.6,2.5
192106,43.1,3.0
192107,43.6,3.5
192108,43.6,3.5
192109,43.5,3.4
192110,43.1,3.0
192111,42.6,2.5
192112,42.5,2.4
192201,41.8,1.7
192202,40.7,0.6
192203,40.7,0.6
192204,40.4,0.3
192205,40.7,0.6
192206,40.4,0.3
192207,39.8,-0.3
192208,40.0,-0.1
192209,40.2,0.1
192210,40.3,0.2
192211,41.3,1.2
192212,40.9,0.8
192301,41.1,1.0
192302,41.0,0.9
192303,40.1,0.0
192304,39.9,-0.2
192305,39.5,-0.6
192306,39.7,-0.4
192307,40.1,0.0
192308,39.7,-0.4
192309,39.5,-0.6
192310,39.2,-0.9
192311,39.3,-0.8
192312,40.4,0.3
192401,39.6,-0.5
192402,40.6,0.5
192403,41.5,1.4
192404,41.5,1.4
192405,40.9,0.8
192406,40.3,0.2
192407,39.7,-0.4
192408,39.8,-0.3
192409,39.4,-0.7
192410,40.0,-0.1
192411,39.4,-0.7
192412,37.7,-2.4
192501,38.2,-1.9
192502,38.0,-2.1
192503,38.3,-1.8
192504,38.9,-1.2
192505,39.3,-0.8
192506,39.5,-0.6
192507,39.6,-0.5
192508,40.0,-0.1
192509,40.5,0.4
192510,39.0,-1.1
192511,39.0,-1.1
192512,39.8,-0.3
192601,40.2,0.1
192602,40.4,0.3
192603,39.8,-0.3
192604,39.2,-0.9
192605,39.7,-0.4
192606,39.4,-0.7
192607,39.6,-0.5
192608,39.4,-0.7
192609,38.8,-1.3
192610,39.5,-0.6
192611,39.0,-1.1
192612,38.8,-1.3
192701,38.5,-1.6
192702,38.3,-1.8
192703,39.0,-1.1
192704,39.2,-0.9
192705,38.5,-1.6
192706,38.6,-1.5
192707,38.4,-1.7
192708,38.1,-2.0
192709,38.6,-1.5
192710,39.0,-1.1
192711,39.1,-1.0
192712,38.6,-1.5
192801,38.8,-1.3
192802,38.8,-1.3
192803,38.5,-1.6
192804,38.0,-2.1
192805,38.6,-1.5
192806,38.4,-1.7
192807,38.6,-1.5
192808,38.9,-1.2
192809,38.5,-1.6
192810,38.3,-1.8
192811,39.0,-1.1
192812,40.5,0.4
192901,39.2,-0.9
192902,38.2,-1.9
192903,38.5,-1.6
192904,39.0,-1.1
192905,38.4,-1.7
192906,38.7,-1.4
192907,38.8,-1.3
192908,38.9,-1.2
192909,38.9,-1.2
192910,39.0,-1.1
192911,38.3,-1.8
192912,37.5,-2.6
193001,37.9,-2.2
193002,39.3,-0.8
193003,39.1,-1.0
193004,39.2,-0.9
193005,39.5,-0.6
193006,39.7,-0.4
193007,39.9,-0.2
193008,40.1,0.0
193009,40.3,0.2
193010,40.1,0.0
193011,40.7,0.6
193012,41.2,1.1
193101,42.8,2.7
193102,43.2,3.1
193103,43.2,3.1
193104,43.2,3.1
193105,43.1,3.0
193106,43.5,3.4
193107,43.5,3.4
193108,43.2,3.1
193109,43.7,3.6
193110,44.3,4.2
193111,44.6,4.5
193112,45.0,4.9
193201,44.5,4.4
193202,43.5,3.4
193203,42.7,2.6
193204,42.5,2.4
193205,42.8,2.7
193206,42.7,2.6
193207,42.6,2.5
193208,42.7,2.6
193209,42.1,2.0
193210,41.4,1.3
193211,40.6,0.5
193212,39.6,-0.5
193301,39.8,-0.3
193302,39.3,-0.8
193303,39.9,-0.2
193304,39.8,-0.3
193305,39.7,-0.4
193306,40.1,0.0
193307,40.2,0.1
193308,40.1,0.0
193309,40.6,0.5
193310,40.5,0.4
193311,40.6,0.5
193312,40.4,0.3
193401,40.3,0.2
193402,40.7,0.6
193403,40.5,0.4
193404,40.6,0.5
193405,41.2,1.1
193406,40.8,0.7
193407,40.7,0.6
193408,40.6,0.5
193409,39.9,-0.2
193410,40.5,0.4
193411,41.3,1.2
193412,41.4,1.3
193501,40.5,0.4
193502,41.2,1.1
193503,41.6,1.5
193504,41.4,1.3
193505,40.4,0.3
193506,39.9,-0.2
193507,40.2,0.1
193508,40.4,0.3
193509,40.6,0.5
193510,40.2,0.1
193511,39.2,-0.9
193512,39.4,-0.7
193601,38.9,-1.2
193602,36.5,-3.6
193603,36.3,-3.8
193604,36.0,-4.1
193605,36.7,-3.4
193606,36.9,-3.2
193607,37.1,-3.0
193608,37.3,-2.8
193609,37.6,-2.5
193610,37.3,-2.8
193611,37.6,-2.5
193612,37.9,-2.2
193701,37.9,-2.2
193702,39.1,-1.0
193703,38.8,-1.3
193704,39.2,-0.9
193705,38.9,-1.2
193706,38.9,-1.2
193707,38.5,-1.6
193708,38.7,-1.4
193709,38.5,-1.6
193710,38.6,-1.5
193711,38.8,-1.3
193712,38.4,-1.7
193801,39.1,-1.0
193802,39.7,-0.4
193803,40.7,0.6
193804,40.9,0.8
193805,40.6,0.5
193806,40.7,0.6
193807,40.5,0.4
193808,40.4,0.3
193809,40.5,0.4
193810,41.2,1.1
193811,41.2,1.1
193812,41.6,1.5
193901,42.1,2.0
193902,41.2,1.1
193903,40.3,0.2
193904,40.1,0.0
193905,40.7,0.6
193906,40.7,0.6
193907,40.8,0.7
193908,40.6,0.5
193909,40.6,0.5
193910,39.9,-0.2
193911,40.6,0.5
193912,41.4,1.3
194001,40.6,0.5
194002,41.6,1.5
194003,41.4,1.3
194004,41.4,1.3
194005,40.8,0.7
194006,40.7,0.6
194007,40.7,0.6
194008,40.5,0.4
194009,40.7,0.6
194010,41.2,1.1
194011,40.4,0.3
194012,39.7,-0.4
194101,40.4,0.3
194102,40.0,-0.1
194103,40.3,0.2
194104,41.0,0.9
194105,41.6,1.5
194106,41.7,1.6
194107,41.7,1.6
194108,41.9,1.8
194109,41.7,1.6
194110,41.4,1.3
194111,42.0,1.9
194112,42.3,2.2
194201,42.7,2.6
194202,43.0,2.9
194203,43.6,3.5
194204,43.7,3.6
194205,43.0,2.9
194206,42.8,2.7
194207,42.5,2.4
194208,42.4,2.3
194209,42.0,1.9
194210,42.0,1.9
194211,41.7,1.6
194212,40.8,0.7
194301,39.6,-0.5
194302,39.4,-0.7
194303,38.3,-1.8
194304,37.8,-2.3
194305,37.8,-2.3
194306,38.0,-2.1
194307,38.3,-1.8
194308,38.4,-1.7
194309,38.5,-1.6
194310,38.5,-1.6
194311,38.3,-1.8
194312,39.0,-1.1
194401,40.7,0.6
194402,40.8,0.7
194403,41.0,0.9
194404,40.8,0.7
194405,41.3,1.2
194406,41.3,1.2
194407,41.0,0.9
194408,40.9,0.8
194409,41.1,1.0
194410,41.2,1.1
194411,41.8,1.7
194412,41.5,1.4
194501,40.5,0.4
194502,40.5,0.4
194503,41.7,1.6
194504,41.7,1.6
194505,41.0,0.9
194506,40.5,0.4
194507,40.4,0.3
194508,40.4,0.3
194509,40.3,0.2
194510,40.0,-0.1
194511,39.5,-0.6
194512,38.9,-1.2
194601,39.0,-1.1
194602,38.6,-1.5
194603,38.8,-1.3
194604,39.4,-0.7
194605,39.6,-0.5
194606,40.0,-0.1
194607,40.2,0.1
194608,40.0,-0.1
194609,40.1,0.0
194610,40.1,0.0
194611,40.2,0.1
194612,40.7,0.6
194701,41.1,1.0
194702,41.0,0.9
194703,39.9,-0.2
194704,39.2,-0.9
194705,39.1,-1.0
194706,38.8,-1.3
194707,38.8,-1.3
194708,39.5,-0.6
194709,39.6,-0.5
194710,40.4,0.3
194711,39.9,-0.2
194712,39.8,-0.3
194801,38.9,-1.2
194802,39.0,-1.1
194803,38.8,-1.3
194804,39.3,-0.8
