#  Missouri 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189512,52.9,-1.6
189601,53.6,-0.9
189602,54.6,0.1
189603,54.2,-0.3
189604,54.5,0.0
189605,55.0,0.5
189606,54.9,0.4
189607,55.2,0.7
189608,55.3,0.8
189609,54.7,0.2
189610,55.0,0.5
189611,55.0,0.5
189612,55.4,0.9
189701,55.0,0.5
189702,54.9,0.4
189703,55.4,0.9
189704,54.7,0.2
189705,54.1,-0.4
189706,54.2,-0.3
189707,54.3,-0.2
189708,54.0,-0.5
189709,54.8,0.3
189710,55.5,1.0
189711,55.5,1.0
189712,54.7,0.2
189801,55.2,0.7
189802,55.3,0.8
189803,55.3,0.8
189804,55.1,0.6
189805,55.4,0.9
189806,55.6,1.1
189807,55.3,0.8
189808,55.5,1.0
189809,55.2,0.7
189810,54.4,-0.1
189811,54.2,-0.3
189812,54.1,-0.4
189901,53.8,-0.7
189902,52.5,-2.0
189903,51.9,-2.6
189904,52.0,-2.5
189905,52.2,-2.3
189906,52.1,-2.4
189907,52.0,-2.5
189908,52.3,-2.2
189909,52.0,-2.5
189910,52.7,-1.8
189911,53.4,-1.1
189912,53.6,-0.9
190001,53.9,-0.6
190002,54.4,-0.1
190003,54.7,0.2
190004,54.9,0.4
190005,54.8,0.3
190006,54.7,0.2
190007,54.8,0.3
190008,54.9,0.4
190009,55.2,0.7
190010,55.2,0.7
190011,54.7,0.2
190012,55.2,0.7
190101,55.2,0.7
190102,55.4,0.9
190103,55.5,1.0
190104,55.3,0.8
190105,55.1,0.6
190106,55.4,0.9
190107,56.1,1.6
190108,56.0,1.5
190109,55.8,1.3
190110,55.6,1.1
190111,55.5,1.0
190112,55.0,0.5
190201,54.6,0.1
190202,54.2,-0.3
190203,54.4,-0.1
190204,54.4,-0.1
190205,54.9,0.4
190206,54.3,-0.2
190207,53.7,-0.8
190208,53.4,-1.1
190209,52.9,-1.6
190210,52.8,-1.7
190211,53.4,-1.1
190212,53.6,-0.9
190301,53.7,-0.8
190302,54.2,-0.3
190303,54.3,-0.2
190304,54.4,-0.1
190305,54.1,-0.4
190306,53.7,-0.8
190307,53.8,-0.7
190308,53.7,-0.8
190309,54.0,-0.5
190310,53.8,-0.7
190311,53.0,-1.5
190312,53.0,-1.5
190401,52.6,-1.9
190402,52.7,-1.8
190403,52.5,-2.0
190404,52.0,-2.5
190405,51.8,-2.7
190406,52.1,-2.4
190407,51.9,-2.6
190408,51.8,-2.7
190409,52.0,-2.5
190410,52.1,-2.4
190411,52.5,-2.0
190412,52.7,-1.8
190501,52.3,-2.2
190502,51.5,-3.0
190503,51.9,-2.6
190504,52.4,-2.1
190505,52.6,-1.9
190506,53.0,-1.5
190507,52.9,-1.6
190508,53.1,-1.4
190509,53.1,-1.4
190510,52.9,-1.6
190511,52.9,-1.6
190512,52.9,-1.6
190601,53.9,-0.6
190602,54.8,0.3
190603,53.4,-1.1
190604,53.8,-0.7
190605,53.8,-0.7
190606,53.6,-0.9
190607,53.6,-0.9
190608,53.6,-0.9
190609,53.8,-0.7
190610,53.8,-0.7
190611,53.5,-1.0
190612,53.8,-0.7
190701,53.8,-0.7
190702,54.0,-0.5
190703,55.6,1.1
190704,54.7,0.2
190705,54.1,-0.4
190706,54.0,-0.5
190707,54.3,-0.2
190708,54.4,-0.1
190709,54.1,-0.4
190710,54.1,-0.4
190711,54.2,-0.3
190712,54.2,-0.3
190801,54.0,-0.5
190802,54.0,-0.5
190803,53.7,-0.8
190804,54.4,-0.1
190805,54.9,0.4
190806,55.0,0.5
190807,54.9,0.4
190808,54.8,0.3
190809,55.0,0.5
190810,54.9,0.4
190811,55.2,0.7
190812,55.3,0.8
190901,55.2,0.7
190902,55.5,1.0
190903,55.1,0.6
190904,54.9,0.4
190905,54.7,0.2
190906,54.8,0.3
190907,54.9,0.4
190908,55.2,0.7
190909,55.0,0.5
190910,55.1,0.6
190911,55.7,1.2
190912,54.6,0.1
191001,54.5,0.0
191002,53.8,-0.7
191003,54.8,0.3
191004,54.9,0.4
191005,54.7,0.2
191006,54.5,0.0
191007,54.5,0.0
191008,54.2,-0.3
191009,54.2,-0.3
191010,54.4,-0.1
191011,53.6,-0.9
191012,54.1,-0.4
191101,54.4,-0.1
191102,55.2,0.7
191103,54.4,-0.1
191104,54.3,-0.2
191105,55.0,0.5
191106,55.7,1.2
191107,55.8,1.3
191108,55.8,1.3
191109,56.2,1.7
191110,55.9,1.4
191111,55.7,1.2
191112,56.1,1.6
191201,54.8,0.3
191202,53.9,-0.6
191203,52.9,-1.6
191204,53.0,-1.5
191205,52.9,-1.6
191206,52.1,-2.4
191207,52.2,-2.3
191208,52.2,-2.3
191209,51.8,-2.7
191210,52.0,-2.5
191211,52.5,-2.0
191212,52.4,-2.1
191301,53.5,-1.0
191302,53.7,-0.8
191303,54.1,-0.4
191304,54.1,-0.4
191305,54.0,-0.5
191306,54.5,0.0
191307,54.6,0.1
191308,55.2,0.7
191309,55.2,0.7
191310,54.8,0.3
191311,55.3,0.8
191312,55.5,1.0
191401,55.9,1.4
191402,55.7,1.2
191403,55.9,1.4
191404,55.8,1.3
191405,55.9,1.4
191406,56.2,1.7
191407,56.2,1.7
191408,55.8,1.3
191409,55.9,1.4
191410,56.2,1.7
191411,56.0,1.5
191412,55.0,0.5
191501,54.3,-0.2
191502,55.2,0.7
191503,54.6,0.1
191504,55.1,0.6
191505,54.9,0.4
191506,54.2,-0.3
191507,53.7,-0.8
191508,53.0,-1.5
191509,53.1,-1.4
191510,53.1,-1.4
191511,53.2,-1.3
191512,53.9,-0.6
191601,54.1,-0.4
191602,53.5,-1.0
191603,54.3,-0.2
191604,53.7,-0.8
191605,53.8,-0.7
191606,53.8,-0.7
191607,54.3,-0.2
191608,55.1,0.6
191609,54.9,0.4
191610,54.8,0.3
191611,54.6,0.1
191612,54.3,-0.2
191701,54.5,0.0
191702,54.4,-0.1
191703,54.4,-0.1
191704,54.4,-0.1
191705,53.8,-0.7
191706,53.9,-0.6
191707,53.6,-0.9
191708,53.1,-1.4
191709,53.1,-1.4
191710,52.4,-2.1
191711,52.4,-2.1
191712,51.8,-2.7
191801,50.4,-4.1
191802,50.8,-3.7
191803,51.3,-3.2
191804,51.2,-3.3
191805,52.0,-2.5
191806,52.5,-2.0
191807,52.4,-2.1
191808,53.1,-1.4
191809,52.6,-1.9
191810,53.5,-1.0
191811,53.4,-1.1
191812,54.7,0.2
191901,56.2,1.7
191902,56.2,1.7
191903,55.8,1.3
191904,56.2,1.7
191905,55.6,1.1
191906,55.4,0.9
191907,55.6,1.1
191908,55.1,0.6
191909,55.9,1.4
191910,55.7,1.2
191911,55.6,1.1
191912,54.7,0.2
192001,54.2,-0.3
192002,54.2,-0.3
192003,54.1,-0.4
192004,53.7,-0.8
192005,53.8,-0.7
192006,53.6,-0.9
192007,53.4,-1.1
192008,53.2,-1.3
192009,53.1,-1.4
192010,53.3,-1.2
192011,53.2,-1.3
192012,53.7,-0.8
192101,54.5,0.0
192102,54.9,0.4
192103,55.6,1.1
192104,56.0,1.5
192105,56.2,1.7
192106,56.5,2.0
192107,56.8,2.3
192108,57.2,2.7
192109,57.4,2.9
192110,57.1,2.6
192111,57.5,3.0
192112,57.6,3.1
192201,56.9,2.4
192202,56.5,2.0
192203,55.8,1.3
