#  Montana 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189512,39.0,-2.1
189601,39.5,-1.6
189602,40.4,-0.7
189603,40.0,-1.1
189604,39.5,-1.6
189605,39.3,-1.8
189606,39.8,-1.3
189607,40.0,-1.1
189608,40.0,-1.1
189609,39.9,-1.3
189610,39.9,-1.2
189611,38.7,-2.4
189612,39.4,-1.7
189701,39.5,-1.6
189702,38.7,-2.4
189703,38.2,-2.9
189704,38.6,-2.5
189705,39.4,-1.7
189706,39.2,-1.9
189707,38.9,-2.2
189708,39.2,-1.9
189709,39.8,-1.4
189710,39.8,-1.3
189711,40.6,-0.5
189712,39.9,-1.2
189801,40.1,-1.0
189802,40.8,-0.3
189803,41.1,0.0
189804,41.0,-0.1
189805,40.3,-0.8
189806,40.3,-0.8
189807,40.4,-0.7
189808,40.5,-0.6
189809,40.2,-1.0
189810,39.7,-1.4
189811,39.9,-1.2
189812,39.8,-1.3
189901,39.6,-1.5
189902,38.0,-3.1
189903,37.7,-3.4
189904,37.4,-3.7
189905,37.1,-4.0
189906,37.0,-4.1
189907,37.1,-4.0
189908,36.6,-4.5
189909,36.8,-4.4
189910,37.0,-4.1
189911,37.9,-3.2
189912,38.1,-3.0
190001,38.9,-2.2
190002,39.7,-1.4
190003,40.9,-0.2
190004,41.6,0.5
190005,42.4,1.3
190006,43.1,2.0
190007,43.1,2.0
190008,43.2,2.1
190009,42.9,1.7
190010,43.2,2.1
190011,42.2,1.1
190012,42.9,1.8
190101,42.2,1.1
190102,42.2,1.1
190103,42.2,1.1
190104,41.8,0.7
190105,41.9,0.8
190106,41.0,-0.1
190107,41.3,0.2
190108,41.5,0.4
190109,41.3,0.1
190110,41.5,0.4
190111,42.2,1.1
190112,41.8,0.7
190201,41.9,0.8
190202,42.3,1.2
190203,42.1,1.0
190204,41.9,0.8
190205,41.5,0.4
190206,41.6,0.5
190207,41.1,0.0
190208,40.8,-0.3
190209,41.1,-0.1
190210,40.8,-0.3
190211,40.4,-0.7
190212,39.8,-1.3
190301,40.1,-1.0
190302,39.5,-1.6
190303,39.1,-2.0
190304,39.2,-1.9
190305,38.8,-2.3
190306,39.3,-1.8
190307,39.2,-1.9
190308,39.2,-1.9
190309,39.2,-2.0
190310,39.2,-1.9
190311,39.1,-2.0
190312,39.9,-1.2
190401,39.8,-1.3
190402,39.6,-1.5
190403,39.4,-1.7
190404,39.6,-1.5
190405,39.7,-1.4
