#  Nebraska 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189512,46.7,-1.7
189601,47.5,-0.9
189602,48.6,0.2
189603,48.1,-0.3
189604,47.9,-0.5
189605,48.1,-0.3
189606,48.3,-0.1
189607,48.5,0.1
189608,48.5,0.1
189609,47.9,-0.5
189610,48.0,-0.4
189611,47.3,-1.1
189612,47.9,-0.5
189701,47.3,-1.1
189702,46.9,-1.5
189703,47.2,-1.2
189704,46.8,-1.6
189705,46.6,-1.8
189706,46.5,-1.9
189707,46.6,-1.8
189708,46.5,-1.9
189709,47.4,-1.0
189710,47.8,-0.6
189711,48.5,0.1
189712,47.6,-0.8
189801,48.0,-0.4
189802,48.3,-0.1
189803,48.4,0.0
189804,48.5,0.1
189805,48.2,-0.2
189806,48.3,-0.1
189807,48.2,-0.2
189808,48.5,0.1
189809,47.9,-0.5
189810,47.3,-1.1
189811,47.1,-1.3
189812,47.1,-1.3
189901,46.8,-1.6
189902,45.2,-3.2
189903,44.5,-3.9
189904,44.5,-3.9
189905,44.7,-3.7
189906,44.6,-3.8
189907,44.6,-3.8
189908,44.6,-3.8
189909,44.7,-3.7
189910,45.2,-3.2
189911,46.2,-2.2
189912,46.4,-2.0
190001,47.0,-1.4
190002,47.8,-0.6
190003,48.6,0.2
190004,48.8,0.4
190005,49.2,0.8
190006,49.4,1.0
190007,49.4,1.0
190008,49.6,1.2
190009,49.6,1.2
190010,49.9,1.5
190011,49.2,0.8
190012,49.8,1.4
190101,49.5,1.1
190102,49.4,1.0
190103,49.4,1.0
190104,49.2,0.8
190105,49.0,0.6
190106,48.8,0.4
190107,49.4,1.0
190108,49.3,0.9
190109,49.1,0.7
190110,48.9,0.5
190111,49.3,0.9
190112,48.7,0.3
190201,48.5,0.1
190202,48.8,0.4
190203,49.0,0.6
190204,49.0,0.6
190205,49.2,0.8
190206,48.9,0.5
190207,48.2,-0.2
190208,47.9,-0.5
190209,47.7,-0.7
190210,47.7,-0.7
190211,47.6,-0.8
190212,47.3,-1.1
190301,47.5,-0.9
190302,47.1,-1.3
190303,46.8,-1.6
190304,46.8,-1.6
190305,46.5,-1.9
190306,46.3,-2.1
190307,46.4,-2.0
190308,46.3,-2.1
190309,46.4,-2.0
190310,46.3,-2.1
190311,46.2,-2.2
190312,46.8,-1.6
190401,46.5,-1.9
190402,47.0,-1.4
190403,47.2,-1.2
190404,47.0,-1.4
190405,47.1,-1.3
190406,47.2,-1.2
190407,47.1,-1.3
190408,47.1,-1.3
190409,47.3,-1.1
190410,47.4,-1.0
190411,47.8,-0.6
190412,47.8,-0.6
190501,47.3,-1.1
190502,46.6,-1.8
190503,47.0,-1.4
190504,47.0,-1.4
190505,46.7,-1.7
190506,46.9,-1.5
190507,46.9,-1.5
