#  Nevada 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189512,48.2,-1.3
189601,48.8,-0.7
189602,49.2,-0.3
189603,49.2,-0.3
189604,48.8,-0.7
189605,48.3,-1.2
189606,48.7,-0.8
189607,48.9,-0.6
189608,48.8,-0.7
189609,48.9,-0.6
189610,48.9,-0.6
189611,49.1,-0.4
189612,49.8,0.3
189701,49.5,0.0
189702,49.0,-0.5
189703,48.4,-1.1
189704,48.9,-0.6
189705,49.8,0.3
189706,49.4,-0.1
189707,49.1,-0.4
189708,49.3,-0.2
189709,49.4,-0.1
189710,49.1,-0.4
189711,49.3,-0.2
189712,48.7,-0.8
189801,47.9,-1.6
189802,48.5,-1.0
189803,48.8,-0.7
189804,49.1,-0.4
189805,48.5,-1.0
189806,48.7,-0.8
189807,48.9,-0.6
189808,48.9,-0.6
189809,49.0,-0.5
189810,49.0,-0.5
189811,48.7,-0.8
189812,48.5,-1.0
189901,49.4,-0.1
189902,49.2,-0.3
189903,49.6,0.1
189904,49.2,-0.3
189905,48.9,-0.6
189906,48.7,-0.8
189907,48.7,-0.8
189908,48.0,-1.5
189909,48.2,-1.3
189910,48.1,-1.4
189911,48.5,-1.0
189912,48.7,-0.8
190001,49.1,-0.4
190002,49.3,-0.2
190003,49.8,0.3
190004,49.5,0.0
190005,50.1,0.6
190006,50.5,1.0
190007,50.4,0.9
190008,50.6,1.1
190009,49.9,0.4
190010,50.0,0.5
190011,50.0,0.5
190012,50.4,0.9
190101,49.8,0.3
190102,49.5,0.0
190103,49.1,-0.4
190104,49.2,-0.3
190105,49.2,-0.3
190106,48.6,-0.9
190107,48.8,-0.7
190108,49.1,-0.4
190109,49.3,-0.2
190110,49.7,0.2
190111,49.8,0.3
190112,49.8,0.3
190201,49.7,0.2
190202,50.1,0.6
190203,49.7,0.2
190204,49.9,0.4
190205,49.6,0.1
190206,50.0,0.5
190207,49.6,0.1
190208,49.5,0.0
190209,49.7,0.2
190210,49.6,0.1
190211,49.0,-0.5
190212,48.9,-0.6
190301,49.2,-0.3
190302,47.8,-1.7
190303,48.0,-1.5
190304,47.9,-1.6
190305,47.9,-1.6
190306,47.9,-1.6
190307,47.8,-1.7
190308,48.0,-1.5
190309,47.8,-1.7
190310,47.8,-1.7
190311,48.3,-1.2
190312,48.1,-1.4
190401,47.8,-1.7
190402,49.1,-0.4
190403,49.3,-0.2
190404,49.4,-0.1
190405,49.6,0.1
190406,49.4,-0.1
190407,49.6,0.1
190408,49.6,0.1
190409,49.8,0.3
190410,49.6,0.1
190411,49.6,0.1
190412,49.7,0.2
190501,50.1,0.6
190502,50.0,0.5
190503,50.2,0.7
190504,50.2,0.7
190505,49.8,0.3
190506,49.6,0.1
190507,49.8,0.3
190508,49.8,0.3
190509,49.7,0.2
190510,49.6,0.1
190511,49.2,-0.3
190512,48.6,-0.9
190601,48.3,-1.2
190602,48.4,-1.1
190603,48.0,-1.5
190604,48.0,-1.5
190605,48.2,-1.3
190606,48.0,-1.5
190607,48.1,-1.4
190608,48.1,-1.4
190609,48.0,-1.5
190610,48.3,-1.2
190611,48.1,-1.4
190612,48.9,-0.6
190701,48.7,-0.8
190702,49.1,-0.4
190703,49.2,-0.3
190704,49.5,0.0
190705,49.4,-0.1
190706,49.2,-0.3
190707,48.8,-0.7
190708,48.5,-1.0
190709,48.4,-1.1
190710,48.5,-1.0
190711,48.8,-0.7
190712,48.9,-0.6
190801,49.4,-0.1
190802,48.8,-0.7
190803,48.9,-0.6
190804,48.9,-0.6
190805,48.6,-0.9
190806,48.8,-0.7
190807,49.2,-0.3
190808,49.4,-0.1
190809,49.5,0.0
190810,49.0,-0.5
190811,49.0,-0.5
190812,48.5,-1.0
190901,48.8,-0.7
190902,48.8,-0.7
190903,48.6,-0.9
190904,48.4,-1.1
190905,48.7,-0.8
190906,49.2,-0.3
190907,48.9,-0.6
190908,49.0,-0.5
190909,49.1,-0.4
190910,49.4,-0.1
190911,49.5,0.0
190912,49.1,-0.4
191001,48.0,-1.5
191002,47.6,-1.9
191003,48.3,-1.2
191004,48.6,-0.9
191005,49.1,-0.4
191006,49.0,-0.5
191007,49.2,-0.3
191008,49.2,-0.3
191009,49.3,-0.2
191010,49.4,-0.1
191011,49.5,0.0
191012,50.4,0.9
191101,51.1,1.6
191102,51.0,1.5
191103,50.6,1.1
191104,50.1,0.6
191105,49.5,0.0
191106,49.4,-0.1
191107,49.3,-0.2
191108,49.1,-0.4
191109,48.9,-0.6
191110,48.6,-0.9
191111,48.1,-1.4
191112,47.5,-2.0
191201,47.4,-2.1
191202,48.1,-1.4
191203,47.8,-1.7
191204,47.6,-1.9
191205,47.8,-1.7
191206,47.7,-1.8
191207,47.4,-2.1
191208,47.4,-2.1
191209,47.2,-2.3
191210,47.1,-2.4
191211,47.4,-2.1
191212,47.6,-1.9
191301,47.1,-2.4
191302,46.7,-2.8
191303,46.6,-2.9
191304,46.9,-2.6
191305,47.2,-2.3
191306,46.9,-2.6
191307,47.0,-2.5
191308,47.1,-2.4
191309,47.6,-1.9
191310,47.8,-1.7
191311,47.8,-1.7
191312,47.8,-1.7
191401,48.4,-1.1
191402,48.7,-0.8
191403,49.2,-0.3
191404,49.3,-0.2
191405,49.5,0.0
191406,49.5,0.0
191407,49.8,0.3
191408,49.9,0.4
191409,49.9,0.4
191410,50.1,0.6
191411,50.1,0.6
191412,49.7,0.2
191501,49.4,-0.1
191502,49.5,0.0
191503,49.4,-0.1
191504,49.5,0.0
191505,49.0,-0.5
191506,49.1,-0.4
191507,48.9,-0.6
191508,49.0,-0.5
191509,49.0,-0.5
191510,49.1,-0.4
191511,48.9,-0.6
191512,49.6,0.1
191601,49.2,-0.3
191602,49.2,-0.3
191603,49.4,-0.1
191604,49.3,-0.2
191605,49.3,-0.2
191606,49.4,-0.1
191607,49.4,-0.1
191608,49.0,-0.5
191609,49.1,-0.4
191610,48.4,-1.1
191611,48.1,-1.4
191612,47.7,-1.8
191701,47.2,-2.3
191702,46.7,-2.8
191703,45.7,-3.8
191704,45.3,-4.2
191705,45.1,-4.4
191706,45.2,-4.3
191707,45.6,-3.9
191708,45.9,-3.6
191709,46.0,-3.5
191710,46.6,-2.9
191711,47.2,-2.3
191712,48.1,-1.4
191801,49.3,-0.2
191802,49.5,0.0
191803,50.3,0.8
191804,50.5,1.0
191805,50.7,1.2
191806,51.3,1.8
191807,51.0,1.5
191808,50.7,1.2
191809,50.8,1.3
191810,50.7,1.2
191811,50.2,0.7
191812,49.4,-0.1
191901,49.3,-0.2
191902,49.2,-0.3
191903,48.9,-0.6
191904,49.2,-0.3
191905,49.7,0.2
191906,49.2,-0.3
191907,49.5,0.0
191908,49.9,0.4
191909,49.9,0.4
191910,49.1,-0.4
191911,49.2,-0.3
191912,49.2,-0.3
192001,49.5,0.0
192002,49.8,0.3
192003,49.9,0.4
192004,49.4,-0.1
192005,49.0,-0.5
192006,48.8,-0.7
192007,48.6,-0.9
192008,48.4,-1.1
192009,48.3,-1.2
192010,48.6,-0.9
192011,48.7,-0.8
192012,48.9,-0.6
192101,48.8,-0.7
192102,48.9,-0.6
192103,49.4,-0.1
192104,49.6,0.1
192105,49.4,-0.1
192106,49.7,0.2
192107,49.8,0.3
192108,50.0,0.5
192109,49.9,0.4
192110,50.5,1.0
192111,50.9,1.4
192112,51.2,1.7
192201,50.3,0.8
192202,49.7,0.2
192203,48.9,-0.6
192204,48.6,-0.9
192205,48.7,-0.8
192206,48.8,-0.7
192207,48.7,-0.8
192208,48.6,-0.9
192209,48.9,-0.6
192210,48.7,-0.8
192211,48.1,-1.4
192212,48.0,-1.5
192301,49.0,-0.5
192302,49.0,-0.5
192303,49.2,-0.3
192304,49.5,0.0
192305,49.6,0.1
192306,48.9,-0.6
192307,48.8,-0.7
192308,48.7,-0.8
192309,48.4,-1.1
192310,48.1,-1.4
192311,48.5,-1.0
192312,48.1,-1.4
192401,47.4,-2.1
192402,48.4,-1.1
192403,48.1,-1.4
192404,48.3,-1.2
192405,48.6,-0.9
192406,49.3,-0.2
192407,49.2,-0.3
192408,49.3,-0.2
192409,49.3,-0.2
192410,49.4,-0.1
192411,49.2,-0.3
192412,48.9,-0.6
192501,49.4,-0.1
192502,49.3,-0.2
192503,49.9,0.4
192504,49.9,0.4
192505,49.8,0.3
192506,49.6,0.1
192507,49.7,0.2
192508,49.6,0.1
192509,49.3,-0.2
192510,49.3,-0.2
192511,49.2,-0.3
192512,50.0,0.5
