#  New Hampshire 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189512,41.5,-0.8
189601,41.5,-0.8
189602,41.9,-0.4
189603,41.7,-0.7
189604,41.9,-0.5
189605,41.9,-0.5
189606,41.6,-0.8
189607,41.9,-0.4
189608,42.0,-0.4
189609,41.8,-0.5
189610,42.0,-0.3
189611,42.0,-0.3
189612,41.6,-0.7
189701,41.9,-0.4
189702,42.0,-0.3
189703,42.4,0.0
189704,42.3,-0.1
189705,42.1,-0.3
189706,41.8,-0.6
189707,41.9,-0.4
189708,41.8,-0.6
189709,41.8,-0.5
189710,42.0,-0.3
189711,41.6,-0.7
189712,41.9,-0.4
189801,41.7,-0.6
189802,41.9,-0.4
189803,42.4,0.0
189804,42.1,-0.3
189805,42.0,-0.4
189806,42.4,0.0
189807,42.2,-0.1
189808,42.5,0.1
189809,42.8,0.5
189810,42.9,0.6
189811,43.0,0.7
189812,42.8,0.5
189901,42.8,0.5
189902,42.3,0.0
189903,41.5,-0.9
189904,41.7,-0.7
189905,41.8,-0.6
189906,41.9,-0.5
189907,41.8,-0.5
189908,41.6,-0.8
189909,41.3,-1.0
189910,41.3,-1.0
189911,41.2,-1.1
189912,41.6,-0.7
190001,41.7,-0.6
190002,41.8,-0.5
190003,41.7,-0.7
190004,41.7,-0.7
190005,41.4,-1.0
190006,41.4,-1.0
190007,41.5,-0.8
190008,41.6,-0.8
190009,41.9,-0.4
190010,42.2,-0.1
190011,42.5,0.2
190012,42.0,-0.3
190101,41.9,-0.4
190102,41.5,-0.8
190103,41.9,-0.5
190104,42.1,-0.3
190105,42.4,0.0
190106,42.4,0.0
190107,42.5,0.2
190108,42.6,0.2
190109,42.5,0.2
190110,42.1,-0.2
190111,41.5,-0.8
190112,41.6,-0.7
190201,41.6,-0.7
190202,42.2,-0.1
190203,42.9,0.5
190204,42.8,0.4
190205,42.7,0.3
190206,42.3,-0.1
190207,41.8,-0.5
190208,41.4,-1.0
190209,41.4,-0.9
190210,41.3,-1.0
190211,42.1,-0.2
190212,41.7,-0.6
190301,41.9,-0.4
190302,42.0,-0.3
190303,42.1,-0.3
190304,42.0,-0.4
190305,42.3,-0.1
190306,42.2,-0.2
190307,42.3,0.0
190308,42.0,-0.4
190309,42.1,-0.2
190310,42.2,-0.1
190311,41.6,-0.7
190312,41.5,-0.8
190401,40.9,-1.4
190402,40.1,-2.2
190403,39.2,-3.2
190404,39.0,-3.4
190405,39.2,-3.2
190406,39.5,-2.9
190407,39.6,-2.7
190408,39.9,-2.5
190409,39.7,-2.6
190410,39.4,-2.9
190411,39.1,-3.2
190412,38.8,-3.5
190501,39.1,-3.2
190502,39.1,-3.2
190503,39.2,-3.2
190504,39.3,-3.1
190505,38.8,-3.6
190506,38.7,-3.7
190507,38.8,-3.5
190508,38.8,-3.6
190509,38.9,-3.4
190510,39.2,-3.1
190511,39.5,-2.8
190512,40.4,-1.9
190601,41.3,-1.0
190602,41.8,-0.5
190603,41.4,-1.0
190604,41.4,-1.0
190605,41.4,-1.0
190606,41.5,-0.9
190607,41.4,-0.9
190608,41.8,-0.6
190609,42.1,-0.2
190610,42.2,-0.1
190611,42.2,-0.1
190612,41.6,-0.7
190701,40.8,-1.5
190702,40.1,-2.2
190703,40.6,-1.8
190704,40.4,-2.0
190705,40.0,-2.4
190706,40.0,-2.4
190707,40.0,-2.3
190708,39.5,-2.9
190709,39.4,-2.9
190710,39.0,-3.3
190711,39.0,-3.3
190712,39.8,-2.5
190801,40.2,-2.1
190802,40.6,-1.7
190803,40.6,-1.8
190804,40.7,-1.7
190805,41.4,-1.0
190806,41.6,-0.8
190807,41.8,-0.5
190808,41.9,-0.5
190809,42.1,-0.2
190810,42.7,0.4
190811,42.7,0.4
190812,42.3,0.0
190901,42.3,0.0
190902,42.8,0.5
190903,42.6,0.2
190904,42.7,0.3
190905,42.3,-0.1
190906,42.3,-0.1
190907,41.9,-0.4
190908,41.9,-0.5
190909,41.6,-0.7
190910,41.3,-1.0
190911,41.6,-0.7
190912,41.6,-0.7
191001,41.7,-0.6
191002,41.4,-0.9
191003,42.0,-0.4
191004,42.5,0.1
191005,42.6,0.2
191006,42.4,0.0
191007,42.7,0.4
191008,42.7,0.3
191009,42.7,0.4
191010,42.8,0.5
191011,42.5,0.2
191012,42.1,-0.2
191101,42.0,-0.3
191102,41.8,-0.5
191103,41.0,-1.4
191104,40.4,-2.0
191105,41.0,-1.4
191106,41.0,-1.4
191107,41.2,-1.1
191108,41.3,-1.1
191109,41.2,-1.1
191110,41.0,-1.3
191111,41.0,-1.3
191112,42.0,-0.3
191201,41.2,-1.1
191202,41.2,-1.1
191203,41.3,-1.1
191204,41.5,-0.9
191205,41.0,-1.4
191206,40.9,-1.5
191207,40.7,-1.6
191208,40.4,-2.0
191209,40.4,-1.9
191210,40.7,-1.6
191211,41.0,-1.3
191212,40.8,-1.5
191301,42.3,0.0
191302,42.4,0.1
191303,43.0,0.6
191304,43.3,0.9
191305,43.0,0.6
191306,43.1,0.7
191307,43.1,0.8
191308,43.3,0.9
191309,43.3,1.0
191310,43.6,1.3
191311,43.7,1.4
191312,43.6,1.3
191401,42.7,0.4
191402,42.2,-0.1
191403,41.9,-0.5
191404,41.4,-1.0
191405,41.7,-0.7
191406,41.7,-0.7
191407,41.4,-0.9
191408,41.4,-1.0
191409,41.5,-0.8
191410,41.4,-0.9
191411,41.0,-1.3
191412,40.4,-1.9
191501,40.9,-1.4
191502,41.9,-0.4
191503,41.7,-0.7
191504,42.4,0.0
191505,42.0,-0.4
191506,42.0,-0.4
191507,42.1,-0.2
191508,42.0,-0.4
191509,42.3,0.0
191510,42.2,-0.1
191511,42.5,0.2
191512,42.8,0.5
191601,42.8,0.5
191602,42.2,-0.1
191603,41.8,-0.6
191604,41.3,-1.1
191605,41.6,-0.8
191606,41.4,-1.0
191607,41.7,-0.6
191608,42.0,-0.4
191609,41.7,-0.6
191610,41.6,-0.7
191611,41.3,-1.0
191612,41.1,-1.2
191701,40.8,-1.5
191702,40.6,-1.7
191703,41.1,-1.3
191704,40.9,-1.5
191705,40.3,-2.1
191706,40.5,-1.9
191707,40.5,-1.8
191708,40.5,-1.9
191709,40.3,-2.0
191710,40.0,-2.3
191711,39.8,-2.5
191712,38.9,-3.4
191801,38.1,-4.2
191802,38.1,-4.2
191803,38.1,-4.3
191804,38.4,-4.0
191805,39.5,-2.9
191806,39.2,-3.2
191807,39.1,-3.2
191808,39.0,-3.4
191809,39.0,-3.3
191810,39.3,-3.0
191811,39.8,-2.5
191812,41.0,-1.3
191901,42.1,-0.2
191902,42.7,0.4
191903,43.1,0.7
191904,43.1,0.7
191905,42.7,0.3
191906,43.4,1.0
191907,43.5,1.2
191908,43.2,0.8
191909,43.5,1.2
191910,43.4,1.1
191911,43.3,1.0
191912,42.7,0.4
192001,41.6,-0.7
192002,41.3,-1.0
192003,41.0,-1.4
192004,40.8,-1.6
192005,40.5,-1.9
192006,40.2,-2.2
192007,39.9,-2.4
192008,40.4,-2.0
192009,40.5,-1.8
192010,40.9,-1.4
192011,40.7,-1.6
192012,41.4,-0.9
192101,42.3,0.0
192102,42.6,0.3
192103,43.2,0.8
192104,44.0,1.6
192105,44.3,1.9
192106,44.4,2.0
192107,44.9,2.6
192108,44.5,2.1
192109,44.6,2.3
192110,44.1,1.8
192111,44.2,1.9
192112,43.7,1.4
192201,43.2,0.9
192202,43.0,0.7
192203,42.4,0.0
192204,41.9,-0.5
192205,42.0,-0.4
192206,42.1,-0.3
192207,41.7,-0.6
192208,41.8,-0.6
192209,41.7,-0.6
192210,41.7,-0.6
192211,42.0,-0.3
192212,42.0,-0.3
192301,42.0,-0.3
192302,41.4,-0.9
192303,40.8,-1.6
192304,40.6,-1.8
192305,40.3,-2.1
192306,40.3,-2.1
192307,40.0,-2.3
192308,39.8,-2.6
192309,39.8,-2.5
192310,39.9,-2.4
192311,39.9,-2.4
192312,40.8,-1.5
192401,41.3,-1.0
192402,41.5,-0.8
192403,42.0,-0.4
192404,42.0,-0.4
192405,41.9,-0.5
192406,41.6,-0.8
192407,41.8,-0.5
192408,42.0,-0.4
192409,41.7,-0.6
192410,41.6,-0.7
192411,41.6,-0.7
192412,40.7,-1.6
192501,40.1,-2.2
192502,41.1,-1.2
192503,41.4,-1.0
192504,41.7,-0.7
192505,41.7,-0.7
192506,42.1,-0.3
192507,41.9,-0.4
192508,41.9,-0.5
192509,42.1,-0.2
192510,41.4,-0.9
192511,41.3,-1.0
192512,41.6,-0.7
192601,42.1,-0.2
192602,41.3,-1.0
192603,40.4,-2.0
192604,39.8,-2.6
192605,39.8,-2.6
192606,39.3,-3.1
192607,39.4,-2.9
192608,39.4,-3.0
192609,39.3,-3.0
192610,39.8,-2.5
192611,39.8,-2.5
192612,39.3,-3.0
192701,39.4,-2.9
192702,39.8,-2.5
192703,40.6,-1.8
192704,41.1,-1.3
192705,41.1,-1.3
192706,41.1,-1.3
192707,41.2,-1.1
192708,41.0,-1.4
192709,41.0,-1.3
192710,41.5,-0.8
192711,41.9,-0.4
192712,42.6,0.3
192801,42.8,0.5
192802,42.5,0.2
192803,42.1,-0.3
192804,42.0,-0.4
192805,42.1,-0.3
192806,42.2,-0.2
192807,42.3,0.0
192808,42.8,0.4
192809,42.6,0.3
192810,42.5,0.2
192811,42.1,-0.2
192812,42.3,0.0
192901,41.9,-0.4
192902,41.9,-0.4
192903,42.3,-0.1
192904,42.5,0.1
192905,42.7,0.3
192906,43.0,0.6
192907,42.9,0.6
192908,42.4,0.0
192909,42.7,0.4
192910,42.5,0.2
192911,42.5,0.2
192912,42.0,-0.3
193001,42.3,0.0
193002,42.4,0.1
193003,42.2,-0.2
193004,42.1,-0.3
193005,42.2,-0.2
193006,42.5,0.1
193007,42.5,0.2
193008,42.6,0.2
193009,42.7,0.4
193010,42.7,0.4
193011,42.8,0.5
193012,43.0,0.7
193101,42.8,0.5
193102,42.7,0.4
193103,42.9,0.5
193104,43.2,0.8
193105,43.2,0.8
193106,42.8,0.4
193107,43.2,0.9
193108,43.3,0.9
193109,43.3,1.0
193110,43.6,1.3
193111,43.9,1.6
193112,44.1,1.8
193201,45.0,2.7
193202,45.0,2.7
193203,44.5,2.1
193204,44.2,1.8
193205,44.2,1.8
193206,44.2,1.8
193207,43.7,1.4
193208,43.9,1.5
193209,43.7,1.4
193210,43.7,1.4
193211,43.1,0.8
193212,43.2,0.9
193301,43.1,0.8
193302,43.4,1.1
193303,43.5,1.1
193304,43.5,1.1
193305,43.6,1.2
193306,43.8,1.4
193307,43.9,1.6
193308,43.8,1.4
193309,43.8,1.5
193310,43.5,1.2
193311,43.2,0.9
193312,42.3,0.0
193401,41.6,-0.7
193402,40.2,-2.1
193403,40.2,-2.2
193404,40.4,-2.0
193405,40.4,-2.0
193406,40.4,-2.0
193407,40.5,-1.8
193408,40.2,-2.2
193409,40.4,-1.9
193410,40.3,-2.0
193411,41.1,-1.2
193412,41.3,-1.0
193501,40.8,-1.5
193502,41.7,-0.6
193503,41.9,-0.5
193504,41.8,-0.6
193505,41.3,-1.1
193506,41.2,-1.2
193507,41.3,-1.0
193508,41.6,-0.8
193509,41.1,-1.2
193510,41.4,-0.9
193511,41.5,-0.8
193512,41.5,-0.8
193601,41.8,-0.5
