#  New Jersey 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189512,49.8,-1.7
189601,49.8,-1.6
189602,50.5,-1.0
189603,50.3,-1.2
189604,50.6,-0.9
189605,51.0,-0.5
189606,50.7,-0.8
189607,51.0,-0.5
189608,51.0,-0.5
189609,50.6,-0.9
189610,50.7,-0.8
189611,51.0,-0.5
189612,50.5,-1.0
189701,50.6,-0.8
189702,50.6,-0.9
189703,51.2,-0.3
189704,51.0,-0.5
189705,50.6,-0.9
189706,50.4,-1.1
189707,50.4,-1.1
189708,50.2,-1.3
189709,50.2,-1.3
189710,50.6,-0.9
189711,50.2,-1.3
189712,50.5,-1.0
189801,50.9,-0.5
189802,50.9,-0.6
189803,51.3,-0.2
189804,51.1,-0.4
189805,50.9,-0.6
189806,51.3,-0.2
189807,51.3,-0.2
189808,51.6,0.1
189809,51.9,0.4
189810,51.9,0.4
189811,51.8,0.3
189812,51.6,0.1
189901,51.4,0.0
189902,50.8,-0.7
189903,50.2,-1.3
189904,50.4,-1.1
189905,50.5,-1.0
189906,50.7,-0.8
189907,50.6,-0.9
189908,50.4,-1.1
189909,50.0,-1.5
189910,50.0,-1.5
189911,50.2,-1.3
189912,50.3,-1.2
190001,50.5,-0.9
190002,50.9,-0.6
190003,50.7,-0.8
190004,50.7,-0.8
190005,50.7,-0.8
190006,50.6,-0.9
190007,50.7,-0.8
190008,51.1,-0.4
190009,51.5,0.0
190010,51.8,0.3
190011,52.1,0.6
190012,51.9,0.4
190101,51.9,0.5
190102,51.4,-0.1
190103,51.8,0.3
190104,51.6,0.1
190105,51.4,-0.1
190106,51.4,-0.1
190107,51.5,0.0
190108,51.3,-0.2
190109,51.1,-0.4
190110,50.7,-0.8
190111,50.0,-1.5
190112,49.9,-1.6
190201,49.7,-1.7
190202,49.9,-1.6
190203,50.3,-1.2
190204,50.4,-1.1
190205,50.6,-0.9
190206,50.4,-1.1
190207,50.1,-1.4
190208,49.7,-1.8
190209,49.6,-1.9
190210,49.7,-1.8
190211,50.6,-0.9
190212,50.6,-0.9
190301,50.7,-0.7
190302,51.2,-0.3
190303,51.6,0.1
190304,51.6,0.1
190305,51.8,0.3
190306,51.5,0.0
190307,51.5,0.0
190308,51.4,-0.1
190309,51.4,-0.1
190310,51.4,-0.1
190311,50.6,-0.9
190312,50.3,-1.2
190401,49.8,-1.6
190402,49.0,-2.5
190403,48.1,-3.4
190404,47.8,-3.7
190405,47.8,-3.7
190406,48.2,-3.3
190407,48.1,-3.4
190408,48.3,-3.2
190409,48.3,-3.2
190410,47.9,-3.6
190411,48.0,-3.5
190412,47.8,-3.7
190501,48.2,-3.2
190502,48.1,-3.4
190503,48.3,-3.2
190504,48.6,-2.9
190505,48.4,-3.1
190506,48.4,-3.1
190507,48.6,-2.9
190508,48.6,-2.9
190509,48.7,-2.8
190510,49.0,-2.5
190511,49.1,-2.4
190512,49.8,-1.7
190601,50.6,-0.8
190602,51.2,-0.3
190603,50.7,-0.8
190604,50.9,-0.6
190605,50.9,-0.6
190606,51.1,-0.4
190607,51.0,-0.5
190608,51.3,-0.2
190609,51.6,0.1
190610,51.5,0.0
190611,51.7,0.2
190612,51.5,0.0
190701,51.1,-0.3
190702,50.5,-1.0
190703,51.0,-0.5
190704,50.5,-1.0
190705,50.0,-1.5
190706,49.5,-2.0
190707,49.5,-2.0
190708,49.1,-2.4
190709,49.0,-2.5
190710,48.6,-2.9
190711,48.6,-2.9
190712,48.8,-2.7
190801,48.8,-2.6
190802,49.1,-2.4
190803,49.2,-2.3
190804,49.7,-1.8
190805,50.3,-1.2
190806,50.7,-0.8
190807,50.9,-0.6
