#  New York 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189512,43.5,-1.0
189601,43.4,-1.1
189602,44.0,-0.5
189603,43.8,-0.7
189604,44.1,-0.4
189605,44.3,-0.2
189606,43.9,-0.6
189607,44.3,-0.2
189608,44.4,-0.1
189609,44.0,-0.5
189610,44.2,-0.3
189611,44.5,0.0
189612,44.1,-0.4
189701,44.2,-0.3
189702,44.4,-0.1
189703,45.0,0.5
189704,44.8,0.3
189705,44.3,-0.2
189706,44.1,-0.4
189707,44.3,-0.2
189708,44.0,-0.5
189709,44.1,-0.4
189710,44.5,0.0
189711,44.1,-0.4
189712,44.4,-0.1
189801,44.5,0.0
189802,44.6,0.1
189803,45.2,0.7
189804,45.0,0.5
189805,45.1,0.6
189806,45.5,1.0
189807,45.5,1.0
189808,45.8,1.3
189809,46.1,1.6
189810,46.1,1.6
189811,46.1,1.6
189812,46.0,1.5
189901,45.8,1.3
189902,45.3,0.8
189903,44.4,-0.1
189904,44.8,0.3
189905,44.8,0.3
189906,44.9,0.4
189907,44.7,0.2
189908,44.6,0.1
189909,44.3,-0.2
189910,44.4,-0.1
189911,44.5,0.0
189912,44.7,0.2
190001,44.9,0.4
190002,45.1,0.6
190003,44.7,0.2
190004,44.6,0.1
190005,44.4,-0.1
190006,44.4,-0.1
190007,44.5,0.0
190008,44.7,0.2
190009,45.0,0.5
190010,45.3,0.8
190011,45.4,0.9
190012,45.2,0.7
190101,45.1,0.6
190102,44.5,0.0
190103,45.0,0.5
190104,45.1,0.6
190105,45.1,0.6
190106,45.1,0.6
190107,45.3,0.8
190108,45.2,0.7
190109,44.9,0.4
190110,44.4,-0.1
190111,43.9,-0.6
190112,43.9,-0.6
190201,43.7,-0.8
190202,44.1,-0.4
190203,44.8,0.3
190204,44.8,0.3
190205,44.7,0.2
190206,44.2,-0.3
190207,43.8,-0.7
190208,43.5,-1.0
190209,43.5,-1.0
190210,43.4,-1.1
190211,44.3,-0.2
190212,44.1,-0.4
190301,44.3,-0.2
190302,44.8,0.3
190303,45.1,0.6
190304,45.0,0.5
190305,45.3,0.8
190306,45.2,0.7
190307,45.2,0.7
190308,44.9,0.4
190309,45.0,0.5
190310,45.1,0.6
190311,44.3,-0.2
190312,44.1,-0.4
190401,43.4,-1.1
190402,42.5,-2.0
190403,41.5,-3.0
190404,41.2,-3.3
190405,41.3,-3.2
190406,41.6,-2.9
190407,41.6,-2.9
190408,41.9,-2.6
190409,41.7,-2.8
190410,41.4,-3.1
190411,41.4,-3.1
190412,41.3,-3.2
190501,41.6,-2.9
190502,41.6,-2.9
190503,41.7,-2.8
190504,42.0,-2.5
190505,41.7,-2.8
190506,41.6,-2.9
190507,41.8,-2.7
190508,41.8,-2.7
190509,41.9,-2.6
190510,42.2,-2.3
190511,42.3,-2.2
190512,43.2,-1.3
190601,44.1,-0.4
190602,44.7,0.2
190603,44.3,-0.2
190604,44.4,-0.1
190605,44.4,-0.1
190606,44.5,0.0
190607,44.5,0.0
190608,44.8,0.3
190609,45.0,0.5
