#  North Carolina 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189512,56.9,-1.6
189601,56.9,-1.6
189602,57.8,-0.7
189603,57.8,-0.8
189604,58.3,-0.2
189605,59.0,0.5
189606,59.0,0.5
189607,59.1,0.6
189608,59.2,0.7
189609,58.9,0.4
189610,59.0,0.5
189611,59.4,0.9
189612,59.2,0.7
189701,59.1,0.6
189702,59.3,0.8
189703,59.7,1.1
189704,59.3,0.8
189705,58.6,0.1
189706,58.7,0.2
189707,58.7,0.2
189708,58.5,0.0
189709,58.5,0.0
189710,58.9,0.4
189711,58.6,0.1
189712,58.9,0.4
189801,59.5,1.0
189802,59.0,0.5
189803,59.2,0.6
189804,58.9,0.4
189805,59.3,0.8
189806,59.3,0.8
189807,59.3,0.8
189808,59.5,1.0
189809,59.6,1.1
189810,59.4,0.9
189811,59.1,0.6
189812,59.0,0.5
189901,58.7,0.2
189902,58.4,-0.1
189903,58.1,-0.5
189904,58.3,-0.2
189905,58.3,-0.2
189906,58.3,-0.2
189907,58.2,-0.3
189908,58.3,-0.2
189909,58.0,-0.5
189910,58.1,-0.4
189911,58.5,0.0
189912,58.4,-0.1
190001,58.4,-0.1
190002,58.6,0.1
190003,58.3,-0.3
190004,58.5,0.0
190005,58.3,-0.2
190006,58.2,-0.3
190007,58.5,0.0
190008,58.7,0.2
190009,59.1,0.6
190010,59.3,0.8
190011,59.4,0.9
190012,59.4,0.9
190101,59.4,0.9
190102,59.3,0.8
190103,59.5,0.9
190104,59.0,0.5
190105,59.0,0.5
190106,59.0,0.5
190107,58.9,0.4
190108,58.6,0.1
190109,58.2,-0.3
190110,57.7,-0.8
190111,57.0,-1.5
190112,56.9,-1.6
190201,56.7,-1.8
190202,56.5,-2.0
190203,56.5,-2.1
190204,56.8,-1.7
190205,57.0,-1.5
190206,57.1,-1.4
190207,57.1,-1.4
190208,57.0,-1.5
190209,56.9,-1.6
190210,57.1,-1.4
190211,58.0,-0.5
190212,58.2,-0.3
190301,58.4,-0.1
190302,59.2,0.7
190303,59.7,1.1
190304,59.7,1.2
190305,59.5,1.0
190306,59.2,0.7
190307,59.1,0.6
190308,59.2,0.7
190309,59.2,0.7
190310,59.0,0.5
190311,58.3,-0.2
190312,57.9,-0.6
190401,57.5,-1.0
190402,56.9,-1.6
190403,56.4,-2.2
190404,56.3,-2.2
190405,56.1,-2.4
190406,56.4,-2.1
190407,56.3,-2.2
190408,56.1,-2.4
190409,56.2,-2.3
190410,56.2,-2.3
190411,56.2,-2.3
190412,56.5,-2.0
190501,56.5,-2.0
190502,56.2,-2.3
190503,56.4,-2.2
190504,56.6,-1.9
190505,56.9,-1.6
190506,57.0,-1.5
190507,57.1,-1.4
190508,57.0,-1.5
190509,57.2,-1.3
190510,57.3,-1.2
190511,57.5,-1.0
190512,57.7,-0.8
190601,58.3,-0.2
190602,58.9,0.4
190603,58.4,-0.2
190604,58.5,0.0
190605,58.3,-0.2
190606,58.3,-0.2
190607,58.2,-0.3
190608,58.5,0.0
190609,58.6,0.1
190610,58.6,0.1
190611,58.6,0.1
190612,58.7,0.2
190701,59.0,0.5
190702,58.9,0.4
190703,59.7,1.1
190704,58.9,0.4
190705,58.8,0.3
190706,58.4,-0.1
190707,58.6,0.1
190708,58.4,-0.1
190709,58.2,-0.3
190710,58.0,-0.5
190711,57.9,-0.6
190712,57.8,-0.7
190801,57.1,-1.4
190802,57.1,-1.4
190803,57.1,-1.5
190804,57.9,-0.6
190805,58.1,-0.4
190806,58.4,-0.1
190807,58.3,-0.2
190808,58.3,-0.2
190809,57.9,-0.6
190810,58.1,-0.4
190811,58.4,-0.1
190812,58.6,0.1
190901,59.1,0.6
190902,59.9,1.4
190903,59.3,0.7
190904,59.1,0.6
190905,58.9,0.4
190906,59.1,0.6
190907,58.9,0.4
190908,58.9,0.4
190909,58.9,0.4
190910,58.6,0.1
190911,58.8,0.3
190912,58.2,-0.3
191001,57.8,-0.7
191002,57.2,-1.3
191003,57.8,-0.8
191004,57.8,-0.7
191005,57.8,-0.7
191006,57.4,-1.1
191007,57.6,-0.9
191008,57.7,-0.8
191009,58.0,-0.5
191010,58.5,0.0
191011,57.8,-0.7
191012,57.7,-0.8
191101,58.1,-0.4
191102,58.5,0.0
191103,57.9,-0.7
191104,57.6,-0.9
191105,58.0,-0.5
191106,58.4,-0.1
191107,58.4,-0.1
191108,58.6,0.1
191109,58.8,0.3
191110,58.8,0.3
191111,59.0,0.5
191112,59.8,1.3
191201,58.9,0.4
191202,58.2,-0.3
191203,58.2,-0.4
191204,58.6,0.1
191205,58.5,0.0
191206,58.2,-0.3
191207,58.1,-0.4
191208,58.0,-0.5
191209,57.9,-0.6
191210,57.8,-0.7
191211,57.8,-0.7
191212,57.8,-0.7
191301,59.0,0.5
191302,59.4,0.9
191303,59.9,1.3
191304,59.6,1.1
191305,59.6,1.1
191306,59.7,1.2
191307,59.9,1.4
191308,59.9,1.4
191309,59.4,0.9
191310,59.3,0.8
191311,59.4,0.9
191312,59.4,0.9
191401,58.9,0.4
191402,58.5,0.0
191403,57.8,-0.8
191404,57.9,-0.6
191405,57.9,-0.6
191406,58.2,-0.3
191407,58.1,-0.4
191408,58.2,-0.3
191409,58.2,-0.3
191410,58.3,-0.2
191411,58.2,-0.3
191412,57.8,-0.7
191501,57.6,-0.9
191502,58.1,-0.4
191503,57.9,-0.7
191504,57.9,-0.6
191505,57.9,-0.6
191506,57.5,-1.0
191507,57.5,-1.0
191508,57.4,-1.1
191509,57.8,-0.7
191510,57.9,-0.6
191511,58.2,-0.3
191512,58.2,-0.3
191601,58.6,0.1
191602,58.5,0.0
191603,59.0,0.4
191604,58.8,0.3
191605,59.0,0.5
191606,59.0,0.5
191607,58.9,0.4
191608,58.9,0.4
191609,58.6,0.1
191610,58.4,-0.1
191611,58.4,-0.1
191612,58.5,0.0
191701,58.3,-0.2
191702,58.2,-0.3
191703,58.3,-0.3
191704,58.6,0.1
191705,58.0,-0.5
191706,58.0,-0.5
191707,58.1,-0.4
191708,58.0,-0.5
191709,57.9,-0.6
191710,57.5,-1.0
191711,57.1,-1.4
191712,56.4,-2.1
191801,55.3,-3.2
191802,55.7,-2.8
191803,56.2,-2.4
191804,55.9,-2.6
191805,56.5,-2.0
191806,56.5,-2.0
191807,56.3,-2.2
191808,56.5,-2.0
191809,56.4,-2.1
191810,57.0,-1.5
191811,57.3,-1.2
191812,58.4,-0.1
191901,59.3,0.8
191902,58.9,0.4
191903,58.7,0.1
191904,58.8,0.3
191905,58.6,0.1
191906,58.6,0.1
191907,58.9,0.4
191908,58.7,0.2
191909,59.1,0.6
191910,59.6,1.1
191911,59.8,1.3
191912,59.3,0.8
192001,59.1,0.6
192002,58.9,0.4
192003,58.6,0.0
192004,58.6,0.1
192005,58.2,-0.3
192006,58.2,-0.3
192007,58.1,-0.4
192008,58.0,-0.5
192009,58.2,-0.3
192010,57.5,-1.0
192011,57.3,-1.2
192012,57.5,-1.0
192101,57.7,-0.8
192102,58.2,-0.3
192103,59.1,0.5
192104,59.3,0.8
192105,59.4,0.9
192106,59.6,1.1
192107,59.8,1.3
192108,59.9,1.4
192109,60.3,1.8
192110,60.1,1.6
192111,60.5,2.0
192112,60.7,2.2
192201,60.5,2.0
192202,60.7,2.2
192203,60.1,1.5
192204,60.1,1.6
192205,60.3,1.8
192206,60.3,1.8
192207,60.3,1.8
192208,60.1,1.6
192209,59.7,1.2
192210,59.8,1.3
192211,59.5,1.0
