#  North Dakota 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189512,37.2,-2.5
189601,37.9,-1.8
189602,38.5,-1.2
189603,37.8,-1.9
189604,37.0,-2.7
189605,37.3,-2.4
189606,37.7,-2.0
189607,37.8,-1.9
189608,37.7,-2.0
189609,37.4,-2.3
189610,37.3,-2.4
189611,36.2,-3.5
189612,36.4,-3.3
189701,36.3,-3.4
189702,35.7,-4.0
189703,35.3,-4.4
189704,35.4,-4.3
189705,35.4,-4.3
189706,35.2,-4.5
189707,35.3,-4.4
189708,35.3,-4.4
189709,36.2,-3.5
189710,36.7,-3.0
189711,37.8,-1.9
189712,37.4,-2.3
189801,38.3,-1.4
189802,38.8,-0.9
189803,39.6,-0.1
189804,39.6,-0.1
189805,39.4,-0.3
189806,39.4,-0.3
189807,39.3,-0.4
189808,39.5,-0.2
189809,38.9,-0.8
189810,38.2,-1.5
189811,38.4,-1.3
189812,38.5,-1.2
189901,37.7,-2.0
189902,36.5,-3.2
189903,35.4,-4.3
189904,35.1,-4.6
189905,34.9,-4.8
189906,34.9,-4.8
189907,35.0,-4.7
189908,34.8,-4.9
189909,34.8,-4.9
189910,35.0,-4.7
189911,36.2,-3.5
189912,36.3,-3.4
190001,37.2,-2.5
190002,37.5,-2.2
190003,38.6,-1.1
190004,39.6,-0.1
190005,40.3,0.6
190006,40.8,1.1
190007,40.7,1.0
190008,41.1,1.4
190009,41.1,1.4
190010,41.6,1.9
190011,40.2,0.5
190012,40.6,0.9
190101,40.0,0.3
190102,40.3,0.6
190103,40.7,1.0
190104,40.3,0.6
190105,40.4,0.7
190106,40.0,0.3
190107,40.3,0.6
190108,40.0,0.3
190109,39.9,0.2
190110,39.9,0.2
190111,40.5,0.8
190112,40.0,0.3
190201,40.4,0.7
190202,40.7,1.0
190203,40.7,1.0
190204,40.4,0.7
190205,40.0,0.3
190206,39.7,0.0
190207,39.3,-0.4
190208,39.1,-0.6
190209,39.1,-0.6
190210,38.7,-1.0
190211,38.7,-1.0
190212,38.2,-1.5
190301,38.0,-1.7
190302,37.4,-2.3
190303,37.0,-2.7
190304,37.2,-2.5
190305,36.9,-2.8
190306,37.3,-2.4
190307,37.2,-2.5
190308,37.1,-2.6
190309,36.9,-2.8
190310,37.2,-2.5
190311,37.0,-2.7
190312,37.5,-2.2
190401,36.9,-2.8
190402,36.5,-3.2
