#  Ohio 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189512,49.0,-1.4
189601,49.5,-0.9
189602,50.4,0.0
189603,50.1,-0.3
189604,50.6,0.2
189605,51.2,0.8
189606,51.0,0.6
189607,51.1,0.7
189608,51.0,0.6
189609,50.4,0.0
189610,50.6,0.2
189611,51.0,0.6
189612,50.9,0.5
189701,50.6,0.2
189702,50.8,0.4
189703,51.6,1.2
189704,50.9,0.5
189705,50.0,-0.4
189706,49.8,-0.6
189707,50.0,-0.4
189708,49.8,-0.6
189709,50.1,-0.3
189710,50.9,0.5
189711,50.6,0.2
189712,50.6,0.2
189801,51.2,0.8
189802,51.0,0.6
189803,51.2,0.8
189804,51.1,0.7
189805,51.5,1.1
189806,51.8,1.4
189807,51.8,1.4
189808,52.2,1.8
189809,52.3,1.9
189810,52.0,1.6
189811,51.7,1.3
189812,51.4,1.0
189901,51.0,0.6
189902,50.4,0.0
189903,49.7,-0.7
189904,50.3,-0.1
189905,50.4,0.0
189906,50.4,0.0
189907,50.3,-0.1
189908,50.3,-0.1
189909,50.0,-0.4
189910,50.3,-0.1
189911,50.7,0.3
189912,50.8,0.4
190001,51.1,0.7
190002,51.4,1.0
190003,51.1,0.7
190004,50.8,0.4
190005,50.7,0.3
190006,50.6,0.2
190007,50.6,0.2
190008,50.8,0.4
190009,51.3,0.9
190010,51.5,1.1
190011,51.3,0.9
190012,51.4,1.0
190101,51.3,0.9
190102,50.9,0.5
190103,51.4,1.0
190104,51.2,0.8
190105,50.9,0.5
190106,51.0,0.6
190107,51.3,0.9
190108,51.1,0.7
190109,50.7,0.3
190110,50.1,-0.3
190111,49.8,-0.6
190112,49.5,-0.9
190201,49.3,-1.1
190202,49.4,-1.0
190203,49.6,-0.8
190204,49.7,-0.7
190205,50.0,-0.4
190206,49.7,-0.7
190207,49.4,-1.0
190208,49.0,-1.4
190209,48.9,-1.5
190210,49.0,-1.4
190211,49.9,-0.5
190212,50.1,-0.3
190301,50.1,-0.3
190302,50.7,0.3
190303,51.2,0.8
190304,51.3,0.9
190305,51.4,1.0
190306,51.2,0.8
190307,51.1,0.7
190308,51.2,0.8
190309,51.4,1.0
190310,51.3,0.9
190311,50.4,0.0
190312,49.8,-0.6
190401,49.3,-1.1
190402,48.7,-1.7
190403,48.1,-2.3
190404,47.7,-2.7
190405,47.4,-3.0
190406,47.7,-2.7
190407,47.6,-2.8
190408,47.4,-3.0
190409,47.4,-3.0
190410,47.3,-3.1
190411,47.6,-2.8
190412,47.9,-2.5
190501,48.1,-2.3
190502,47.9,-2.5
190503,48.1,-2.3
190504,48.5,-1.9
190505,48.5,-1.9
190506,48.6,-1.8
190507,48.8,-1.6
190508,49.0,-1.4
190509,49.0,-1.4
190510,49.0,-1.4
190511,48.9,-1.5
190512,49.3,-1.1
190601,50.4,0.0
190602,51.0,0.6
190603,50.0,-0.4
190604,50.3,-0.1
190605,50.3,-0.1
190606,50.4,0.0
190607,50.3,-0.1
190608,50.5,0.1
190609,50.8,0.4
190610,50.8,0.4
190611,50.9,0.5
190612,50.9,0.5
190701,50.6,0.2
190702,50.6,0.2
190703,51.8,1.4
190704,51.0,0.6
190705,50.4,0.0
190706,50.0,-0.4
190707,50.1,-0.3
190708,49.6,-0.8
190709,49.4,-1.0
190710,49.1,-1.3
190711,48.9,-1.5
190712,48.9,-1.5
190801,48.7,-1.7
190802,48.8,-1.6
190803,48.6,-1.8
190804,49.3,-1.1
190805,49.9,-0.5
190806,50.2,-0.2
190807,50.4,0.0
190808,50.5,0.1
190809,50.7,0.3
190810,51.1,0.7
190811,51.3,0.9
190812,51.3,0.9
190901,51.6,1.2
190902,52.2,1.8
190903,51.7,1.3
190904,51.5,1.1
190905,51.2,0.8
190906,51.3,0.9
190907,51.0,0.6
190908,51.1,0.7
190909,50.7,0.3
190910,50.3,-0.1
190911,50.9,0.5
190912,50.2,-0.2
191001,49.8,-0.6
191002,49.1,-1.3
191003,50.0,-0.4
191004,50.2,-0.2
191005,49.9,-0.5
191006,49.6,-0.8
191007,49.9,-0.5
191008,49.8,-0.6
