#  Oklahoma 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189512,57.8,-1.9
189601,58.3,-1.4
189602,59.3,-0.4
189603,59.0,-0.7
189604,59.2,-0.5
189605,59.5,-0.2
189606,59.6,-0.1
189607,60.0,0.3
189608,60.2,0.5
189609,59.9,0.2
189610,60.2,0.5
189611,60.2,0.5
189612,60.6,0.9
189701,60.2,0.5
189702,60.2,0.5
189703,60.6,0.9
189704,60.1,0.4
189705,59.6,-0.1
189706,59.6,-0.1
189707,59.6,-0.1
189708,59.2,-0.5
189709,59.4,-0.3
189710,59.9,0.2
189711,60.1,0.4
189712,59.5,-0.2
189801,60.0,0.3
189802,60.2,0.5
189803,60.1,0.4
189804,60.0,0.3
189805,60.1,0.4
189806,60.1,0.4
189807,59.9,0.2
189808,59.9,0.2
189809,59.7,0.0
189810,59.2,-0.5
189811,58.9,-0.8
189812,58.7,-1.0
189901,58.4,-1.3
189902,57.1,-2.6
189903,56.9,-2.8
189904,56.9,-2.8
189905,57.1,-2.6
189906,57.1,-2.6
189907,57.0,-2.7
189908,57.5,-2.2
189909,57.4,-2.3
189910,57.9,-1.8
189911,58.5,-1.2
189912,58.8,-0.9
190001,59.2,-0.5
190002,60.0,0.3
190003,60.1,0.4
190004,60.3,0.6
190005,60.0,0.3
190006,60.1,0.4
190007,60.2,0.5
190008,59.9,0.2
190009,60.2,0.5
190010,60.2,0.5
190011,60.0,0.3
190012,60.3,0.6
190101,60.3,0.6
190102,60.3,0.6
190103,60.3,0.6
190104,60.1,0.4
190105,60.0,0.3
190106,60.2,0.5
190107,60.7,1.0
190108,60.7,1.0
190109,60.5,0.8
190110,60.5,0.8
190111,60.5,0.8
190112,60.1,0.4
190201,59.8,0.1
190202,59.7,0.0
190203,59.8,0.1
190204,60.1,0.4
190205,60.3,0.6
190206,60.1,0.4
190207,59.6,-0.1
190208,59.7,0.0
190209,59.2,-0.5
190210,59.0,-0.7
190211,59.1,-0.6
190212,59.1,-0.6
190301,59.2,-0.5
190302,59.2,-0.5
190303,59.1,-0.6
190304,59.0,-0.7
190305,58.5,-1.2
190306,58.0,-1.7
190307,58.1,-1.6
190308,57.9,-1.8
190309,58.1,-1.6
190310,58.0,-1.7
190311,57.5,-2.2
190312,57.8,-1.9
190401,57.6,-2.1
190402,58.3,-1.4
190403,58.9,-0.8
190404,58.7,-1.0
190405,58.8,-0.9
190406,59.2,-0.5
190407,59.1,-0.6
190408,59.0,-0.7
190409,59.2,-0.5
190410,59.4,-0.3
190411,59.7,0.0
190412,59.7,0.0
190501,59.1,-0.6
190502,57.8,-1.9
190503,57.8,-1.9
190504,57.8,-1.9
190505,58.0,-1.7
190506,58.3,-1.4
190507,58.1,-1.6
190508,58.2,-1.5
190509,58.2,-1.5
190510,57.9,-1.8
190511,57.9,-1.8
190512,57.8,-1.9
190601,58.7,-1.0
190602,59.8,0.1
190603,58.6,-1.1
190604,58.9,-0.8
190605,58.9,-0.8
190606,58.6,-1.1
190607,58.6,-1.1
190608,58.3,-1.4
190609,58.2,-1.5
190610,58.1,-1.6
190611,57.8,-1.9
190612,58.4,-1.3
190701,58.6,-1.1
190702,58.8,-0.9
