#  Oregon 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189512,44.3,-2.2
189601,44.8,-1.7
189602,45.2,-1.3
189603,45.4,-1.1
189604,44.9,-1.6
189605,44.6,-1.9
189606,44.7,-1.8
189607,45.1,-1.4
189608,45.2,-1.3
189609,45.4,-1.1
189610,45.4,-1.1
189611,45.2,-1.3
189612,45.6,-0.9
189701,45.4,-1.1
189702,45.1,-1.4
189703,44.6,-1.9
189704,45.2,-1.3
189705,46.0,-0.5
189706,45.8,-0.7
189707,45.3,-1.2
189708,45.6,-0.9
189709,45.6,-0.9
189710,45.6,-0.9
189711,45.9,-0.6
189712,45.7,-0.8
189801,45.4,-1.1
189802,45.7,-0.8
189803,46.0,-0.5
189804,45.9,-0.6
189805,45.4,-1.1
189806,45.5,-1.0
189807,45.7,-0.8
189808,45.7,-0.8
189809,45.9,-0.6
189810,45.7,-0.8
189811,45.5,-1.0
189812,45.1,-1.4
189901,45.6,-0.9
189902,45.0,-1.5
189903,45.0,-1.5
189904,44.7,-1.8
189905,44.4,-2.1
189906,44.3,-2.2
189907,44.3,-2.2
189908,43.5,-3.0
189909,43.6,-2.9
189910,43.5,-3.0
189911,44.0,-2.5
189912,44.3,-2.2
190001,44.4,-2.1
190002,44.7,-1.8
190003,45.4,-1.1
190004,45.6,-0.9
190005,46.0,-0.5
190006,46.4,-0.1
190007,46.4,-0.1
190008,46.6,0.1
190009,46.2,-0.3
190010,46.4,-0.1
190011,46.2,-0.3
190012,46.7,0.2
190101,46.2,-0.3
190102,46.1,-0.4
190103,45.6,-0.9
190104,45.4,-1.1
190105,45.5,-1.0
190106,44.9,-1.6
190107,44.9,-1.6
190108,45.5,-1.0
190109,45.3,-1.2
190110,45.8,-0.7
190111,46.0,-0.5
190112,45.7,-0.8
190201,45.6,-0.9
190202,46.0,-0.5
190203,45.9,-0.6
190204,45.9,-0.6
190205,45.7,-0.8
190206,45.9,-0.6
190207,45.8,-0.7
190208,45.5,-1.0
190209,45.6,-0.9
190210,45.4,-1.1
190211,45.1,-1.4
190212,45.0,-1.5
190301,45.2,-1.3
190302,44.4,-2.1
190303,44.5,-2.0
190304,44.4,-2.1
190305,44.5,-2.0
190306,44.8,-1.7
190307,44.7,-1.8
190308,44.7,-1.8
190309,44.7,-1.8
190310,44.7,-1.8
190311,44.9,-1.6
190312,44.9,-1.6
190401,44.9,-1.6
190402,45.4,-1.1
190403,45.3,-1.2
190404,45.7,-0.8
190405,45.8,-0.7
190406,45.6,-0.9
190407,45.8,-0.7
190408,46.0,-0.5
190409,46.3,-0.2
190410,46.3,-0.2
190411,46.6,0.1
190412,46.6,0.1
190501,46.6,0.1
190502,46.6,0.1
190503,47.1,0.6
190504,47.1,0.6
190505,46.8,0.3
190506,46.7,0.2
190507,47.0,0.5
190508,47.0,0.5
190509,46.9,0.4
190510,46.5,0.0
190511,46.0,-0.5
190512,45.7,-0.8
190601,45.7,-0.8
