#  Pennsylvania 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189512,46.7,-1.4
189601,47.0,-1.1
189602,47.8,-0.3
189603,47.5,-0.6
189604,47.8,-0.3
189605,48.2,0.1
189606,47.9,-0.3
189607,48.2,0.1
189608,48.2,0.1
189609,47.8,-0.3
189610,48.0,-0.1
189611,48.3,0.2
189612,48.0,-0.1
189701,47.9,-0.2
189702,48.0,-0.1
189703,48.8,0.7
189704,48.4,0.3
189705,47.8,-0.3
189706,47.6,-0.6
189707,47.7,-0.4
189708,47.5,-0.6
189709,47.6,-0.5
189710,48.0,-0.1
189711,47.7,-0.4
189712,47.9,-0.2
189801,48.3,0.2
189802,48.2,0.1
189803,48.7,0.6
189804,48.4,0.3
189805,48.6,0.5
189806,49.0,0.8
189807,49.1,1.0
189808,49.5,1.4
189809,49.7,1.6
189810,49.7,1.6
189811,49.5,1.4
189812,49.2,1.1
189901,48.9,0.8
189902,48.3,0.2
189903,47.6,-0.5
189904,48.1,0.0
189905,48.1,0.0
189906,48.2,0.0
189907,48.0,-0.1
189908,47.9,-0.2
189909,47.6,-0.5
189910,47.6,-0.5
189911,47.8,-0.3
189912,47.9,-0.2
190001,48.2,0.1
190002,48.5,0.4
190003,48.1,0.0
190004,48.0,-0.1
190005,47.9,-0.2
190006,47.9,-0.3
190007,48.0,-0.1
190008,48.3,0.2
190009,48.8,0.7
190010,49.1,1.0
190011,49.2,1.1
190012,49.2,1.1
190101,49.2,1.1
190102,48.7,0.6
190103,49.2,1.1
190104,49.1,1.0
190105,49.0,0.9
190106,48.9,0.7
190107,49.1,1.0
190108,48.9,0.8
190109,48.5,0.4
190110,48.0,-0.1
190111,47.4,-0.7
190112,47.2,-0.9
190201,47.0,-1.1
190202,47.2,-0.9
190203,47.5,-0.6
190204,47.6,-0.5
190205,47.7,-0.4
190206,47.4,-0.8
190207,47.1,-1.0
190208,46.7,-1.4
190209,46.7,-1.4
190210,46.8,-1.3
190211,47.7,-0.4
190212,47.7,-0.4
190301,47.7,-0.4
190302,48.3,0.2
190303,48.8,0.7
190304,48.8,0.7
190305,49.0,0.9
190306,48.8,0.6
190307,48.7,0.6
190308,48.7,0.6
190309,48.7,0.6
190310,48.7,0.6
190311,47.8,-0.3
190312,47.6,-0.5
190401,47.0,-1.1
190402,46.3,-1.8
190403,45.4,-2.7
190404,45.0,-3.1
190405,45.0,-3.1
190406,45.4,-2.8
190407,45.4,-2.7
190408,45.4,-2.7
190409,45.4,-2.7
190410,45.2,-2.9
190411,45.3,-2.8
190412,45.3,-2.8
190501,45.6,-2.5
190502,45.5,-2.6
190503,45.8,-2.3
190504,46.1,-2.0
190505,46.0,-2.1
190506,46.0,-2.2
190507,46.1,-2.0
190508,46.3,-1.8
190509,46.3,-1.8
190510,46.5,-1.6
190511,46.5,-1.6
190512,47.1,-1.0
190601,48.1,0.0
190602,48.7,0.6
190603,48.0,-0.1
190604,48.1,0.0
190605,48.1,0.0
190606,48.2,0.0
190607,48.1,0.0
190608,48.4,0.3
190609,48.7,0.6
190610,48.6,0.5
190611,48.9,0.8
190612,48.6,0.5
190701,48.2,0.1
190702,47.8,-0.3
190703,48.6,0.5
190704,48.1,0.0
190705,47.6,-0.5
190706,47.2,-1.0
190707,47.1,-1.0
190708,46.7,-1.4
190709,46.5,-1.6
190710,46.1,-2.0
190711,46.0,-2.1
190712,46.2,-1.9
190801,46.0,-2.1
190802,46.2,-1.9
190803,46.1,-2.0
190804,46.6,-1.5
190805,47.2,-0.9
190806,47.6,-0.6
190807,47.8,-0.3
190808,47.9,-0.2
190809,47.9,-0.2
190810,48.5,0.4
190811,48.6,0.5
190812,48.5,0.4
190901,48.7,0.6
190902,49.6,1.5
190903,49.2,1.1
190904,49.1,1.0
190905,48.9,0.8
190906,48.9,0.7
190907,48.6,0.5
190908,48.6,0.5
190909,48.3,0.2
190910,47.8,-0.3
190911,48.3,0.2
190912,47.9,-0.2
191001,47.6,-0.5
191002,46.8,-1.3
191003,47.6,-0.5
191004,47.9,-0.2
191005,47.8,-0.3
191006,47.5,-0.7
191007,47.7,-0.4
191008,47.8,-0.3
191009,48.0,-0.1
191010,48.6,0.5
191011,47.9,-0.2
191012,47.6,-0.5
191101,48.0,-0.1
191102,48.4,0.3
191103,47.6,-0.5
191104,47.1,-1.0
191105,47.8,-0.3
191106,48.0,-0.2
191107,48.2,0.1
191108,48.3,0.2
191109,48.2,0.1
191110,48.0,-0.1
191111,48.1,0.0
191112,49.1,1.0
191201,48.0,-0.1
191202,47.4,-0.7
191203,47.3,-0.8
191204,47.6,-0.5
191205,47.3,-0.8
191206,47.1,-1.1
191207,46.8,-1.3
191208,46.5,-1.6
191209,46.6,-1.5
191210,46.7,-1.4
191211,47.1,-1.0
191212,47.0,-1.1
191301,48.5,0.4
191302,48.8,0.7
191303,49.5,1.4
191304,49.5,1.4
191305,49.3,1.2
191306,49.5,1.3
191307,49.5,1.4
191308,49.8,1.7
191309,49.5,1.4
191310,49.6,1.5
191311,49.6,1.5
191312,49.6,1.5
191401,49.0,0.9
191402,48.5,0.4
191403,47.8,-0.3
191404,47.5,-0.6
191405,47.7,-0.4
191406,47.8,-0.4
191407,47.7,-0.4
