#  Rhode Island 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189512,47.7,-0.9
189601,47.5,-1.1
189602,48.0,-0.6
189603,47.8,-0.8
189604,48.0,-0.6
189605,48.2,-0.4
189606,47.9,-0.7
189607,48.2,-0.4
189608,48.2,-0.4
189609,48.0,-0.6
189610,48.1,-0.5
189611,48.2,-0.4
189612,47.7,-0.9
189701,47.9,-0.7
189702,47.9,-0.7
189703,48.3,-0.3
189704,48.2,-0.4
189705,47.9,-0.7
189706,47.7,-0.9
189707,47.6,-1.0
189708,47.4,-1.2
189709,47.4,-1.2
189710,47.7,-0.9
189711,47.3,-1.3
189712,47.6,-1.0
189801,47.7,-0.9
189802,47.9,-0.7
189803,48.4,-0.2
189804,48.1,-0.5
189805,48.0,-0.6
189806,48.3,-0.3
189807,48.3,-0.3
189808,48.6,0.0
189809,48.9,0.3
189810,49.0,0.4
189811,49.0,0.4
189812,48.8,0.2
189901,48.8,0.2
189902,48.3,-0.3
189903,47.6,-1.0
189904,47.8,-0.8
189905,47.9,-0.7
189906,48.1,-0.5
189907,48.1,-0.5
189908,47.9,-0.7
189909,47.5,-1.1
189910,47.6,-1.0
189911,47.5,-1.1
189912,47.8,-0.8
190001,47.8,-0.8
190002,48.1,-0.5
190003,48.0,-0.6
190004,48.1,-0.5
190005,47.9,-0.7
190006,47.8,-0.8
190007,47.9,-0.7
190008,48.1,-0.5
190009,48.4,-0.2
190010,48.6,0.0
190011,48.8,0.2
190012,48.6,0.0
190101,48.5,-0.1
190102,48.0,-0.6
190103,48.2,-0.4
190104,48.1,-0.5
190105,48.0,-0.6
190106,48.0,-0.6
190107,48.1,-0.5
190108,48.0,-0.6
190109,47.9,-0.7
190110,47.6,-1.0
190111,47.0,-1.6
190112,46.9,-1.7
190201,46.9,-1.7
190202,47.3,-1.3
190203,47.8,-0.8
190204,48.0,-0.6
190205,48.1,-0.5
190206,47.9,-0.7
190207,47.4,-1.2
190208,47.1,-1.5
190209,47.0,-1.6
190210,47.0,-1.6
190211,47.8,-0.8
190212,47.6,-1.0
190301,47.7,-0.9
190302,48.0,-0.6
190303,48.1,-0.5
190304,48.1,-0.5
190305,48.3,-0.3
190306,48.0,-0.6
190307,48.2,-0.4
190308,48.0,-0.6
190309,48.0,-0.6
190310,48.0,-0.6
190311,47.4,-1.2
190312,47.3,-1.3
190401,46.7,-1.9
190402,45.9,-2.7
190403,45.1,-3.5
190404,44.9,-3.7
190405,45.0,-3.6
190406,45.3,-3.3
190407,45.3,-3.3
190408,45.5,-3.1
190409,45.4,-3.2
190410,45.1,-3.5
190411,45.0,-3.6
190412,44.8,-3.8
190501,45.1,-3.5
190502,45.1,-3.5
190503,45.2,-3.4
190504,45.4,-3.2
190505,45.1,-3.5
190506,45.1,-3.5
190507,45.3,-3.3
190508,45.3,-3.3
190509,45.3,-3.3
190510,45.5,-3.1
190511,45.8,-2.8
190512,46.6,-2.0
190601,47.4,-1.2
190602,48.0,-0.6
190603,47.7,-0.9
190604,47.7,-0.9
190605,47.8,-0.8
190606,47.9,-0.7
190607,47.8,-0.8
190608,48.1,-0.5
190609,48.4,-0.2
190610,48.4,-0.2
190611,48.4,-0.2
190612,48.0,-0.6
190701,47.4,-1.2
190702,46.7,-1.9
190703,47.2,-1.4
190704,46.8,-1.8
190705,46.3,-2.3
190706,46.0,-2.6
190707,46.1,-2.5
190708,45.8,-2.8
190709,45.8,-2.8
190710,45.4,-3.2
190711,45.5,-3.1
190712,46.0,-2.6
190801,46.2,-2.4
190802,46.6,-2.0
190803,46.7,-1.9
190804,47.0,-1.6
