#  South Carolina 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189512,61.0,-1.4
189601,61.0,-1.4
189602,61.9,-0.5
189603,61.9,-0.5
189604,62.4,0.0
189605,63.1,0.7
189606,63.0,0.6
189607,63.2,0.8
189608,63.2,0.8
189609,63.0,0.6
189610,63.1,0.7
189611,63.5,1.1
189612,63.4,1.0
189701,63.3,0.9
189702,63.5,1.1
189703,63.8,1.4
189704,63.4,1.0
189705,62.8,0.4
189706,62.9,0.5
189707,62.9,0.5
189708,62.7,0.3
189709,62.7,0.3
189710,63.0,0.6
189711,62.7,0.3
189712,62.9,0.5
189801,63.5,1.1
189802,63.1,0.7
189803,63.3,0.9
189804,63.0,0.6
189805,63.4,1.0
189806,63.4,1.0
189807,63.4,1.0
189808,63.4,1.0
189809,63.6,1.2
189810,63.3,0.9
189811,62.9,0.5
189812,62.8,0.4
189901,62.5,0.1
189902,62.4,0.0
189903,62.0,-0.4
189904,62.2,-0.2
189905,62.2,-0.2
189906,62.2,-0.2
189907,62.2,-0.2
189908,62.3,-0.1
189909,62.2,-0.2
189910,62.3,-0.1
189911,62.7,0.3
189912,62.6,0.2
190001,62.6,0.2
190002,62.6,0.2
190003,62.4,0.0
190004,62.6,0.2
190005,62.3,-0.1
190006,62.1,-0.3
190007,62.2,-0.2
190008,62.3,-0.1
190009,62.7,0.3
190010,62.9,0.5
190011,63.0,0.6
190012,63.0,0.6
190101,63.1,0.7
190102,63.0,0.6
190103,63.1,0.7
190104,62.5,0.1
190105,62.6,0.2
190106,62.6,0.2
190107,62.6,0.2
190108,62.3,-0.1
190109,62.0,-0.4
190110,61.5,-0.9
190111,60.9,-1.5
190112,60.7,-1.7
190201,60.5,-1.9
190202,60.3,-2.1
190203,60.3,-2.1
190204,60.7,-1.7
190205,60.8,-1.6
190206,61.0,-1.4
190207,61.0,-1.4
190208,61.0,-1.4
190209,60.9,-1.5
190210,61.0,-1.4
190211,61.9,-0.5
190212,62.1,-0.3
190301,62.2,-0.2
190302,62.9,0.5
190303,63.4,1.0
190304,63.4,1.0
190305,63.2,0.8
190306,62.8,0.4
190307,62.7,0.3
190308,62.8,0.4
190309,62.9,0.5
190310,62.6,0.2
190311,62.0,-0.4
190312,61.5,-0.9
190401,61.3,-1.1
190402,60.9,-1.5
190403,60.6,-1.8
190404,60.4,-2.0
190405,60.4,-2.0
190406,60.6,-1.8
190407,60.5,-1.9
190408,60.3,-2.1
190409,60.4,-2.0
190410,60.4,-2.0
190411,60.5,-1.9
190412,60.8,-1.6
190501,60.9,-1.5
190502,60.4,-2.0
190503,60.6,-1.8
190504,60.9,-1.5
190505,61.2,-1.2
190506,61.3,-1.1
190507,61.4,-1.0
190508,61.4,-1.0
190509,61.6,-0.8
190510,61.7,-0.7
190511,62.0,-0.4
190512,61.9,-0.5
190601,62.4,0.0
190602,63.0,0.6
190603,62.5,0.1
190604,62.6,0.2
190605,62.3,-0.1
190606,62.3,-0.1
190607,62.1,-0.3
190608,62.4,0.0
190609,62.5,0.1
190610,62.3,-0.1
190611,62.2,-0.2
190612,62.5,0.1
190701,63.0,0.6
190702,62.9,0.5
190703,63.8,1.4
190704,63.2,0.8
190705,63.2,0.8
190706,62.9,0.5
190707,63.1,0.7
190708,63.0,0.6
190709,62.9,0.5
190710,62.8,0.4
190711,62.7,0.3
190712,62.5,0.1
190801,61.8,-0.6
190802,61.6,-0.8
190803,61.6,-0.8
190804,62.4,0.0
190805,62.6,0.2
190806,62.7,0.3
190807,62.6,0.2
190808,62.5,0.1
190809,62.2,-0.2
190810,62.2,-0.2
190811,62.6,0.2
190812,62.9,0.5
190901,63.3,0.9
190902,64.0,1.6
190903,63.4,1.0
190904,63.2,0.8
190905,62.9,0.5
190906,63.1,0.7
190907,63.0,0.6
190908,63.0,0.6
190909,63.0,0.6
190910,63.0,0.6
190911,63.1,0.7
190912,62.4,0.0
191001,62.0,-0.4
191002,61.4,-1.0
191003,61.9,-0.5
191004,61.8,-0.6
191005,61.9,-0.5
191006,61.5,-0.9
191007,61.6,-0.8
191008,61.6,-0.8
191009,61.9,-0.5
191010,62.3,-0.1
191011,61.7,-0.7
191012,61.6,-0.8
191101,62.0,-0.4
191102,62.6,0.2
191103,62.2,-0.2
191104,62.0,-0.4
191105,62.2,-0.2
191106,62.7,0.3
191107,62.7,0.3
191108,62.8,0.4
191109,63.1,0.7
191110,63.1,0.7
191111,63.2,0.8
191112,63.8,1.4
191201,63.1,0.7
191202,62.2,-0.2
191203,62.1,-0.3
191204,62.4,0.0
191205,62.4,0.0
191206,61.9,-0.5
191207,61.9,-0.5
191208,61.9,-0.5
191209,61.8,-0.6
191210,61.6,-0.8
191211,61.6,-0.8
191212,61.6,-0.8
191301,62.7,0.3
191302,63.3,0.9
191303,63.6,1.2
191304,63.3,0.9
191305,63.2,0.8
191306,63.3,0.9
191307,63.5,1.1
191308,63.5,1.1
191309,63.0,0.6
191310,62.8,0.4
191311,62.9,0.5
191312,62.8,0.4
191401,62.2,-0.2
191402,61.9,-0.5
191403,61.3,-1.1
191404,61.5,-0.9
191405,61.6,-0.8
191406,61.9,-0.5
191407,61.7,-0.7
191408,61.7,-0.7
191409,61.7,-0.7
191410,61.9,-0.5
191411,61.8,-0.6
191412,61.4,-1.0
