#  South Dakota 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189512,42.4,-2.2
189601,43.2,-1.4
189602,44.2,-0.4
189603,43.6,-1.0
189604,43.1,-1.5
189605,43.4,-1.2
189606,43.7,-0.9
189607,43.8,-0.8
189608,43.8,-0.8
189609,43.3,-1.3
189610,43.3,-1.3
189611,42.2,-2.4
189612,42.5,-2.1
189701,42.1,-2.5
189702,41.3,-3.3
189703,41.2,-3.4
189704,41.2,-3.4
189705,41.0,-3.6
189706,40.9,-3.7
189707,41.0,-3.6
189708,40.8,-3.8
189709,41.8,-2.8
189710,42.3,-2.3
189711,43.3,-1.3
189712,42.6,-2.0
189801,43.4,-1.2
189802,44.1,-0.5
189803,44.6,0.0
189804,44.7,0.1
189805,44.4,-0.2
189806,44.5,-0.1
189807,44.4,-0.2
189808,44.7,0.1
189809,44.1,-0.5
189810,43.5,-1.1
189811,43.5,-1.1
189812,43.5,-1.1
189901,43.1,-1.5
189902,41.6,-3.0
189903,40.5,-4.1
189904,40.3,-4.3
189905,40.4,-4.2
189906,40.3,-4.3
189907,40.3,-4.3
189908,40.3,-4.3
189909,40.2,-4.4
189910,40.6,-4.0
189911,41.7,-2.9
189912,41.8,-2.8
190001,42.5,-2.1
190002,43.2,-1.4
190003,44.4,-0.2
190004,44.9,0.3
190005,45.5,0.9
190006,45.9,1.3
190007,45.8,1.2
190008,46.1,1.5
190009,46.1,1.5
190010,46.5,1.9
190011,45.6,1.0
190012,46.2,1.6
190101,45.9,1.3
190102,46.0,1.4
190103,46.2,1.6
190104,46.0,1.4
190105,45.9,1.3
190106,45.6,1.0
190107,46.1,1.5
190108,45.9,1.3
190109,45.7,1.1
190110,45.7,1.1
190111,46.2,1.6
190112,45.6,1.0
190201,45.5,0.9
190202,45.7,1.1
190203,45.7,1.1
190204,45.4,0.8
190205,45.2,0.6
190206,45.0,0.4
190207,44.4,-0.2
190208,44.1,-0.5
190209,44.0,-0.6
190210,43.8,-0.8
190211,43.7,-0.9
190212,43.3,-1.3
190301,43.2,-1.4
190302,42.6,-2.0
190303,42.4,-2.2
190304,42.6,-2.0
190305,42.3,-2.3
190306,42.5,-2.1
190307,42.5,-2.1
190308,42.5,-2.1
190309,42.4,-2.2
190310,42.5,-2.1
190311,42.3,-2.3
190312,42.7,-1.9
190401,42.3,-2.3
190402,42.3,-2.3
190403,42.3,-2.3
190404,42.0,-2.6
190405,42.1,-2.5
190406,42.0,-2.6
190407,41.9,-2.7
190408,41.9,-2.7
190409,42.2,-2.4
190410,42.3,-2.3
190411,43.0,-1.6
190412,43.1,-1.5
190501,42.8,-1.8
190502,43.0,-1.6
