#  Tennessee 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189512,56.2,-1.5
189601,56.5,-1.2
189602,57.4,-0.3
189603,57.2,-0.5
189604,57.6,-0.1
189605,58.2,0.5
189606,58.0,0.3
189607,58.2,0.5
189608,58.4,0.7
189609,58.0,0.3
189610,58.4,0.7
189611,58.6,0.9
189612,58.6,0.9
189701,58.3,0.6
189702,58.6,0.9
189703,59.3,1.6
189704,58.7,1.0
189705,58.0,0.3
189706,58.2,0.5
189707,58.2,0.5
189708,58.0,0.3
189709,58.2,0.5
189710,58.7,1.0
189711,58.5,0.8
189712,58.6,0.9
189801,59.3,1.6
189802,58.9,1.2
189803,59.0,1.3
189804,58.7,1.0
189805,59.2,1.5
189806,59.3,1.6
189807,59.3,1.6
189808,59.3,1.6
189809,59.4,1.7
189810,58.9,1.2
189811,58.6,0.9
189812,58.3,0.6
189901,57.8,0.1
189902,57.0,-0.7
189903,56.5,-1.2
189904,56.8,-0.9
189905,57.0,-0.7
189906,57.0,-0.7
189907,56.9,-0.8
189908,57.1,-0.6
189909,56.8,-0.9
189910,57.1,-0.6
189911,57.6,-0.1
189912,57.7,0.0
190001,57.8,0.1
190002,58.3,0.6
190003,58.1,0.4
190004,58.2,0.5
190005,57.9,0.2
190006,57.6,-0.1
190007,57.7,0.0
190008,57.7,0.0
190009,58.2,0.5
190010,58.4,0.7
190011,58.2,0.5
190012,58.5,0.8
190101,58.5,0.8
190102,58.5,0.8
190103,58.7,1.0
190104,58.2,0.5
190105,58.1,0.4
190106,58.3,0.6
190107,58.6,0.9
190108,58.3,0.6
190109,57.7,0.0
190110,57.2,-0.5
190111,56.7,-1.0
190112,56.2,-1.5
190201,55.9,-1.8
190202,55.6,-2.1
190203,55.6,-2.1
190204,55.9,-1.8
190205,56.4,-1.3
190206,56.3,-1.4
190207,56.1,-1.6
190208,56.3,-1.4
190209,56.2,-1.5
190210,56.4,-1.3
190211,57.3,-0.4
190212,57.6,-0.1
190301,57.7,0.0
190302,58.5,0.8
190303,58.9,1.2
190304,59.0,1.3
190305,58.7,1.0
190306,58.1,0.4
190307,58.0,0.3
190308,58.0,0.3
190309,58.1,0.4
190310,58.0,0.3
190311,57.2,-0.5
190312,56.8,-0.9
190401,56.6,-1.1
190402,56.6,-1.1
190403,56.3,-1.4
190404,56.0,-1.7
190405,55.8,-1.9
190406,56.2,-1.5
190407,56.0,-1.7
190408,55.9,-1.8
190409,56.2,-1.5
190410,56.1,-1.6
190411,56.2,-1.5
190412,56.7,-1.0
190501,56.3,-1.4
190502,55.5,-2.2
190503,55.8,-1.9
190504,56.2,-1.5
190505,56.5,-1.2
190506,56.7,-1.0
190507,56.8,-0.9
190508,56.8,-0.9
190509,56.7,-1.0
190510,56.8,-0.9
190511,57.1,-0.6
190512,57.0,-0.7
190601,57.8,0.1
190602,58.4,0.7
