#  Texas 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189512,62.3,-2.3
189601,62.4,-2.2
189602,63.3,-1.3
189603,63.1,-1.5
189604,63.3,-1.3
189605,63.9,-0.8
189606,64.3,-0.4
189607,64.4,-0.2
189608,64.5,-0.2
189609,64.4,-0.3
189610,64.5,-0.2
189611,64.8,0.2
189612,65.1,0.5
189701,64.7,0.1
189702,64.9,0.3
189703,65.3,0.7
189704,65.1,0.5
189705,64.6,-0.1
189706,64.4,-0.3
189707,64.5,-0.1
189708,64.3,-0.4
189709,64.2,-0.5
189710,64.6,-0.1
189711,64.8,0.2
189712,64.4,-0.2
189801,65.0,0.4
189802,65.1,0.5
189803,64.8,0.2
189804,64.8,0.2
189805,64.9,0.2
189806,64.9,0.2
189807,64.7,0.1
189808,64.7,0.0
189809,64.8,0.1
189810,64.5,-0.2
189811,64.1,-0.5
189812,63.9,-0.7
189901,63.5,-1.1
189902,62.4,-2.2
189903,62.5,-2.1
189904,62.5,-2.1
189905,62.7,-2.0
189906,62.7,-2.0
189907,62.7,-1.9
189908,63.1,-1.6
189909,63.1,-1.6
189910,63.3,-1.4
189911,63.7,-0.9
189912,64.0,-0.6
190001,64.3,-0.3
190002,65.0,0.4
190003,64.9,0.3
190004,65.0,0.4
190005,64.7,0.0
190006,64.8,0.1
190007,64.8,0.2
190008,64.5,-0.2
190009,64.7,0.0
190010,64.7,0.0
190011,64.7,0.1
190012,64.8,0.2
190101,64.9,0.3
190102,64.8,0.2
190103,64.7,0.1
190104,64.6,0.0
190105,64.6,-0.1
190106,64.7,0.0
190107,64.9,0.3
190108,65.2,0.5
190109,64.9,0.2
190110,65.0,0.3
190111,65.1,0.5
190112,65.0,0.4
190201,64.8,0.2
190202,64.8,0.2
190203,65.0,0.4
190204,65.4,0.8
190205,65.7,1.0
190206,65.7,1.0
190207,65.5,0.9
190208,65.5,0.8
190209,65.3,0.6
190210,65.2,0.5
190211,65.3,0.7
190212,65.4,0.8
190301,65.4,0.8
190302,65.1,0.5
