#  Utah 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189512,45.3,-2.3
189601,45.8,-1.7
189602,46.2,-1.3
189603,46.4,-1.1
189604,46.1,-1.4
189605,45.8,-1.7
189606,46.3,-1.2
189607,46.5,-1.0
189608,46.4,-1.2
189609,46.4,-1.2
189610,46.4,-1.2
189611,46.4,-1.1
189612,47.2,-0.4
189701,46.9,-0.6
189702,46.6,-0.9
189703,46.0,-1.5
189704,46.1,-1.4
189705,46.8,-0.7
189706,46.4,-1.1
189707,46.2,-1.3
189708,46.2,-1.4
189709,46.4,-1.2
189710,46.2,-1.4
189711,46.6,-0.9
189712,45.8,-1.8
189801,45.0,-2.5
189802,45.2,-2.3
189803,45.4,-2.1
189804,45.6,-1.9
189805,45.0,-2.5
189806,45.1,-2.4
189807,45.4,-2.1
189808,45.6,-2.0
189809,45.5,-2.1
189810,45.4,-2.2
189811,45.1,-2.4
189812,45.1,-2.5
189901,45.9,-1.6
189902,45.8,-1.7
189903,46.2,-1.3
189904,46.0,-1.5
189905,45.9,-1.6
189906,45.8,-1.7
189907,45.8,-1.7
189908,45.2,-2.4
189909,45.5,-2.1
189910,45.5,-2.1
189911,46.0,-1.5
189912,46.2,-1.4
190001,46.5,-1.0
190002,46.9,-0.6
190003,47.4,-0.1
190004,47.1,-0.4
190005,47.6,0.1
190006,48.0,0.5
190007,48.0,0.5
190008,48.1,0.5
190009,47.6,0.0
190010,47.8,0.2
190011,47.8,0.3
190012,48.2,0.6
190101,47.9,0.4
190102,47.8,0.3
190103,47.2,-0.3
190104,47.3,-0.2
190105,47.4,-0.1
190106,46.9,-0.6
190107,47.2,-0.3
190108,47.5,-0.1
190109,47.7,0.1
190110,47.9,0.3
190111,48.0,0.5
190112,47.9,0.3
190201,47.9,0.4
190202,48.1,0.6
190203,48.0,0.5
190204,48.1,0.6
190205,47.9,0.4
190206,48.3,0.8
190207,47.7,0.2
190208,47.5,-0.1
190209,47.6,0.0
190210,47.6,0.0
190211,47.2,-0.3
190212,47.0,-0.6
190301,47.0,-0.5
190302,45.5,-2.0
190303,45.6,-1.9
190304,45.4,-2.1
190305,45.2,-2.3
190306,45.1,-2.4
190307,45.2,-2.3
190308,45.4,-2.2
190309,45.2,-2.4
190310,45.1,-2.5
190311,45.3,-2.2
190312,45.2,-2.4
190401,44.9,-2.6
190402,46.4,-1.1
190403,46.7,-0.8
190404,46.9,-0.6
190405,47.1,-0.4
190406,46.9,-0.6
190407,47.0,-0.5
190408,46.8,-0.8
190409,47.1,-0.5
190410,47.0,-0.6
190411,47.0,-0.5
190412,47.2,-0.4
190501,47.6,0.1
190502,47.2,-0.3
190503,47.4,-0.1
190504,47.3,-0.2
190505,47.0,-0.5
190506,47.1,-0.4
190507,47.1,-0.4
190508,47.2,-0.4
190509,47.2,-0.4
190510,46.9,-0.7
190511,46.8,-0.7
190512,46.3,-1.3
190601,46.1,-1.4
190602,46.4,-1.1
190603,46.0,-1.5
190604,46.0,-1.5
190605,46.2,-1.3
190606,46.0,-1.5
190607,46.1,-1.4
190608,45.9,-1.7
190609,45.8,-1.8
190610,46.1,-1.5
190611,45.9,-1.6
190612,46.8,-0.8
190701,47.1,-0.4
190702,47.6,0.1
190703,48.0,0.5
190704,48.2,0.7
190705,48.0,0.5
190706,47.8,0.3
190707,47.7,0.2
190708,47.6,0.0
190709,47.6,0.0
190710,48.0,0.4
190711,48.1,0.6
190712,47.9,0.3
190801,47.9,0.4
190802,47.1,-0.4
190803,46.9,-0.6
190804,46.8,-0.7
190805,46.7,-0.8
190806,46.8,-0.7
190807,46.9,-0.6
190808,46.9,-0.7
190809,46.9,-0.7
190810,46.2,-1.4
190811,46.1,-1.4
190812,45.6,-2.0
190901,46.0,-1.5
190902,46.0,-1.5
190903,45.7,-1.8
190904,45.4,-2.1
190905,45.5,-2.0
190906,46.0,-1.5
190907,46.0,-1.5
190908,46.2,-1.4
190909,46.3,-1.3
190910,46.8,-0.8
190911,47.0,-0.5
190912,46.4,-1.2
191001,45.7,-1.8
191002,45.5,-2.0
191003,46.3,-1.2
191004,46.8,-0.7
191005,47.3,-0.2
191006,47.4,-0.1
191007,47.4,-0.1
191008,47.4,-0.2
191009,47.7,0.1
191010,47.6,0.0
191011,47.9,0.4
191012,49.0,1.4
191101,49.7,2.2
191102,49.8,2.3
191103,49.5,2.0
191104,49.1,1.6
191105,48.8,1.3
191106,48.6,1.1
191107,48.3,0.8
191108,48.3,0.7
191109,48.2,0.6
191110,47.9,0.3
