#  Vermont 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189512,40.6,-0.7
189601,40.4,-0.9
189602,40.8,-0.5
189603,40.7,-0.7
189604,40.9,-0.5
189605,40.9,-0.5
189606,40.5,-0.9
189607,40.9,-0.4
189608,41.0,-0.3
189609,40.8,-0.6
189610,41.0,-0.3
189611,41.2,-0.1
189612,40.7,-0.6
189701,40.9,-0.4
189702,41.0,-0.3
189703,41.5,0.1
189704,41.4,0.0
189705,41.1,-0.3
189706,40.9,-0.5
189707,41.1,-0.2
189708,40.9,-0.4
189709,40.9,-0.5
189710,41.2,-0.1
189711,40.8,-0.5
189712,41.1,-0.2
189801,40.9,-0.4
189802,41.2,-0.1
189803,41.7,0.3
189804,41.5,0.1
189805,41.5,0.1
189806,41.8,0.4
189807,41.6,0.3
189808,41.9,0.6
189809,42.3,0.9
189810,42.3,1.0
189811,42.4,1.1
189812,42.3,1.0
189901,42.4,1.1
189902,41.8,0.5
189903,41.1,-0.3
189904,41.2,-0.2
189905,41.2,-0.2
189906,41.3,-0.1
189907,41.2,-0.1
189908,41.1,-0.2
189909,40.7,-0.7
189910,40.8,-0.5
189911,40.8,-0.5
189912,41.2,-0.1
190001,41.3,0.0
190002,41.4,0.1
190003,41.1,-0.3
190004,41.0,-0.4
190005,40.8,-0.6
190006,40.8,-0.6
190007,40.8,-0.5
190008,40.9,-0.4
190009,41.2,-0.2
190010,41.4,0.1
190011,41.7,0.4
190012,41.1,-0.2
190101,40.9,-0.4
190102,40.4,-0.9
190103,40.9,-0.5
190104,41.1,-0.3
190105,41.4,0.0
190106,41.5,0.1
190107,41.6,0.3
190108,41.6,0.3
190109,41.6,0.2
190110,41.1,-0.2
190111,40.5,-0.8
190112,40.8,-0.5
190201,40.7,-0.6
190202,41.2,-0.1
190203,42.0,0.6
190204,41.9,0.5
190205,41.7,0.3
190206,41.2,-0.2
190207,40.8,-0.5
190208,40.4,-0.9
190209,40.4,-1.0
190210,40.2,-1.1
190211,41.0,-0.3
190212,40.6,-0.7
190301,40.8,-0.5
190302,41.0,-0.3
190303,41.3,-0.1
190304,41.1,-0.3
190305,41.5,0.1
190306,41.5,0.1
190307,41.5,0.2
190308,41.3,0.0
190309,41.3,-0.1
190310,41.4,0.1
190311,40.8,-0.5
190312,40.7,-0.6
190401,40.0,-1.3
190402,39.2,-2.1
190403,38.2,-3.2
190404,38.0,-3.4
190405,38.2,-3.2
190406,38.5,-2.9
190407,38.6,-2.7
190408,38.9,-2.4
190409,38.6,-2.8
190410,38.3,-3.0
190411,38.0,-3.3
190412,37.6,-3.7
190501,38.0,-3.3
190502,38.0,-3.3
190503,38.1,-3.3
190504,38.2,-3.2
190505,37.7,-3.7
190506,37.6,-3.8
190507,37.7,-3.6
190508,37.7,-3.6
190509,37.9,-3.5
190510,38.2,-3.1
190511,38.5,-2.8
190512,39.5,-1.8
190601,40.4,-0.9
190602,40.9,-0.4
190603,40.5,-0.9
190604,40.6,-0.8
190605,40.5,-0.9
190606,40.7,-0.7
190607,40.6,-0.7
190608,41.0,-0.3
190609,41.2,-0.2
190610,41.3,0.0
