#  Washington 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189512,45.2,-0.9
189601,45.5,-0.6
189602,45.6,-0.5
189603,45.5,-0.6
189604,45.2,-0.9
189605,45.1,-1.0
189606,45.0,-1.1
189607,45.4,-0.7
189608,45.5,-0.6
189609,45.7,-0.4
189610,45.7,-0.4
189611,45.2,-0.9
189612,45.4,-0.7
189701,45.2,-0.9
189702,44.9,-1.2
189703,44.5,-1.6
189704,45.0,-1.1
189705,45.6,-0.5
189706,45.5,-0.6
189707,45.0,-1.1
189708,45.3,-0.8
189709,45.3,-0.8
189710,45.3,-0.8
189711,45.7,-0.4
189712,45.3,-0.8
189801,45.2,-0.9
189802,45.6,-0.5
189803,45.9,-0.2
189804,45.8,-0.3
189805,45.5,-0.6
189806,45.5,-0.6
189807,45.8,-0.3
189808,45.8,-0.3
189809,46.0,-0.1
189810,45.9,-0.2
189811,45.9,-0.2
189812,45.7,-0.4
189901,45.9,-0.2
189902,45.2,-0.9
189903,45.2,-0.9
189904,45.0,-1.1
189905,44.6,-1.5
189906,44.4,-1.7
189907,44.5,-1.6
189908,43.8,-2.3
189909,43.8,-2.3
189910,43.8,-2.3
189911,44.5,-1.6
189912,45.1,-1.0
190001,45.5,-0.6
190002,45.8,-0.3
190003,46.4,0.3
190004,46.7,0.6
190005,47.1,1.0
190006,47.6,1.5
190007,47.5,1.4
190008,47.6,1.5
190009,47.4,1.3
190010,47.4,1.3
190011,46.7,0.6
190012,47.0,0.9
190101,46.6,0.5
190102,46.5,0.4
190103,46.2,0.1
190104,45.8,-0.3
190105,45.8,-0.3
190106,45.2,-0.9
190107,45.0,-1.1
190108,45.4,-0.7
190109,45.3,-0.8
190110,45.8,-0.3
190111,46.2,0.1
190112,45.8,-0.3
190201,45.8,-0.3
190202,46.1,0.0
190203,46.0,-0.1
190204,46.0,-0.1
190205,46.0,-0.1
190206,46.2,0.1
190207,46.2,0.1
190208,45.9,-0.2
190209,46.1,0.0
190210,45.8,-0.3
190211,45.5,-0.6
190212,45.3,-0.8
190301,45.5,-0.6
190302,45.0,-1.1
190303,44.8,-1.3
190304,44.7,-1.4
190305,44.6,-1.5
190306,45.0,-1.1
190307,45.0,-1.1
190308,45.0,-1.1
190309,44.9,-1.2
190310,44.8,-1.3
190311,44.8,-1.3
190312,44.9,-1.2
190401,44.9,-1.2
190402,45.1,-1.0
190403,45.0,-1.1
190404,45.4,-0.7
190405,45.4,-0.7
190406,45.1,-1.0
190407,45.4,-0.7
190408,45.5,-0.6
190409,45.9,-0.2
190410,46.0,-0.1
190411,46.5,0.4
190412,46.6,0.5
190501,46.5,0.4
190502,46.6,0.5
190503,47.3,1.2
190504,47.2,1.1
190505,47.2,1.1
190506,47.2,1.1
190507,47.3,1.2
190508,47.2,1.1
190509,47.1,1.0
190510,46.6,0.5
190511,46.1,0.0
190512,45.9,-0.2
190601,46.0,-0.1
190602,46.3,0.2
190603,45.8,-0.3
190604,46.0,-0.1
190605,46.1,0.0
190606,45.9,-0.2
190607,46.3,0.2
190608,46.3,0.2
190609,46.3,0.2
190610,46.8,0.7
190611,46.8,0.7
190612,46.9,0.8
190701,45.9,-0.2
190702,45.8,-0.3
190703,45.7,-0.4
190704,45.3,-0.8
190705,45.4,-0.7
190706,45.6,-0.5
190707,45.1,-1.0
190708,44.7,-1.4
190709,44.7,-1.4
190710,44.9,-1.2
190711,45.2,-0.9
190712,45.2,-0.9
190801,46.2,0.1
190802,46.1,0.0
190803,46.2,0.1
190804,46.4,0.3
190805,46.0,-0.1
190806,46.0,-0.1
190807,46.2,0.1
190808,46.5,0.4
190809,46.5,0.4
190810,46.2,0.1
190811,46.2,0.1
190812,45.9,-0.2
190901,45.1,-1.0
190902,45.2,-0.9
190903,45.3,-0.8
190904,45.1,-1.0
190905,45.1,-1.0
190906,45.2,-0.9
190907,44.8,-1.3
190908,44.7,-1.4
190909,44.8,-1.3
190910,44.9,-1.2
190911,44.6,-1.5
190912,44.3,-1.8
191001,44.8,-1.3
191002,44.3,-1.8
191003,44.6,-1.5
191004,45.0,-1.1
191005,45.4,-0.7
191006,45.3,-0.8
191007,45.6,-0.5
191008,45.4,-0.7
191009,45.2,-0.9
191010,45.4,-0.7
191011,45.3,-0.8
191012,46.0,-0.1
191101,46.0,-0.1
191102,46.2,0.1
191103,46.0,-0.1
191104,45.6,-0.5
191105,45.1,-1.0
191106,45.2,-0.9
191107,45.3,-0.8
191108,45.4,-0.7
191109,45.3,-0.8
191110,45.1,-1.0
191111,44.9,-1.2
191112,44.7,-1.4
191201,44.7,-1.4
191202,45.2,-0.9
191203,44.9,-1.2
191204,45.1,-1.0
191205,45.4,-0.7
191206,45.6,-0.5
191207,45.4,-0.7
191208,45.3,-0.8
191209,45.3,-0.8
191210,45.1,-1.0
191211,45.4,-0.7
191212,45.5,-0.6
191301,45.3,-0.8
191302,44.6,-1.5
191303,44.4,-1.7
191304,44.5,-1.6
191305,44.3,-1.8
191306,44.2,-1.9
191307,44.2,-1.9
191308,44.5,-1.6
191309,44.7,-1.4
191310,44.7,-1.4
191311,44.7,-1.4
191312,44.7,-1.4
191401,45.4,-0.7
191402,45.9,-0.2
191403,46.4,0.3
191404,46.6,0.5
191405,46.8,0.7
191406,46.7,0.6
191407,46.8,0.7
191408,46.8,0.7
191409,46.7,0.6
191410,47.0,0.9
191411,47.1,1.0
191412,46.5,0.4
191501,46.0,-0.1
191502,46.3,0.2
191503,46.5,0.4
191504,46.7,0.6
191505,46.5,0.4
191506,46.6,0.5
191507,46.4,0.3
191508,46.7,0.6
191509,46.8,0.7
191510,46.8,0.7
191511,46.4,0.3
191512,46.9,0.8
191601,46.0,-0.1
191602,45.6,-0.5
191603,45.2,-0.9
191604,44.8,-1.3
191605,44.5,-1.6
191606,44.4,-1.7
191607,44.2,-1.9
191608,43.8,-2.3
191609,43.9,-2.2
191610,43.6,-2.5
191611,43.4,-2.7
191612,43.0,-3.1
191701,43.8,-2.3
191702,43.7,-2.4
191703,43.2,-2.9
191704,42.9,-3.2
191705,43.1,-3.0
191706,43.0,-3.1
191707,43.3,-2.8
191708,43.5,-2.6
191709,43.6,-2.5
191710,43.9,-2.2
191711,44.6,-1.5
191712,45.5,-0.6
191801,46.0,-0.1
191802,46.1,0.0
191803,46.6,0.5
191804,46.9,0.8
191805,46.9,0.8
191806,47.4,1.3
191807,47.4,1.3
191808,47.1,1.0
191809,47.4,1.3
191810,47.5,1.4
191811,47.1,1.0
191812,46.8,0.7
191901,46.6,0.5
191902,46.7,0.6
191903,46.7,0.6
191904,46.7,0.6
191905,46.8,0.7
191906,46.3,0.2
191907,46.3,0.2
191908,46.5,0.4
191909,46.1,0.0
191910,45.6,-0.5
191911,45.4,-0.7
191912,44.8,-1.3
192001,44.6,-1.5
192002,44.7,-1.4
192003,44.7,-1.4
192004,44.3,-1.8
192005,44.1,-2.0
192006,44.2,-1.9
192007,44.3,-1.8
192008,44.4,-1.7
192009,44.3,-1.8
192010,44.5,-1.6
192011,44.7,-1.4
192012,45.5,-0.6
192101,45.6,-0.5
192102,45.6,-0.5
192103,45.7,-0.4
192104,45.8,-0.3
192105,46.1,0.0
192106,46.4,0.3
192107,46.1,0.0
192108,46.0,-0.1
192109,45.7,-0.4
192110,46.0,-0.1
192111,45.9,-0.2
192112,45.5,-0.6
192201,44.8,-1.3
192202,44.1,-2.0
192203,43.8,-2.3
192204,43.7,-2.4
192205,43.6,-2.5
192206,43.9,-2.2
192207,44.1,-2.0
192208,44.2,-1.9
192209,44.7,-1.4
192210,44.7,-1.4
192211,44.5,-1.6
192212,44.2,-1.9
192301,45.0,-1.1
192302,45.1,-1.0
192303,45.3,-0.8
192304,45.7,-0.4
192305,45.7,-0.4
192306,45.3,-0.8
192307,45.3,-0.8
192308,45.4,-0.7
192309,45.4,-0.7
192310,45.4,-0.7
192311,45.8,-0.3
192312,46.4,0.3
192401,45.9,-0.2
192402,46.9,0.8
192403,47.0,0.9
192404,46.8,0.7
192405,47.2,1.1
192406,47.4,1.3
192407,47.3,1.2
192408,47.1,1.0
192409,47.0,0.9
192410,46.9,0.8
192411,46.5,0.4
192412,46.0,-0.1
192501,46.4,0.3
192502,46.3,0.2
192503,46.4,0.3
192504,46.7,0.6
192505,46.6,0.5
192506,46.6,0.5
192507,46.8,0.7
192508,46.8,0.7
192509,46.8,0.7
192510,46.7,0.6
192511,46.8,0.7
192512,47.8,1.7
192601,47.7,1.6
192602,47.8,1.7
