#  West Virginia 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189512,50.4,-1.2
189601,50.7,-0.9
189602,51.6,0.0
189603,51.3,-0.3
189604,51.8,0.2
189605,52.4,0.8
189606,52.3,0.7
189607,52.5,0.9
189608,52.5,0.9
189609,52.1,0.5
189610,52.4,0.8
189611,52.7,1.1
189612,52.6,1.0
189701,52.3,0.7
189702,52.5,0.9
189703,53.3,1.7
189704,52.7,1.1
189705,51.9,0.3
189706,51.9,0.3
189707,52.0,0.4
189708,51.8,0.2
189709,51.9,0.3
189710,52.4,0.8
189711,52.1,0.5
189712,52.2,0.6
189801,52.8,1.2
189802,52.6,1.0
189803,52.8,1.2
189804,52.4,0.8
189805,52.8,1.2
189806,53.0,1.4
189807,53.1,1.5
189808,53.3,1.7
189809,53.4,1.8
189810,53.2,1.6
189811,52.9,1.3
189812,52.5,0.9
189901,52.2,0.6
189902,51.5,-0.1
189903,51.0,-0.6
189904,51.5,-0.1
189905,51.6,0.0
189906,51.6,0.0
189907,51.4,-0.2
189908,51.4,-0.2
189909,51.1,-0.5
189910,51.3,-0.3
189911,51.7,0.1
189912,51.8,0.2
190001,52.0,0.4
190002,52.4,0.8
190003,52.1,0.5
190004,52.0,0.4
190005,51.9,0.3
190006,51.8,0.2
190007,51.9,0.3
190008,52.1,0.5
190009,52.7,1.1
190010,53.0,1.4
190011,52.9,1.3
190012,53.1,1.5
190101,53.0,1.4
190102,52.7,1.1
190103,53.0,1.4
190104,52.6,1.0
190105,52.5,0.9
190106,52.5,0.9
190107,52.7,1.1
190108,52.4,0.8
190109,51.8,0.2
190110,51.3,-0.3
190111,50.7,-0.9
190112,50.5,-1.1
190201,50.3,-1.3
190202,50.2,-1.4
190203,50.3,-1.3
190204,50.4,-1.2
190205,50.7,-0.9
190206,50.4,-1.2
190207,50.2,-1.4
190208,50.0,-1.6
190209,50.0,-1.6
190210,50.1,-1.5
190211,51.1,-0.5
190212,51.3,-0.3
190301,51.4,-0.2
190302,52.1,0.5
190303,52.6,1.0
190304,52.9,1.3
190305,52.9,1.3
190306,52.7,1.1
190307,52.6,1.0
190308,52.7,1.1
190309,52.7,1.1
190310,52.6,1.0
190311,51.6,0.0
190312,51.0,-0.6
190401,50.7,-0.9
190402,50.3,-1.3
190403,49.7,-1.9
190404,49.4,-2.2
190405,49.2,-2.4
190406,49.5,-2.1
190407,49.4,-2.2
190408,49.3,-2.3
190409,49.4,-2.2
190410,49.4,-2.2
190411,49.6,-2.0
190412,50.1,-1.5
190501,50.0,-1.6
190502,49.7,-1.9
190503,49.9,-1.7
190504,50.3,-1.3
190505,50.5,-1.1
190506,50.6,-1.0
190507,50.7,-0.9
190508,50.8,-0.8
190509,50.7,-0.9
190510,50.8,-0.8
190511,50.9,-0.7
190512,51.1,-0.5
190601,52.0,0.4
190602,52.5,0.9
190603,51.7,0.1
190604,51.9,0.3
190605,51.7,0.1
190606,51.7,0.1
190607,51.6,0.0
190608,52.0,0.4
190609,52.3,0.7
190610,52.3,0.7
190611,52.5,0.9
190612,52.6,1.0
190701,52.7,1.1
190702,52.6,1.0
190703,53.6,2.0
190704,52.9,1.3
190705,52.6,1.0
190706,52.2,0.6
190707,52.2,0.6
190708,51.8,0.2
190709,51.5,-0.1
190710,51.1,-0.5
