#  Wisconsin 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
189512,41.3,-1.1
189601,42.0,-0.4
189602,42.7,0.3
189603,42.5,0.1
189604,42.5,0.1
189605,43.0,0.6
189606,43.0,0.6
189607,43.1,0.7
189608,43.1,0.7
189609,42.5,0.1
189610,42.6,0.2
189611,42.3,-0.1
189612,42.4,0.0
189701,42.2,-0.2
189702,42.3,-0.1
189703,42.4,0.0
189704,42.1,-0.3
189705,41.3,-1.1
189706,41.0,-1.4
189707,41.3,-1.1
189708,40.9,-1.5
189709,41.7,-0.7
189710,42.4,0.0
189711,42.6,0.2
189712,41.9,-0.5
189801,42.4,0.0
189802,42.4,0.0
189803,43.0,0.6
189804,43.0,0.6
189805,43.1,0.7
189806,43.5,1.1
189807,43.4,1.0
189808,43.6,1.2
189809,43.3,0.9
189810,42.8,0.4
189811,43.0,0.6
189812,42.9,0.5
189901,42.2,-0.2
189902,41.2,-1.2
189903,39.9,-2.5
189904,40.2,-2.2
189905,40.2,-2.2
189906,40.2,-2.2
189907,40.1,-2.3
189908,40.3,-2.1
189909,39.8,-2.6
189910,40.3,-2.1
189911,41.0,-1.4
189912,41.5,-0.9
190001,42.2,-0.2
190002,42.4,0.0
190003,42.8,0.4
190004,42.9,0.5
190005,43.1,0.7
190006,43.1,0.7
190007,43.0,0.6
190008,43.3,0.9
190009,43.7,1.3
190010,44.1,1.7
190011,43.2,0.8
190012,43.4,1.0
190101,43.0,0.6
190102,43.2,0.8
190103,43.5,1.1
190104,43.4,1.0
190105,43.2,0.8
190106,43.4,1.0
190107,43.9,1.5
190108,43.5,1.1
190109,43.3,0.9
190110,42.7,0.3
190111,42.9,0.5
190112,42.4,0.0
190201,42.5,0.1
190202,42.8,0.4
190203,43.5,1.1
190204,43.3,0.9
190205,43.4,1.0
190206,42.9,0.5
190207,42.5,0.1
190208,42.2,-0.2
190209,42.0,-0.4
190210,41.9,-0.5
190211,42.5,0.1
190212,42.6,0.2
190301,42.4,0.0
190302,42.5,0.1
190303,42.4,0.0
190304,42.5,0.1
190305,42.5,0.1
190306,42.5,0.1
190307,42.4,0.0
190308,42.2,-0.2
190309,42.4,0.0
190310,42.4,0.0
190311,41.7,-0.7
190312,41.2,-1.2
190401,40.6,-1.8
190402,39.7,-2.7
190403,39.1,-3.3
190404,38.6,-3.8
190405,38.4,-4.0
190406,38.6,-3.8
190407,38.5,-3.9
190408,38.5,-3.9
190409,38.6,-3.8
190410,38.5,-3.9
190411,39.1,-3.3
190412,39.6,-2.8
190501,39.6,-2.8
190502,40.0,-2.4
190503,40.4,-2.0
190504,40.7,-1.7
190505,40.6,-1.8
190506,40.5,-1.9
190507,40.6,-1.8
190508,40.9,-1.5
190509,41.2,-1.2
190510,41.1,-1.3
190511,40.8,-1.6
190512,41.2,-1.2
190601,42.3,-0.1
190602,42.8,0.4
190603,41.9,-0.5
190604,42.2,-0.2
190605,42.3,-0.1
190606,42.4,0.0
190607,42.4,0.0
190608,42.5,0.1
190609,42.7,0.3
190610,42.8,0.4
190611,42.8,0.4
190612,42.6,0.2
190701,41.9,-0.5
190702,42.1,-0.3
190703,43.0,0.6
190704,42.1,-0.3
190705,41.5,-0.9
190706,41.5,-0.9
190707,41.5,-0.9
190708,41.2,-1.2
190709,40.7,-1.7
190710,40.5,-1.9
190711,40.5,-1.9
190712,40.6,-1.8
190801,41.2,-1.2
190802,41.4,-1.0
190803,41.2,-1.2
190804,41.9,-0.5
190805,42.6,0.2
190806,42.6,0.2
190807,42.7,0.3
190808,42.8,0.4
190809,43.4,1.0
190810,43.7,1.3
190811,43.9,1.5
190812,43.6,1.2
190901,43.5,1.1
190902,43.5,1.1
190903,43.3,0.9
190904,42.7,0.3
190905,42.5,0.1
190906,42.6,0.2
190907,42.5,0.1
190908,42.9,0.5
190909,42.3,-0.1
190910,42.0,-0.4
190911,42.3,-0.1
190912,41.8,-0.6
191001,41.6,-0.8
191002,41.0,-1.4
191003,42.2,-0.2
191004,43.1,0.7
191005,43.0,0.6
191006,43.1,0.7
191007,43.3,0.9
191008,43.1,0.7
191009,43.1,0.7
191010,43.6,1.2
191011,42.7,0.3
191012,42.9,0.5
191101,42.8,0.4
191102,43.6,1.2
191103,42.9,0.5
191104,42.5,0.1
191105,43.2,0.8
191106,43.4,1.0
191107,43.3,0.9
191108,43.1,0.7
191109,43.1,0.7
191110,42.7,0.3
191111,42.5,0.1
191112,43.2,0.8
191201,41.7,-0.7
191202,40.8,-1.6
191203,39.9,-2.5
191204,40.1,-2.3
191205,39.7,-2.7
191206,39.1,-3.3
191207,39.1,-3.3
191208,38.9,-3.5
191209,39.0,-3.4
191210,39.4,-3.0
191211,40.1,-2.3
191212,40.0,-2.4
191301,41.6,-0.8
191302,41.6,-0.8
191303,41.8,-0.6
191304,41.9,-0.5
191305,41.7,-0.7
191306,42.1,-0.3
191307,42.0,-0.4
191308,42.4,0.0
191309,42.4,0.0
191310,42.1,-0.3
191311,42.4,0.0
191312,42.9,0.5
191401,43.4,1.0
191402,43.1,0.7
191403,43.4,1.0
191404,43.1,0.7
191405,43.4,1.0
191406,43.1,0.7
191407,43.4,1.0
191408,43.3,0.9
191409,43.3,0.9
191410,43.9,1.5
191411,43.5,1.1
191412,42.2,-0.2
191501,41.4,-1.0
191502,42.8,0.4
191503,42.8,0.4
191504,43.6,1.2
191505,43.0,0.6
191506,42.7,0.3
191507,42.2,-0.2
191508,41.8,-0.6
191509,41.8,-0.6
191510,41.4,-1.0
191511,41.5,-0.9
191512,42.1,-0.3
191601,42.3,-0.1
191602,41.2,-1.2
191603,41.0,-1.4
191604,40.2,-2.2
191605,40.5,-1.9
191606,40.5,-1.9
191607,41.4,-1.0
191608,42.0,-0.4
191609,41.8,-0.6
191610,41.6,-0.8
191611,41.4,-1.0
191612,40.8,-1.6
191701,40.3,-2.1
191702,39.7,-2.7
191703,40.0,-2.4
191704,39.8,-2.6
191705,39.5,-2.9
191706,39.5,-2.9
191707,39.0,-3.4
191708,38.6,-3.8
191709,38.6,-3.8
191710,37.8,-4.6
191711,38.2,-4.2
191712,38.0,-4.4
191801,37.5,-4.9
191802,38.3,-4.1
191803,38.9,-3.5
191804,39.0,-3.4
191805,39.6,-2.8
191806,39.9,-2.5
191807,39.7,-2.7
191808,40.1,-2.3
191809,39.8,-2.6
191810,40.7,-1.7
191811,40.8,-1.6
191812,42.2,-0.2
191901,43.7,1.3
191902,44.1,1.7
191903,43.7,1.3
191904,43.9,1.5
191905,43.6,1.2
191906,44.1,1.7
191907,44.4,2.0
191908,44.1,1.7
191909,44.8,2.4
191910,44.5,2.1
191911,43.9,1.5
191912,42.4,0.0
192001,41.2,-1.2
192002,40.8,-1.6
192003,40.7,-1.7
192004,40.2,-2.2
192005,40.3,-2.1
192006,40.0,-2.4
192007,39.6,-2.8
192008,39.5,-2.9
192009,39.6,-2.8
192010,40.4,-2.0
192011,40.6,-1.8
192012,41.7,-0.7
192101,43.0,0.6
192102,43.7,1.3
192103,44.0,1.6
192104,44.9,2.5
192105,45.2,2.8
192106,45.6,3.2
192107,46.3,3.9
192108,46.5,4.1
192109,46.5,4.1
192110,46.1,3.7
192111,45.8,3.4
192112,45.6,3.2
192201,44.8,2.4
192202,44.1,1.7
192203,43.8,1.4
192204,43.3,0.9
192205,43.6,1.2
192206,43.2,0.8
192207,42.5,0.1
192208,42.6,0.2
192209,42.5,0.1
192210,42.6,0.2
192211,43.4,1.0
192212,43.2,0.8
192301,43.6,1.2
192302,43.2,0.8
192303,42.5,0.1
192304,42.2,-0.2
192305,41.7,-0.7
192306,42.0,-0.4
192307,42.3,-0.1
192308,42.0,-0.4
192309,41.8,-0.6
192310,41.5,-0.9
192311,41.3,-1.1
192312,42.3,-0.1
192401,41.3,-1.1
192402,42.2,-0.2
192403,42.7,0.3
192404,42.8,0.4
192405,42.2,-0.2
192406,41.6,-0.8
192407,41.2,-1.2
192408,41.2,-1.2
192409,40.8,-1.6
192410,41.4,-1.0
192411,41.1,-1.3
192412,39.5,-2.9
192501,40.2,-2.2
192502,40.3,-2.1
192503,40.6,-1.8
192504,41.2,-1.2
192505,41.5,-0.9
192506,41.9,-0.5
192507,42.1,-0.3
192508,42.3,-0.1
192509,43.0,0.6
192510,41.7,-0.7
192511,41.5,-0.9
192512,42.0,-0.4
192601,42.0,-0.4
192602,42.1,-0.3
192603,41.3,-1.1
192604,40.5,-1.9
192605,40.9,-1.5
192606,40.5,-1.9
192607,40.6,-1.8
192608,40.4,-2.0
192609,39.9,-2.5
192610,40.5,-1.9
192611,40.2,-2.2
192612,40.2,-2.2
192701,39.9,-2.5
192702,40.1,-2.3
192703,41.1,-1.3
192704,41.4,-1.0
192705,41.0,-1.4
192706,41.1,-1.3
192707,41.0,-1.4
192708,40.6,-1.8
192709,41.0,-1.4
192710,41.4,-1.0
192711,41.8,-0.6
192712,41.6,-0.8
192801,42.0,-0.4
192802,41.7,-0.7
192803,41.2,-1.2
192804,40.7,-1.7
192805,41.1,-1.3
192806,41.0,-1.4
192807,41.2,-1.2
192808,41.6,-0.8
192809,41.1,-1.3
